序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,301011,华立科技,31.34,9.77,2.79,27324.0,83004386.9,10.72,31.5,28.44,28.44,28.55,4.62,153.8,5.51
2,600582,天地科技,5.46,9.42,0.47,1301302.0,706848342.0,7.21,5.49,5.13,5.15,4.99,3.14,9.04,1.08
3,603015,弘讯科技,7.76,7.78,0.56,131232.0,99756832.0,9.17,7.82,7.16,7.16,7.2,3.25,85.75,2.37
4,300512,中亚股份,7.69,7.4,0.53,59548.0,45159919.4,6.7,7.74,7.26,7.29,7.16,1.82,24.81,1.94
5,000852,石化机械,7.45,6.89,0.48,280903.0,206163351.31,7.46,7.5,6.98,7.0,6.97,3.11,68.08,2.4
6,002730,电光科技,8.73,6.85,0.56,90576.0,77466156.6,7.22,8.8,8.21,8.21,8.17,2.62,40.09,2.11
7,300499,高澜股份,23.08,6.85,1.48,1044495.0,2359777661.8,13.89,24.28,21.28,21.28,21.6,38.41,-308.08,4.89
8,600560,金自天正,11.01,6.79,0.7,44836.0,48588961.0,6.6,11.1,10.42,10.43,10.31,2.0,38.51,2.79
9,002779,中坚科技,24.47,6.48,1.49,11127.0,27003013.79,7.57,24.95,23.21,23.59,22.98,0.94,35.21,4.76
10,605288,凯迪股份,36.81,6.42,2.22,11253.0,41556171.0,7.29,37.67,35.15,35.15,34.59,6.36,33.07,1.23
11,688718,唯赛勃,16.84,6.25,0.99,17144.0,28983693.0,8.33,17.5,16.18,16.2,15.85,3.15,105.14,4.05
12,688215,瑞晟智能,33.57,6.13,1.94,4966.0,16362388.0,6.04,33.78,31.87,31.87,31.63,3.12,94.2,3.02
13,300307,慈星股份,5.38,5.91,0.3,157034.0,82949456.99,5.71,5.41,5.12,5.13,5.08,2.03,27.53,1.51
14,301138,华研精机,30.65,5.84,1.69,30316.0,91592451.66,7.42,31.2,29.05,29.05,28.96,10.11,49.35,3.24
15,002184,海得控制,13.9,5.78,0.76,103778.0,142813185.95,3.81,13.95,13.45,13.52,13.14,4.32,61.08,3.74
16,301013,利和兴,13.44,5.41,0.69,225008.0,302970940.22,7.53,13.77,12.81,12.86,12.75,13.55,197.7,3.57
17,300472,新元科技,10.09,5.32,0.51,43918.0,43783392.66,5.11,10.15,9.66,9.82,9.58,1.75,-52.1,3.36
18,301360,C荣旗,70.42,5.26,3.52,29691.0,209872837.88,7.53,72.54,67.5,67.5,66.9,24.82,-144.66,3.45
19,688400,凌云光,33.05,5.09,1.6,103411.0,337484142.0,5.41,33.21,31.51,31.62,31.45,11.83,376.5,3.93
20,002526,山东矿机,2.34,4.93,0.11,476911.0,109707264.12,4.93,2.34,2.23,2.23,2.23,2.71,23.38,1.43
21,600520,文一科技,13.24,4.83,0.61,60193.0,79104559.0,5.38,13.32,12.64,12.68,12.63,3.8,200.44,4.83
22,688082,盛美上海,118.4,4.58,5.18,60751.0,709792414.0,6.46,120.7,113.39,115.18,113.22,8.13,98.01,9.06
23,002890,弘宇股份,17.47,4.55,0.76,10989.0,19054377.4,4.55,17.56,16.8,17.05,16.71,1.27,67.82,2.78
24,688218,江苏北人,17.4,4.44,0.74,29444.0,50711682.0,5.1,17.45,16.6,16.76,16.66,2.5,846.62,2.37
25,002689,远大智能,4.04,4.39,0.17,183921.0,73575862.4,4.65,4.06,3.88,3.88,3.87,1.77,-46.8,3.77
26,300281,金明精机,5.05,4.34,0.21,42399.0,21103810.01,4.75,5.05,4.82,4.84,4.84,1.07,487.69,1.67
27,300509,新美星,6.35,4.27,0.26,56083.0,35231049.04,4.6,6.37,6.09,6.12,6.09,2.29,30.09,2.96
28,300484,蓝海华腾,12.75,4.25,0.52,44684.0,56334912.18,4.82,12.83,12.24,12.24,12.23,2.79,61.55,3.86
29,688378,奥来德,60.9,4.25,2.48,21967.0,134868553.0,9.12,63.33,58.0,58.99,58.42,3.28,16.49,3.54
30,002757,南兴股份,13.28,4.24,0.54,115322.0,151696631.64,5.34,13.34,12.66,12.68,12.74,4.12,11.99,1.58
31,002796,世嘉科技,10.61,4.22,0.43,103840.0,109496669.12,5.4,10.7,10.15,10.15,10.18,4.48,-131.21,3.23
32,603789,星光农机,8.41,4.21,0.34,28918.0,24045340.0,4.58,8.45,8.08,8.09,8.07,1.11,-495.91,4.69
