序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,301085,亚康股份,45.22,20.01,7.54,63875.0,269109559.54,21.28,45.22,37.2,37.2,37.68,20.07,43.15,4.52
2,301270,汉仪股份,44.94,20.0,7.49,63165.0,271939976.1,19.73,44.94,37.55,37.55,37.45,31.48,166.55,4.09
3,300678,中科信息,54.18,20.0,9.03,428694.0,2122579811.55,21.37,54.18,44.53,45.8,45.15,23.13,285.64,12.64
4,300418,昆仑万维,65.16,20.0,10.86,1554378.0,9543558288.32,18.49,65.16,55.12,55.12,54.3,14.3,91.85,6.09
5,300634,彩讯股份,27.47,18.41,4.27,378467.0,979361110.81,20.56,27.8,23.03,23.03,23.2,9.01,50.28,5.21
6,300609,汇纳科技,23.36,14.45,2.95,178390.0,389379496.29,19.26,23.37,19.44,20.0,20.41,17.55,-105.75,2.75
7,300785,值得买,49.25,12.24,5.37,98972.0,469749025.01,15.61,49.86,43.01,43.01,43.88,13.04,-2381.24,3.62
8,002316,亚联发展,4.46,10.12,0.41,336875.0,145851150.0,9.88,4.46,4.06,4.09,4.05,10.69,-89.14,34.58
9,600718,东软集团,11.4,10.04,1.04,532168.0,586692359.0,9.85,11.4,10.38,10.41,10.36,4.42,689.2,1.5
10,600228,返利科技,13.17,10.03,1.2,356017.0,454884201.0,12.03,13.17,11.73,11.81,11.97,12.77,-7127.23,8.5
11,600410,华胜天成,6.6,10.0,0.6,372927.0,244239267.0,6.5,6.6,6.21,6.22,6.0,3.4,29.48,1.59
12,002315,焦点科技,34.11,10.0,3.1,325012.0,1061205739.97,12.16,34.11,30.34,30.55,31.01,16.69,54.64,5.26
13,605398,新炬网络,34.78,9.99,3.16,13212.0,44555867.0,9.68,34.78,31.72,31.72,31.62,4.89,57.59,2.81
14,603881,数据港,34.79,9.99,3.16,197874.0,680659847.0,7.3,34.79,32.48,32.5,31.63,6.02,81.55,3.75
15,300017,网宿科技,9.0,9.36,0.77,3958870.0,3505144951.39,12.15,9.3,8.3,8.3,8.23,17.44,57.8,2.4
16,300288,朗玛信息,14.85,8.47,1.16,333443.0,483991255.56,10.96,15.07,13.57,13.6,13.69,13.26,59.0,3.23
17,300079,数码视讯,6.5,8.33,0.5,777306.0,496103497.09,9.17,6.55,6.0,6.01,6.0,6.14,235.08,2.22
18,300399,天利科技,13.1,8.09,0.98,80647.0,103461143.5,8.91,13.18,12.1,12.17,12.12,4.14,92.28,5.24
19,301396,宏景科技,38.79,8.05,2.89,41194.0,158394978.15,10.67,40.33,36.5,36.5,35.9,19.01,375.17,2.78
20,301001,凯淳股份,25.57,7.89,1.87,49253.0,123724613.0,8.35,25.7,23.72,24.0,23.7,14.32,381.63,2.49
21,002373,千方科技,14.54,7.86,1.06,410195.0,574694268.65,10.31,14.65,13.26,13.48,13.48,2.99,36.45,1.89
22,300264,佳创视讯,6.21,7.63,0.44,204795.0,124398732.95,7.97,6.23,5.77,5.84,5.77,5.74,-55.58,17.97
23,300300,海峡创新,4.42,7.54,0.31,144160.0,62646195.57,6.81,4.43,4.15,4.17,4.11,2.15,-39.95,8.45
24,300290,荣科科技,4.69,6.83,0.3,207061.0,95562017.0,7.29,4.73,4.41,4.41,4.39,3.24,-153.72,3.73
25,603869,新智认知,9.24,6.82,0.59,72645.0,65804890.0,7.4,9.26,8.62,8.63,8.65,1.44,151.12,1.17
26,300150,世纪瑞尔,4.23,6.82,0.27,321751.0,132860483.02,9.34,4.26,3.89,3.9,3.96,6.25,636.1,1.63
27,002605,姚记科技,34.5,6.61,2.14,223488.0,767259519.0,9.8,35.28,32.11,32.11,32.36,6.82,17.86,4.87
28,300287,飞利信,3.72,6.59,0.23,667558.0,243317672.02,7.74,3.74,3.47,3.47,3.49,5.2,240.37,3.2
29,000938,紫光股份,29.63,6.54,1.82,726037.0,2133608832.66,6.8,29.9,28.01,28.01,27.81,2.54,48.26,2.63
30,600446,金证股份,18.91,6.54,1.16,1164796.0,2148791852.0,12.11,19.21,17.06,17.5,17.75,12.38,-76.07,4.85
31,300277,海联讯,7.54,6.5,0.46,59981.0,44287103.0,6.92,7.55,7.06,7.06,7.08,1.79,6214.62,5.2
32,688066,航天宏图,100.07,6.47,6.08,50613.0,480147085.0,10.84,100.8,90.61,93.01,93.99,2.73,-52.16,7.35
33,300044,赛为智能,3.83,6.39,0.23,465383.0,175575970.62,7.22,3.85,3.59,3.6,3.6,6.95,-37.69,3.77
34,600571,信雅达,9.4,6.21,0.55,140246.0,128469101.0,6.1,9.4,8.86,8.88,8.85,3.15,114.14,4.21
35,301110,青木股份,48.9,6.21,2.86,37455.0,181301891.13,8.82,49.99,45.93,45.93,46.04,16.07,83.45,2.3
36,300096,易联众,6.38,6.16,0.37,172466.0,108397594.61,8.15,6.5,6.01,6.03,6.01,4.58,-15.7,9.96
37,300250,初灵信息,15.22,6.14,0.88,139492.0,209009559.8,6.83,15.3,14.32,14.32,14.34,8.76,-128.62,5.6
38,300324,旋极信息,3.15,6.06,0.18,453557.0,139959200.02,7.74,3.18,2.95,2.96,2.97,2.66,-31.04,1.62
39,300508,维宏股份,32.08,6.01,1.82,73467.0,228325515.88,9.65,32.51,29.59,29.7,30.26,12.97,38.83,5.18
40,301171,易点天下,24.94,5.99,1.41,147393.0,353622298.98,12.07,24.99,22.15,22.15,23.53,19.52,71.2,3.66
41,688088,虹软科技,35.74,5.96,2.01,90338.0,318911539.0,6.34,35.86,33.72,33.96,33.73,2.23,128.7,5.56
42,688509,正元地信,4.65,5.68,0.25,97860.0,44698169.0,5.91,4.66,4.4,4.42,4.4,2.6,-75.28,2.37
43,300231,银信科技,8.94,5.67,0.48,204670.0,179195364.4,6.38,9.0,8.46,8.49,8.46,5.96,44.44,2.43
44,002331,皖通科技,6.99,5.59,0.37,58312.0,40300643.0,6.95,7.14,6.68,6.69,6.62,1.5,-22.42,1.66
45,300541,先进数通,14.0,5.58,0.74,293533.0,403429815.97,8.6,14.2,13.06,13.16,13.26,11.52,141.21,3.41
46,300269,联建光电,3.8,5.56,0.2,152211.0,56879730.0,8.61,3.81,3.5,3.59,3.6,2.9,-26.96,49.15
47,301380,挖金客,46.1,5.54,2.42,18422.0,84011656.91,6.16,46.35,43.66,43.66,43.68,10.84,57.24,3.54
48,300383,光环新网,12.31,5.48,0.64,777930.0,950059767.21,5.91,12.45,11.76,11.84,11.67,4.34,31.88,1.8
49,002990,盛视科技,37.96,5.42,1.95,43315.0,162286565.14,5.94,38.18,36.04,36.15,36.01,6.69,34.83,4.51
50,301299,卓创资讯,51.46,5.36,2.62,13165.0,66624073.0,6.72,51.77,48.49,48.73,48.84,8.78,45.48,4.66
51,002421,达实智能,3.86,5.18,0.19,482920.0,183006325.69,6.27,3.87,3.64,3.65,3.67,2.71,110.86,2.47
52,002354,天娱数科,5.93,5.14,0.29,1857493.0,1084631262.79,7.62,6.0,5.57,5.6,5.64,11.49,239.81,4.05
53,688292,浩瀚深度,38.45,5.14,1.88,47782.0,182347423.0,6.75,39.2,36.73,36.77,36.57,13.22,-876.87,6.13
54,002131,利欧股份,2.25,5.14,0.11,2074272.0,460242024.12,7.01,2.28,2.13,2.13,2.14,3.56,6.37,1.25
55,300674,宇信科技,18.46,5.13,0.9,319207.0,581692704.48,7.52,18.73,17.41,17.58,17.56,4.54,78.35,3.39
56,300738,奥飞数据,12.96,5.11,0.63,260991.0,335009742.37,6.97,13.15,12.29,12.31,12.33,3.81,58.3,3.56
57,002642,荣联科技,7.03,5.08,0.34,213147.0,147675522.88,5.23,7.04,6.69,6.69,6.69,3.52,541.06,3.09
58,300766,每日互动,19.26,5.07,0.93,227830.0,438176728.73,6.6,19.7,18.49,18.51,18.33,6.27,1164.8,4.57
59,300170,汉得信息,10.77,5.07,0.52,517270.0,549419936.5,5.56,10.84,10.27,10.3,10.25,5.58,82.46,2.69
60,688158,优刻得-W,19.75,5.05,0.95,158855.0,311903192.0,8.03,20.18,18.67,18.71,18.8,4.47,-23.62,3.11
61,300166,东方国信,11.45,5.05,0.55,680732.0,767827622.74,5.87,11.5,10.86,10.88,10.9,7.4,71.77,2.02
62,300448,浩云科技,5.89,4.99,0.28,226083.0,131805683.78,6.06,5.95,5.61,5.61,5.61,4.73,396.48,2.78
63,300168,万达信息,13.05,4.9,0.61,442242.0,569859369.46,9.0,13.31,12.19,12.2,12.44,3.74,-109.52,5.92
64,688365,光云科技,16.11,4.88,0.75,103394.0,167376005.0,6.58,16.52,15.51,15.6,15.36,6.07,-99.5,6.68
65,003010,若羽臣,17.64,4.88,0.82,34428.0,60084005.2,5.29,17.76,16.87,16.87,16.82,4.8,78.03,1.98
66,002530,金财互联,8.04,4.82,0.37,273701.0,217463983.0,5.48,8.09,7.67,7.68,7.67,4.15,-175.47,4.61
67,002195,二三四五,3.08,4.76,0.14,1739159.0,528548060.71,5.44,3.09,2.93,2.94,2.94,3.07,39.96,1.85
68,300271,华宇软件,8.98,4.66,0.4,139740.0,124495637.53,5.71,9.08,8.59,8.62,8.58,1.74,-23.12,1.33
69,688619,罗普特,16.85,4.59,0.74,48439.0,80798238.0,5.03,16.93,16.12,16.12,16.11,5.41,-45.97,2.49
70,300339,润和软件,23.36,4.57,1.02,465952.0,1076711256.24,4.79,23.45,22.38,22.38,22.34,6.04,128.11,5.76
71,300846,首都在线,16.3,4.55,0.71,358951.0,580798710.34,6.41,16.51,15.51,15.51,15.59,11.18,-33.2,6.63
72,603918,金桥信息,14.5,4.54,0.63,320837.0,461357487.0,4.83,14.64,13.97,13.97,13.87,8.78,294.97,4.91
