序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,688569,铁科轨道,43.0,11.08,4.29,114839,475587816.0,18.68,45.23,38.0,39.58,38.71,8.72,16.32,3.42
2,600818,中路股份,25.21,9.99,2.29,61471,152105571.0,9.64,25.21,23.0,23.3,22.92,2.58,1099.7,13.81
3,900915,中路Ｂ股,0.759,9.52,0.066,20612,1528770.0,8.8,0.762,0.701,0.701,0.693,2.47,227.51,2.86
4,300462,华铭智能,10.23,6.56,0.63,45796,46155273.6,7.4,10.35,9.64,9.64,9.6,3.35,204.28,1.26
5,300011,鼎汉技术,7.39,5.27,0.37,346746,253284908.94,7.12,7.56,7.06,7.07,7.02,6.92,678.31,3.19
6,200017,深中华B,1.11,4.72,0.05,4901,535600.71,6.6,1.12,1.05,1.06,1.06,0.2,58.77,2.29
7,002972,科安达,17.52,4.6,0.77,13935,24055117.0,4.3,17.52,16.8,16.8,16.75,1.59,29.83,2.4
8,301048,金鹰重工,12.88,4.55,0.56,315392,396257084.77,9.82,13.12,11.91,11.91,12.32,23.65,26.36,3.02
9,688015,交控科技,20.07,4.42,0.85,23667,47014768.0,4.99,20.22,19.26,19.36,19.22,1.26,93.16,1.53
10,603111,康尼机电,4.74,4.41,0.2,99718,46635809.0,4.41,4.75,4.55,4.56,4.54,1.19,35.38,1.29
11,301016,雷尔伟,19.02,4.39,0.8,16242,30617113.99,4.94,19.18,18.28,18.35,18.22,5.41,118.72,2.39
12,300851,交大思诺,22.53,4.11,0.89,7010,15675255.0,4.02,22.57,21.7,21.7,21.64,2.03,-3702.11,1.58
13,600528,中铁工业,10.62,4.02,0.41,353298,368787264.0,6.46,10.74,10.08,10.19,10.21,1.59,11.24,1.08
14,000008,神州高铁,2.37,3.95,0.09,364489,85707037.27,4.39,2.38,2.28,2.28,2.28,1.39,-48.85,1.48
15,000017,深中华A,4.26,3.9,0.16,44317,18809306.0,4.15,4.28,4.11,4.15,4.1,1.46,257.66,10.02
16,603500,祥和实业,12.74,3.66,0.45,16884,21293385.0,4.39,12.79,12.25,12.29,12.29,0.7,48.61,3.37
17,000925,众合科技,7.88,3.55,0.27,166082,130195330.0,2.89,7.94,7.72,7.83,7.61,3.03,-40.95,1.6
18,300923,研奥股份,20.28,3.52,0.69,6567,13171886.0,3.27,20.29,19.65,19.74,19.59,2.07,59.19,1.37
19,603680,今创集团,8.95,3.47,0.3,20451,18083579.0,4.62,9.02,8.62,8.63,8.65,0.26,64.61,1.44
20,300906,日月明,25.3,3.31,0.81,24539,61366661.43,8.78,26.34,24.19,24.49,24.49,7.61,45.67,2.42
21,872541,铁大科技,3.19,3.24,0.1,18683,5898731.36,2.91,3.2,3.11,3.11,3.09,3.49,12.22,1.16
22,688009,中国通号,6.52,3.0,0.19,699039,451726802.0,4.42,6.61,6.33,6.35,6.33,0.81,25.46,1.6
23,605298,必得科技,13.79,2.99,0.4,6659,9137982.0,3.36,13.84,13.39,13.45,13.39,1.55,580.64,1.99
24,002105,信隆健康,5.83,2.64,0.15,30382,17585323.31,2.99,5.85,5.68,5.7,5.68,0.82,42.87,2.21
25,605001,威奥股份,6.65,2.47,0.16,37721,24835827.0,3.54,6.68,6.45,6.5,6.49,1.58,-16.22,1.06
26,601766,中国中车,6.99,2.19,0.15,1269956,879254180.0,3.36,7.02,6.79,6.85,6.84,0.52,81.5,1.29
27,300994,久祺股份,18.85,2.11,0.39,7032,13157046.0,2.28,18.88,18.46,18.59,18.46,1.08,66.04,3.21
28,688367,工大高科,16.85,2.0,0.33,5767,9663921.0,2.54,16.88,16.46,16.46,16.52,0.89,2396.52,2.59
29,689009,九号公司-WD,33.44,1.95,0.64,31594,105293022.0,4.12,33.76,32.41,32.47,32.8,0.62,341.32,4.78
30,001696,宗申动力,6.46,1.89,0.12,73596,47489298.2,1.89,6.48,6.36,6.39,6.34,0.84,16.61,1.52
31,600099,林海股份,8.33,1.59,0.13,17034,14103868.0,2.68,8.34,8.12,8.2,8.2,0.78,188.69,3.62
32,300960,通业科技,17.98,1.41,0.25,5091,9088515.5,3.33,18.09,17.5,17.73,17.73,1.99,-69.2,2.91
33,301345,涛涛车业,47.38,1.15,0.54,6350,29946756.71,1.49,47.5,46.8,46.9,46.84,2.65,37.14,1.82
34,000913,钱江摩托,21.41,0.99,0.21,39980,85597378.0,2.5,21.57,21.04,21.1,21.2,0.88,38.16,2.76
35,688033,天宜上佳,19.27,0.89,0.17,94534,181898563.0,3.46,19.66,19.0,19.0,19.1,1.68,59.71,2.1
36,600495,晋西车轴,4.0,0.76,0.03,221125,87474243.0,3.27,4.01,3.88,3.93,3.97,1.83,-70.35,1.5
37,600679,上海凤凰,8.34,0.72,0.06,11912,9899372.0,1.81,8.35,8.2,8.28,8.28,0.4,70.91,2.02
38,603766,隆鑫通用,4.8,0.63,0.03,111410,53852405.0,3.56,4.93,4.76,4.76,4.77,0.54,13.32,1.23
39,301322,绿通科技,116.3,0.6,0.69,5581,64716917.57,1.5,116.8,115.07,115.54,115.61,3.36,33.76,2.85
40,900946,天雁B股,0.202,0.5,0.001,1253,25043.0,1.49,0.202,0.199,0.201,0.201,0.05,554.93,1.94
41,600967,内蒙一机,9.46,0.42,0.04,122055,114541872.0,2.12,9.48,9.28,9.41,9.42,0.72,18.85,1.44
42,688459,哈铁科技,10.17,0.3,0.03,56758,57555806.0,2.86,10.32,10.03,10.25,10.14,6.5,-1436.14,1.5
43,688187,时代电气,46.56,0.02,0.01,29002,134592828.0,2.84,47.2,45.88,46.47,46.55,1.37,37.89,1.88
44,603787,新日股份,17.91,-0.28,-0.05,12930,23212632.0,2.0,18.14,17.78,17.88,17.96,0.63,21.9,3.05
45,300351,永贵电器,13.46,-0.74,-0.1,77665,103395385.0,2.65,13.49,13.13,13.37,13.56,3.01,36.86,2.28
46,603529,爱玛科技,56.46,-1.4,-0.8,32149,182738999.0,3.42,58.09,56.13,56.84,57.26,2.2,16.98,4.5
47,603129,春风动力,136.17,-2.09,-2.91,9111,125129781.0,4.89,142.0,135.2,138.37,139.08,0.61,24.35,4.51
48,000976,华铁股份,3.34,-3.19,-0.11,457720,152973269.24,5.22,3.44,3.26,3.4,3.45,2.87,77.52,1.72
49,688285,高铁电气,10.18,-3.96,-0.42,146611,143085999.0,10.19,10.26,9.18,9.87,10.6,16.4,68.4,2.39
50,300594,朗进科技,19.75,-6.84,-1.45,30332,59191111.5,7.55,20.6,19.0,20.6,21.2,3.35,-23.33,2.03
