序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,301046,能辉科技,29.3,4.09,1.15,39370,113734639.66,5.15,29.48,28.03,28.06,28.15,6.68,259.39,5.69
2,002129,TCL中环,41.58,2.92,1.18,357325,1478998678.78,2.92,41.91,40.73,41.0,40.4,1.11,14.92,3.37
3,002617,露笑科技,7.69,2.67,0.2,299499,228704302.97,3.34,7.74,7.49,7.5,7.49,1.86,82.08,2.48
4,300316,晶盛机电,68.42,2.12,1.42,97931,672495584.56,4.34,70.06,67.15,67.5,67.0,0.8,25.25,7.67
5,603628,清源股份,14.45,2.05,0.29,26454,37851243.0,2.12,14.45,14.15,14.16,14.16,0.97,19.56,3.46
6,603105,芯能科技,15.0,2.04,0.3,74286,111468956.0,3.4,15.27,14.77,14.85,14.7,1.49,62.34,4.32
7,688560,明冠新材,31.04,1.9,0.58,55176,168572177.0,5.81,31.4,29.63,30.51,30.46,6.11,80.41,1.99
8,301278,快可电子,78.86,1.77,1.37,9186,72543451.0,3.64,80.7,77.88,78.96,77.49,5.74,32.75,4.84
9,688556,高测股份,70.41,1.73,1.2,93139,670049906.0,7.2,74.96,69.98,72.0,69.21,5.48,12.0,7.04
10,002506,协鑫集成,3.06,1.66,0.05,432604,131650627.16,1.33,3.06,3.02,3.02,3.01,0.74,164.8,7.84
11,603396,金辰股份,65.26,1.65,1.06,26122,169753087.0,3.35,65.65,63.5,63.8,64.2,2.25,72.65,5.11
12,300842,帝科股份,73.99,1.25,0.91,122933,886817431.72,9.2,75.71,68.99,72.49,73.08,17.69,21.44,7.36
13,600732,爱旭股份,31.2,1.13,0.35,253118,784732311.0,3.66,31.54,30.41,30.86,30.85,2.22,14.48,4.16
14,002218,拓日新能,4.87,1.04,0.05,107692,52116751.0,2.07,4.87,4.77,4.79,4.82,0.77,142.11,1.62
15,300317,珈伟新能,6.06,1.0,0.06,192892,115665412.2,5.17,6.11,5.8,5.9,6.0,2.34,-104.46,2.75
16,600537,亿晶光电,6.73,0.75,0.05,366443,243723143.0,2.99,6.75,6.55,6.72,6.68,3.12,15.86,3.08
17,600207,安彩高科,5.96,0.68,0.04,48829,29002689.0,1.35,5.97,5.89,5.93,5.92,0.57,160.5,2.07
18,688408,中信博,75.65,0.6,0.45,18626,141735677.0,3.98,77.99,75.0,75.88,75.2,2.55,66.2,4.05
19,600151,航天机电,8.75,0.57,0.05,62621,54586151.0,1.72,8.79,8.64,8.68,8.7,0.44,-133.86,2.36
20,300029,ST天龙,7.19,0.42,0.03,27428,19648082.9,1.68,7.22,7.1,7.12,7.16,1.37,-40.03,68.98
21,002623,亚玛顿,27.28,0.37,0.1,22792,62085520.7,2.5,27.61,26.93,27.09,27.18,1.15,86.79,1.67
22,300393,中来股份,13.8,0.36,0.05,166354,229204434.6,2.33,13.95,13.63,13.81,13.75,1.74,36.64,3.75
23,300118,东方日升,24.85,0.36,0.09,249157,620396853.68,2.99,25.3,24.56,24.97,24.76,3.6,22.78,1.93
24,001269,欧晶科技,96.26,0.2,0.19,31294,302312946.68,3.7,98.95,95.4,97.27,96.07,9.11,19.22,10.07
25,688516,奥特维,167.24,0.19,0.31,27323,471086555.0,9.33,179.4,163.83,171.36,166.93,3.62,29.19,9.73
26,688599,天合光能,49.2,0.18,0.09,205387,999446397.0,3.87,49.5,47.6,49.11,49.11,1.55,15.12,3.82
27,600438,通威股份,39.83,0.1,0.04,356477,1414734758.0,1.68,40.08,39.41,39.8,39.79,0.79,5.21,2.66
28,002610,爱康科技,2.8,0.0,0.0,522845,146016322.66,2.14,2.82,2.76,2.8,2.8,1.17,96.21,4.34
29,002309,ST中利,4.58,0.0,0.0,85370,38515522.36,2.62,4.58,4.46,4.51,4.58,1.21,-8.06,4.58
30,834770,艾能聚,5.44,-0.37,-0.02,14824,7983664.72,2.38,5.46,5.33,5.45,5.46,2.4,15.92,1.3
31,688598,金博股份,175.63,-0.43,-0.76,7537,131701731.0,2.7,177.76,173.0,176.7,176.39,0.95,35.0,2.7
32,300827,上能电气,55.36,-0.63,-0.35,76240,421687623.23,3.68,56.25,54.2,55.4,55.71,4.5,90.06,12.82
33,688223,晶科能源,12.52,-0.63,-0.08,363428,453585454.0,2.54,12.68,12.36,12.68,12.6,1.85,18.88,4.41
34,002865,钧达股份,99.88,-0.65,-0.65,76860,757775171.05,3.68,100.49,96.79,100.49,100.53,3.96,14.02,14.71
35,603806,福斯特,49.13,-0.75,-0.37,61541,302981312.0,2.83,50.2,48.8,49.77,49.5,0.46,44.89,4.73
36,603185,弘元绿能,88.99,-0.79,-0.71,44757,397095004.0,2.98,90.5,87.83,89.23,89.7,1.1,13.5,2.76
37,002459,晶澳科技,40.39,-1.39,-0.57,296070,1202326265.44,3.93,41.6,39.99,40.63,40.96,0.9,12.9,4.51
38,835985,海泰新能,7.31,-1.88,-0.14,16661,12075145.47,3.49,7.46,7.2,7.45,7.45,1.24,-87.31,1.82
39,688680,海优新材,122.61,-2.92,-3.69,18293,225749343.0,5.23,127.5,120.89,127.5,126.3,3.51,113.23,4.42
40,301168,通灵股份,49.76,-2.96,-1.52,27130,135766456.82,4.68,51.7,49.3,51.51,51.28,5.46,40.15,3.01
41,601012,隆基绿能,34.87,-3.06,-1.1,1505959,5256435706.0,3.56,35.73,34.45,35.5,35.97,1.99,18.17,4.05
42,300274,阳光电源,112.74,-3.18,-3.7,352323,3973628977.45,5.3,116.87,110.7,115.2,116.44,3.12,27.77,8.3
43,300763,锦浪科技,113.8,-4.87,-5.82,97648,1128345446.32,5.28,119.88,113.56,119.61,119.62,3.25,34.81,6.04
44,603212,赛伍技术,20.76,-5.64,-1.24,145925,304598588.0,3.86,21.44,20.59,21.2,22.0,4.99,68.85,3.04
45,688303,大全能源,41.4,-5.91,-2.6,243151,1005290438.0,5.84,42.71,40.14,42.71,44.0,4.8,7.6,2.16
46,688348,昱能科技,312.74,-7.17,-24.16,29390,927302112.0,9.8,333.5,300.5,331.57,336.9,15.03,53.17,6.52
47,688032,禾迈股份,559.0,-9.94,-61.73,19029,1084215985.0,10.39,619.5,555.02,611.42,620.73,6.76,44.39,4.75
48,688390,固德威,259.61,-10.64,-30.9,67483,1812048284.0,11.22,290.88,258.28,288.5,290.51,8.36,23.77,12.24
