序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,603291,联合水务,13.96,10.01,1.27,88422,119991636.0,9.06,13.96,12.81,12.98,12.69,20.89,86.46,3.72
2,001210,金房节能,24.67,9.99,2.24,8585,21021527.0,4.37,24.67,23.69,23.69,22.43,2.09,4.79,1.62
3,600187,国中水务,2.58,7.05,0.17,595840,152159382.0,9.13,2.63,2.41,2.41,2.41,3.69,-61.81,1.32
4,900913,国新B股,0.353,3.82,0.013,6477,227397.0,3.53,0.355,0.343,0.343,0.34,0.59,7.15,0.89
5,002893,京能热力,8.88,3.14,0.27,31291,27462036.81,4.07,8.91,8.56,8.6,8.61,1.55,2.65,2.16
6,000544,中原环保,6.78,2.42,0.16,103946,70294851.17,2.72,6.82,6.64,6.65,6.62,1.07,10.39,0.97
7,000692,*ST惠天,2.74,2.24,0.06,123561,33719957.36,4.85,2.8,2.67,2.72,2.68,2.32,-1.42,-0.69
8,000685,中山公用,7.39,2.21,0.16,189396,139221187.46,2.07,7.4,7.25,7.26,7.23,1.51,9.42,0.68
9,000605,渤海股份,5.87,2.09,0.12,22610,13186215.2,2.61,5.88,5.73,5.77,5.75,0.67,37.86,0.98
10,600168,武汉控股,6.07,1.85,0.11,22449,13526777.0,1.85,6.07,5.96,5.99,5.96,0.32,-43.69,0.85
11,600283,钱江水利,12.76,1.75,0.22,21037,26655088.0,1.67,12.76,12.55,12.55,12.54,0.6,18.8,1.99
12,600874,创业环保,5.95,1.54,0.09,93392,55229681.0,1.88,5.95,5.84,5.85,5.86,0.76,11.23,1.08
13,600461,洪城环境,7.48,1.36,0.1,87229,64759026.0,1.63,7.49,7.37,7.4,7.38,0.92,7.0,1.15
14,603759,海天股份,9.12,1.33,0.12,9326,8473146.0,1.33,9.14,9.02,9.02,9.0,0.48,32.54,1.8
15,000598,兴蓉环境,5.22,1.16,0.06,180816,93984266.01,1.36,5.23,5.16,5.16,5.16,0.61,10.28,1.03
16,003039,顺控发展,16.85,1.14,0.19,11928,20047958.09,1.2,16.86,16.66,16.67,16.66,0.97,89.23,4.28
17,600008,首创环保,3.0,1.01,0.03,553240,164887903.0,1.68,3.0,2.95,2.96,2.97,0.75,16.98,1.16
18,601368,绿城水务,5.25,0.96,0.05,28564,14938664.0,1.35,5.26,5.19,5.2,5.2,0.32,37.82,0.99
19,605162,新中港,8.5,0.95,0.08,9405,7978330.0,2.02,8.56,8.39,8.39,8.42,0.93,83.35,2.89
20,601158,重庆水务,5.5,0.36,0.02,145509,79836096.0,0.91,5.52,5.47,5.47,5.48,0.3,23.04,1.52
21,605011,杭州热电,14.5,0.35,0.05,5909,8546405.0,1.04,14.55,14.4,14.55,14.45,0.49,34.7,2.79
22,601199,江南水务,8.49,-2.41,-0.21,362246,302049549.0,12.53,8.99,7.9,8.99,8.7,3.87,26.98,2.23
