序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,600540,新赛股份,4.33,5.87,0.24,78801,33629021.0,4.65,4.34,4.15,4.15,4.09,1.36,215.76,3.18
2,002234,民和股份,19.13,5.4,0.98,97324,182909106.52,8.82,19.6,18.0,18.06,18.15,3.21,29.35,2.44
3,000798,中水渔业,11.44,5.34,0.58,65595,74397289.47,6.81,11.56,10.82,10.82,10.86,1.79,-60.11,4.62
4,002458,益生股份,14.39,5.19,0.71,187912,265155449.76,6.94,14.5,13.55,13.58,13.68,2.78,11.38,4.68
5,002069,ST獐子岛,3.82,4.66,0.17,74352,28036086.77,4.93,3.83,3.65,3.65,3.65,1.05,-130.45,50.93
6,831087,秋乐种业,6.66,4.55,0.29,25730,16703276.02,5.34,6.66,6.32,6.37,6.37,3.98,28.17,2.21
7,600354,敦煌种业,6.69,3.72,0.24,149985,99225390.0,4.19,6.69,6.42,6.45,6.45,2.84,35.77,5.31
8,300511,雪榕生物,7.76,3.6,0.27,329668,253793901.06,4.41,7.8,7.47,7.52,7.49,8.08,4.38,2.05
9,002696,百洋股份,6.25,3.48,0.21,45169,27861290.2,4.14,6.26,6.01,6.01,6.04,1.3,150.64,1.53
10,000702,正虹科技,5.09,3.46,0.17,54185,27264907.74,3.86,5.11,4.92,4.93,4.92,2.03,-11.63,6.75
11,600359,新农开发,7.91,3.4,0.26,51801,40667527.0,2.88,7.92,7.7,7.71,7.65,1.36,15.7,4.85
12,002688,金河生物,5.03,3.29,0.16,75135,37610340.1,3.29,5.06,4.9,4.94,4.87,0.98,26.58,1.74
13,600097,开创国际,11.17,3.14,0.34,29825,33001098.0,3.23,11.17,10.82,10.82,10.83,1.24,1783.64,1.29
14,300189,神农科技,3.41,3.02,0.1,120481,40737960.87,3.32,3.42,3.31,3.31,3.31,1.25,-260.66,4.34
15,300970,华绿生物,23.3,3.01,0.68,65263,150722629.26,3.8,23.51,22.65,22.82,22.62,9.55,5.23,1.66
16,600257,大湖股份,4.89,2.95,0.14,117049,56632622.0,3.16,4.9,4.75,4.76,4.75,2.43,-64.39,2.71
17,600313,农发种业,8.91,2.89,0.25,210101,184967360.0,3.23,8.91,8.63,8.63,8.66,1.97,61.64,5.43
18,871970,大禹生物,7.76,2.78,0.21,1448,1115010.49,3.58,7.79,7.52,7.79,7.55,0.73,-36.1,1.22
19,001366,播恩集团,17.24,2.62,0.44,52141,89276938.75,4.11,17.39,16.7,16.8,16.8,12.92,37.39,3.22
20,300313,*ST天山,5.51,2.42,0.13,51854,28116742.4,6.32,5.6,5.26,5.43,5.38,2.81,-107.35,21.49
21,002086,ST东洋,2.63,2.33,0.06,80124,20850358.0,5.45,2.65,2.51,2.56,2.57,1.27,44.93,-1.72
22,002321,ST华英,2.73,2.25,0.06,66995,18179888.36,3.37,2.74,2.65,2.65,2.67,0.31,303.62,5.68
23,300673,佩蒂股份,13.78,2.23,0.3,34783,47497636.0,2.97,13.84,13.44,13.44,13.48,2.12,-22.93,2.02
24,000876,新 希 望,13.01,2.2,0.28,263586,339610083.4,3.22,13.07,12.66,12.68,12.73,0.59,-8.76,2.49
25,300021,大禹节水,5.16,2.18,0.11,141032,72329192.94,2.97,5.18,5.03,5.06,5.05,2.01,109.31,2.36
26,600371,万向德农,11.87,2.15,0.25,24151,28430429.0,2.24,11.87,11.61,11.69,11.62,0.83,25.15,5.72
27,002891,中宠股份,21.67,2.12,0.45,29626,63691635.72,3.53,21.76,21.01,21.2,21.22,1.01,101.74,3.08
28,000998,隆平高科,15.23,1.94,0.29,148776,225142662.05,3.21,15.36,14.88,14.98,14.94,1.15,29.4,3.79
29,300967,晓鸣股份,16.21,1.89,0.3,21214,34129052.32,3.77,16.38,15.78,15.78,15.91,2.03,-69.44,3.91
30,000713,丰乐种业,9.01,1.81,0.16,97619,87229755.1,1.81,9.01,8.85,8.94,8.85,1.59,172.66,2.86
31,000735,罗 牛 山,7.48,1.77,0.13,154849,115012704.26,1.63,7.48,7.36,7.36,7.35,1.35,44.97,1.96
32,600251,冠农股份,9.34,1.74,0.16,282217,261968214.0,3.05,9.39,9.11,9.26,9.18,3.63,6.21,2.1
33,600811,东方集团,2.34,1.74,0.04,207821,48253766.0,2.17,2.34,2.29,2.3,2.3,0.57,22.17,0.46
34,603739,蔚蓝生物,13.21,1.62,0.21,9480,12493680.0,2.62,13.34,13.0,13.0,13.0,0.38,78.98,2.01
35,300087,荃银高科,15.2,1.6,0.24,60445,91597501.25,1.47,15.24,15.02,15.05,14.96,0.94,82.11,6.11
36,000505,京粮控股,7.64,1.6,0.12,32949,25072218.32,1.73,7.66,7.53,7.53,7.52,0.53,37.26,1.79
37,002299,圣农发展,21.4,1.42,0.3,121122,256480787.25,3.08,21.48,20.83,21.04,21.1,0.98,74.38,2.72
38,600598,北大荒,13.57,1.42,0.19,174806,236290221.0,1.72,13.61,13.38,13.38,13.38,0.98,11.26,3.12
39,600108,亚盛集团,3.13,1.29,0.04,177407,55338084.0,1.94,3.14,3.08,3.09,3.09,0.91,57.69,1.48
40,000592,平潭发展,2.39,1.27,0.03,154491,36677664.36,1.69,2.39,2.35,2.35,2.36,0.81,-375.76,1.95
41,301156,美农生物,23.0,1.23,0.28,5463,12509482.51,1.63,23.04,22.67,22.72,22.72,2.73,48.22,2.33
42,600965,福成股份,7.0,1.16,0.08,41881,29061437.0,1.73,7.0,6.88,6.93,6.92,0.51,24.35,2.63
43,603336,宏辉果蔬,6.35,1.11,0.07,38179,23988189.0,3.66,6.36,6.13,6.14,6.28,0.87,69.44,2.51
44,002679,福建金森,10.97,1.01,0.11,19845,21699717.5,1.75,11.03,10.84,10.86,10.86,0.84,-36.53,3.47
45,600467,好当家,2.46,0.82,0.02,110914,27195619.0,1.64,2.47,2.43,2.44,2.44,0.76,119.31,1.07
46,603151,邦基科技,18.12,0.78,0.14,2886,5216109.0,1.89,18.17,17.83,17.97,17.98,0.69,32.53,2.43
47,002385,大北农,7.07,0.71,0.05,414154,291409044.26,1.0,7.07,7.0,7.03,7.02,1.26,-23.97,2.8
48,600127,金健米业,7.44,0.68,0.05,63325,46966424.0,1.08,7.45,7.37,7.39,7.39,0.99,120.35,7.08
49,300138,晨光生物,18.45,0.65,0.12,31257,57551063.75,1.58,18.5,18.21,18.38,18.33,0.73,18.2,2.97
50,002311,海大集团,54.89,0.62,0.34,44798,245264103.67,1.28,55.1,54.4,54.6,54.55,0.27,55.97,4.99
51,002746,仙坛股份,8.98,0.56,0.05,89110,79802930.47,1.57,9.0,8.86,8.87,8.93,1.26,20.99,1.7
52,600506,统一股份,11.15,0.54,0.06,16819,18764358.0,1.44,11.24,11.08,11.18,11.09,1.14,2298.18,4.75
53,603668,天马科技,16.23,0.5,0.08,187474,306363999.0,8.79,16.86,15.44,15.44,16.15,4.3,315.26,3.47
54,002714,牧原股份,47.87,0.42,0.2,225879,1082816538.78,2.08,48.6,47.61,48.5,47.67,0.62,-54.64,3.78
55,603363,傲农生物,9.88,0.41,0.04,82883,82031113.0,1.52,9.99,9.84,9.86,9.84,1.14,-11.97,3.99
56,002548,金新农,5.06,0.4,0.02,101800,51313261.07,1.19,5.07,5.01,5.03,5.04,1.53,-10.29,2.04
57,000930,中粮科技,7.89,0.38,0.03,105551,82932971.89,1.15,7.9,7.81,7.86,7.86,0.57,2536.51,1.22
58,002157,正邦科技,2.65,0.38,0.01,369208,97349474.69,1.89,2.66,2.61,2.62,2.64,1.52,-1.79,-0.83
59,200505,京粮B,2.71,0.37,0.01,987,266455.0,2.22,2.72,2.66,2.67,2.7,0.15,11.57,0.56
60,002772,众兴菌业,10.9,0.37,0.04,101150,110453598.95,1.93,11.04,10.83,10.85,10.86,2.6,5.4,1.27
61,601952,苏垦农发,11.99,0.33,0.04,54729,65495347.0,1.0,12.0,11.88,11.89,11.95,0.4,34.72,2.6
62,300972,万辰生物,39.36,0.31,0.12,67149,262649710.44,4.64,40.0,38.18,38.92,39.24,8.98,28.7,8.36
63,605296,神农集团,24.2,0.21,0.05,8426,20354843.0,1.41,24.39,24.05,24.28,24.15,1.27,-29.96,2.77
64,300268,*ST佳沃,20.46,0.2,0.04,16825,34377598.1,3.13,20.82,20.18,20.39,20.42,1.26,-5.87,-2.04
