序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,834033,康普化学,38.8,12.14,4.2,9046.0,33398415.25,13.87,38.8,34.0,34.75,34.6,3.11,25.88,6.19
2,300910,瑞丰新材,108.0,11.36,11.02,35562.0,371688670.59,10.59,108.23,97.96,98.38,96.98,3.9,41.82,5.66
3,002409,雅克科技,67.66,8.05,5.04,206231.0,1396397835.49,6.64,68.88,64.72,65.87,62.62,6.47,46.56,4.85
4,300169,天晟新材,4.01,6.08,0.23,76641.0,30275975.0,6.08,4.02,3.79,3.79,3.78,2.54,-23.38,5.1
5,301036,双乐股份,18.22,5.01,0.87,14508.0,26115728.54,5.19,18.36,17.46,17.46,17.35,3.53,-3642.46,1.18
6,600165,宁科生物,4.36,4.56,0.19,171720.0,73989358.0,5.04,4.38,4.17,4.17,4.17,2.51,-12.78,5.23
7,603255,鼎际得,46.97,4.47,2.01,17441.0,80404329.0,6.74,47.1,44.07,45.0,44.96,5.23,82.43,4.11
8,002453,华软科技,12.35,4.4,0.52,130005.0,160463234.24,7.19,12.63,11.78,11.8,11.83,2.13,-126.69,6.9
9,002971,和远气体,25.72,4.38,1.08,51412.0,129846851.0,5.84,25.85,24.41,24.67,24.64,4.14,33.6,3.33
10,688350,富淼科技,20.05,4.37,0.84,11920.0,23753775.0,4.27,20.19,19.37,19.44,19.21,1.9,45.46,1.71
11,002037,保利联合,8.97,4.3,0.37,81342.0,72393912.51,4.07,9.03,8.68,8.7,8.6,1.68,-29.6,1.7
12,300522,世名科技,12.75,4.08,0.5,42025.0,53133149.5,5.22,12.81,12.17,12.17,12.25,2.31,76.33,4.23
13,001218,丽臣实业,22.13,3.9,0.83,12513.0,27494802.49,3.33,22.16,21.45,21.45,21.3,1.69,18.03,1.33
14,002917,金奥博,10.27,3.84,0.38,98094.0,99918666.0,5.56,10.36,9.81,9.81,9.89,3.82,170.14,2.47
15,002319,乐通股份,16.29,3.76,0.59,27428.0,44034351.8,4.01,16.3,15.67,16.0,15.7,1.37,3170.8,43.33
16,605166,聚合顺,10.87,3.72,0.39,25477.0,27238534.0,4.39,10.88,10.42,10.43,10.48,1.36,17.1,2.14
17,000985,大庆华科,16.25,3.64,0.57,10497.0,16846692.99,4.08,16.29,15.65,15.7,15.68,0.81,231.68,3.48
18,300109,新开源,24.55,3.63,0.86,56643.0,138052762.65,3.21,24.59,23.83,23.88,23.69,2.13,16.57,2.44
19,300437,清水源,13.98,3.4,0.46,33019.0,45563666.3,3.11,13.98,13.56,13.59,13.52,1.86,124.0,2.25
20,300535,达威股份,12.94,3.35,0.42,13849.0,17747325.78,3.91,13.0,12.51,12.52,12.52,1.58,92.02,1.5
21,300200,高盟新材,8.31,3.23,0.26,45939.0,37916896.56,3.6,8.33,8.04,8.09,8.05,1.09,23.91,1.8
22,300135,宝利国际,2.57,3.21,0.08,129911.0,33038425.26,4.02,2.58,2.48,2.48,2.49,1.83,-263.2,2.38
23,301373,凌玮科技,32.5,3.21,1.01,8634.0,27979590.29,3.78,32.79,31.6,31.6,31.49,3.42,35.21,2.41
24,603110,东方材料,25.48,3.2,0.79,35879.0,90986577.0,2.71,25.65,24.98,25.0,24.69,1.78,286.5,7.63
25,000565,渝三峡Ａ,5.51,3.18,0.17,59575.0,32489556.48,3.75,5.54,5.34,5.38,5.34,1.37,-34.47,1.86
26,002669,康达新材,13.0,3.01,0.38,65432.0,84304901.0,3.57,13.05,12.6,12.68,12.62,2.25,-66.85,1.31
27,002809,红墙股份,9.81,2.94,0.28,19502.0,18903542.0,3.67,9.85,9.5,9.59,9.53,1.43,24.73,1.32
28,000691,亚太实业,4.25,2.91,0.12,72092.0,30568804.28,4.36,4.3,4.12,4.14,4.13,2.23,248.81,9.6
29,300321,同大股份,15.47,2.86,0.43,4304.0,6587910.0,2.93,15.48,15.04,15.04,15.04,0.5,-32.19,2.22
30,603227,雪峰科技,8.41,2.81,0.23,103605.0,86107001.0,4.4,8.5,8.14,8.21,8.18,1.57,9.84,2.09
31,300225,金力泰,6.22,2.81,0.17,117471.0,72458418.0,4.3,6.26,6.0,6.0,6.05,2.48,-220.02,3.96
32,605566,福莱蒽特,21.62,2.76,0.58,3733.0,7983624.0,3.18,21.63,20.96,21.04,21.04,0.6,48.14,1.44
33,603125,常青科技,30.42,2.74,0.81,37488.0,113307144.0,2.77,30.45,29.63,29.85,29.61,7.95,31.64,2.9
34,300067,安诺其,3.01,2.73,0.08,76631.0,22722068.74,3.75,3.02,2.91,2.94,2.93,0.99,-104.91,1.36
35,300665,飞鹿股份,7.73,2.66,0.2,27287.0,20948529.56,2.92,7.74,7.52,7.53,7.53,2.03,100.94,2.93
36,300641,正丹股份,5.08,2.63,0.13,19172.0,9626680.0,2.83,5.08,4.94,4.94,4.95,0.39,54.06,1.65
37,301300,远翔新材,29.52,2.61,0.75,5026.0,14752755.97,4.31,30.05,28.81,28.98,28.77,3.13,57.33,2.27
38,300163,先锋新材,3.15,2.61,0.08,110635.0,34403569.26,3.91,3.16,3.04,3.07,3.07,2.34,-71.4,2.54
39,688199,久日新材,31.91,2.6,0.81,9764.0,31155026.0,4.5,32.36,30.96,30.96,31.1,1.11,-49.71,1.31
40,002827,高争民爆,11.22,2.56,0.28,59153.0,66049987.0,3.2,11.28,10.93,10.99,10.94,2.14,165.96,3.98
41,603188,亚邦股份,3.64,2.54,0.09,34803.0,12424813.0,3.38,3.64,3.52,3.55,3.55,0.61,-56.58,1.39
42,002909,集泰股份,7.47,2.47,0.18,35663.0,26500126.59,3.02,7.48,7.26,7.29,7.29,0.99,912.99,3.25
43,301212,联盛化学,35.3,2.29,0.79,16007.0,56972480.01,3.07,36.23,35.17,35.32,34.51,5.93,28.2,2.83
44,300041,回天新材,15.86,2.26,0.35,155809.0,245839722.2,3.03,15.91,15.44,15.49,15.51,3.72,14.23,2.54
45,301037,保立佳,16.0,2.24,0.35,12425.0,19733674.79,3.07,16.04,15.56,15.8,15.65,4.43,-26.33,1.97
46,300405,科隆股份,5.11,2.2,0.11,45078.0,22801770.13,3.6,5.15,4.97,5.0,5.0,2.06,-61.89,2.33
47,603725,天安新材,7.05,2.17,0.15,31024.0,21784662.0,2.32,7.09,6.93,6.93,6.9,1.51,44.55,2.72
48,603822,嘉澳环保,31.26,2.16,0.66,5103.0,15885562.0,3.89,31.39,30.2,30.62,30.6,0.66,59.34,2.29
49,002211,ST宏达,2.88,2.13,0.06,43225.0,12409522.0,4.61,2.92,2.79,2.8,2.82,1.0,-90.0,13.97
50,600230,沧州大化,17.03,1.98,0.33,75958.0,128746949.0,2.81,17.07,16.6,16.7,16.7,1.84,24.84,1.77
51,300821,东岳硅材,10.35,1.97,0.2,49916.0,51356623.47,3.35,10.45,10.11,10.11,10.15,0.42,-44.71,2.46
52,603683,晶华新材,8.82,1.97,0.17,17138.0,15095106.0,2.77,8.89,8.65,8.68,8.65,0.8,57.93,1.97
53,688157,松井股份,78.15,1.9,1.46,6218.0,48518506.0,2.43,79.0,77.14,77.91,76.69,1.77,513.82,4.98
54,300174,元力股份,16.1,1.9,0.3,49139.0,78150452.8,2.59,16.11,15.7,15.82,15.8,1.36,32.27,1.99
55,002246,北化股份,9.25,1.87,0.17,54393.0,49891053.88,2.09,9.26,9.07,9.11,9.08,0.99,149.38,1.77
