序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,000707,双环科技,8.95,9.95,0.81,222562,197137758.41,6.02,8.95,8.46,8.46,8.14,4.8,4.61,2.45
2,000818,航锦科技,40.38,7.25,2.73,173440,692206540.27,6.91,40.66,38.06,38.06,37.65,2.56,548.61,7.57
3,000635,英 力 特,9.02,4.16,0.36,38517,34369567.0,3.93,9.03,8.69,8.72,8.66,1.27,-4.48,1.3
4,002386,天原股份,6.91,3.91,0.26,106483,72704243.55,4.06,6.94,6.67,6.69,6.65,1.05,37.03,1.11
5,000510,新金路,6.11,3.74,0.22,81041,48838010.0,3.9,6.12,5.89,5.93,5.89,1.43,-38.32,2.64
6,002002,鸿达兴业,2.56,3.64,0.09,345195,87114308.04,4.45,2.57,2.46,2.46,2.47,1.11,1020.99,0.78
7,003017,大洋生物,31.98,3.33,1.03,19466,61975386.0,4.62,32.27,30.84,30.84,30.95,4.59,24.73,1.91
8,301209,联合化学,22.2,3.3,0.71,8669,18975704.0,3.21,22.24,21.55,21.59,21.49,4.33,46.54,2.62
9,603065,宿迁联盛,14.72,3.3,0.47,31230,45545547.0,3.86,14.85,14.3,14.31,14.25,7.45,34.35,2.88
10,301256,华融化学,8.94,2.76,0.24,48143,42695341.08,3.68,8.96,8.64,8.66,8.7,3.53,29.06,2.6
11,301286,侨源股份,29.7,2.63,0.76,32326,94468273.73,6.84,30.29,28.31,28.6,28.94,8.89,62.74,7.38
12,600423,柳化股份,3.16,2.6,0.08,26549,8328501.0,3.25,3.17,3.07,3.09,3.08,0.33,312.36,5.76
13,600328,中盐化工,14.0,2.56,0.35,77222,108149611.0,3.08,14.17,13.75,13.75,13.65,1.38,7.82,1.35
14,600844,丹化科技,2.86,2.51,0.07,46544,13200056.0,3.58,2.87,2.77,2.79,2.79,0.57,-17.81,3.26
15,600319,亚星化学,5.22,2.35,0.12,28915,15040257.0,2.94,5.24,5.09,5.12,5.1,0.92,-27.09,3.27
16,301059,金三江,13.15,2.18,0.28,27754,35901716.7,3.57,13.16,12.7,12.83,12.87,4.23,51.55,5.53
17,002648,卫星化学,14.19,2.09,0.29,122573,172425203.66,2.73,14.21,13.83,13.9,13.9,0.36,16.9,2.19
18,688267,中触媒,23.98,2.09,0.49,36678,87934136.0,4.38,24.53,23.5,23.7,23.49,5.73,515.18,1.59
19,301076,新瀚新材,19.1,2.03,0.38,22880,43923663.11,4.01,19.49,18.74,18.74,18.72,3.3,24.4,2.45
20,300082,奥克股份,8.06,2.03,0.16,34163,27385391.28,2.15,8.07,7.9,7.91,7.9,0.5,-22.73,1.72
21,001217,华尔泰,11.85,1.98,0.23,7293,8594806.84,1.64,11.87,11.68,11.74,11.62,0.55,29.85,1.9
22,600746,江苏索普,6.95,1.91,0.13,22889,15842618.0,1.91,6.95,6.82,6.82,6.82,0.21,-18.49,1.51
23,002748,世龙实业,10.19,1.9,0.19,17249,17407057.0,2.4,10.19,9.95,10.1,10.0,0.72,39.69,1.82
24,600727,鲁北化工,5.92,1.89,0.11,26854,15758809.0,2.58,5.93,5.78,5.78,5.81,0.61,500.17,1.08
25,601065,江盐集团,11.29,1.8,0.2,99733,111843196.0,2.25,11.31,11.06,11.08,11.09,6.43,12.98,1.91
26,600935,华塑股份,4.03,1.77,0.07,51189,20480537.0,2.27,4.04,3.95,3.95,3.96,0.28,1011.11,2.18
27,600722,金牛化工,4.79,1.7,0.08,25709,12222816.0,2.12,4.8,4.7,4.7,4.71,0.38,81.22,2.91
28,000830,鲁西化工,11.99,1.7,0.2,118506,141835254.42,3.14,12.09,11.72,11.79,11.79,0.81,17.86,1.3
29,300891,惠云钛业,9.77,1.66,0.16,15267,14813565.53,2.39,9.78,9.55,9.55,9.61,0.66,2097.51,3.06
30,601216,君正集团,4.34,1.64,0.07,275643,119282765.0,1.41,4.35,4.29,4.29,4.27,0.33,11.03,1.38
31,001255,博菲电气,42.32,1.63,0.68,12259,51156917.86,3.89,42.5,40.88,41.6,41.64,6.13,45.12,4.5
32,301065,本立科技,31.5,1.61,0.5,4344,13565639.0,2.9,31.5,30.6,30.6,31.0,1.43,44.91,1.77
33,000545,金浦钛业,3.21,1.58,0.05,47946,15298894.6,2.53,3.22,3.14,3.16,3.16,0.49,-12.81,2.16
34,600714,金瑞矿业,8.7,1.52,0.13,12127,10508627.0,1.75,8.73,8.58,8.61,8.57,0.42,196.38,3.44
35,002469,三维化学,6.88,1.47,0.1,163036,111447167.41,1.92,6.88,6.75,6.76,6.78,2.64,24.58,1.69
36,603077,和邦生物,2.76,1.47,0.04,663277,181880466.0,1.84,2.77,2.72,2.72,2.72,0.75,15.37,1.25
37,600075,新疆天业,5.13,1.38,0.07,72917,37103652.0,1.78,5.13,5.04,5.05,5.06,0.57,-55.66,0.86
38,002136,安 纳 达,11.55,1.32,0.15,21338,24467831.0,2.19,11.58,11.33,11.33,11.4,1.0,20.35,2.09
39,000422,湖北宜化,12.45,1.3,0.16,69348,86167024.04,1.55,12.47,12.28,12.29,12.29,0.77,12.7,2.28
40,603213,镇洋发展,13.3,1.29,0.17,7218,9538692.0,1.6,13.31,13.1,13.1,13.13,0.46,24.65,3.26
41,300834,星辉环材,24.47,1.24,0.3,4081,9933337.48,1.2,24.47,24.18,24.32,24.17,0.66,58.76,1.61
42,000822,山东海化,7.42,1.23,0.09,83772,61952109.46,1.91,7.44,7.3,7.3,7.33,0.94,6.93,1.51
43,002145,中核钛白,6.31,1.12,0.07,125667,78865781.45,2.4,6.32,6.17,6.19,6.24,0.54,58.43,1.99
44,300927,江天化学,15.6,1.1,0.17,5684,8812898.8,2.85,15.64,15.2,15.2,15.43,0.67,24.67,3.41
45,301090,华润材料,9.97,1.01,0.1,20119,19999231.7,1.11,9.98,9.87,9.87,9.87,0.91,22.46,2.08
46,600610,中毅达,13.17,1.0,0.13,29033,38090705.0,1.76,13.24,13.01,13.14,13.04,0.65,-300.36,107.35
47,600277,亿利洁能,4.1,0.99,0.04,187008,76282021.0,1.72,4.11,4.04,4.06,4.06,0.53,228.11,0.86
48,000990,诚志股份,8.23,0.98,0.08,39266,32199561.24,1.6,8.24,8.11,8.15,8.15,0.32,-43.88,0.57
49,600929,雪天盐业,8.04,0.88,0.07,75020,60214497.0,1.76,8.06,7.92,7.94,7.97,0.7,14.37,1.84
50,601678,滨化股份,5.03,0.8,0.04,92191,46309994.0,1.4,5.04,4.97,4.99,4.99,0.45,36.08,0.91
51,603113,金能科技,9.28,0.76,0.07,45518,42296490.0,2.06,9.35,9.16,9.16,9.21,0.53,-14.3,0.95
52,603663,三祥新材,14.85,0.61,0.09,47215,69368116.0,2.98,14.88,14.44,14.76,14.76,1.57,31.14,3.6
53,601568,北元集团,5.58,0.54,0.03,57973,32288344.0,1.08,5.59,5.53,5.54,5.55,0.23,40.3,1.61
54,603067,振华股份,11.88,0.34,0.04,63166,74802130.0,1.69,11.95,11.75,11.81,11.84,1.26,14.83,2.31
55,603299,苏盐井神,9.89,0.2,0.02,46452,45869221.0,1.01,9.91,9.81,9.86,9.87,0.6,9.4,1.47
56,600618,氯碱化工,9.55,0.1,0.01,25532,24346623.0,1.36,9.61,9.48,9.6,9.54,0.34,14.66,1.38
57,838402,硅烷科技,13.07,0.0,0.0,14382,18792637.82,2.07,13.21,12.94,13.07,13.07,1.58,18.39,3.04
58,831304,迪尔化工,4.98,0.0,0.0,66198,33157784.05,8.23,5.26,4.85,4.92,4.98,11.34,10.06,2.07
59,301069,凯盛新材,24.5,-0.08,-0.02,17218,42005841.37,2.12,24.67,24.15,24.66,24.52,1.23,50.84,7.03
60,301149,隆华新材,11.27,-0.09,-0.01,30196,33990006.0,1.24,11.32,11.18,11.28,11.28,1.63,29.63,2.89
61,002092,中泰化学,6.54,-0.15,-0.01,257344,167671927.29,1.83,6.57,6.45,6.48,6.55,1.0,-13.21,0.67
62,000683,远兴能源,7.35,-0.27,-0.02,295490,216198501.68,3.53,7.49,7.23,7.34,7.37,0.9,10.21,2.01
63,002125,湘潭电化,11.36,-0.53,-0.06,67731,76491392.03,2.54,11.39,11.1,11.18,11.42,1.14,44.2,2.8
64,836957,汉维科技,5.42,-0.55,-0.03,1027,555825.0,1.47,5.46,5.38,5.41,5.45,0.43,29.5,1.45
65,600623,华谊集团,6.4,-0.78,-0.05,122934,78114105.0,2.64,6.42,6.25,6.31,6.45,0.66,324.28,0.63
66,301238,瑞泰新材,21.4,-0.93,-0.2,44099,93887486.05,1.71,21.47,21.1,21.26,21.6,2.85,30.1,2.28
67,600989,宝丰能源,13.18,-0.98,-0.13,180527,238067335.0,2.78,13.47,13.1,13.27,13.31,0.25,20.39,2.76
68,600426,华鲁恒升,31.88,-1.3,-0.42,207668,654840850.0,4.52,32.4,30.94,32.21,32.3,0.98,21.65,2.44
69,002805,丰元股份,28.23,-1.33,-0.38,33853,96193736.1,2.87,28.9,28.08,28.53,28.61,2.2,-10.58,2.42
70,830832,齐鲁华信,4.91,-1.8,-0.09,1274,621832.04,5.2,5.06,4.8,5.05,5.0,0.1,112.63,0.89
71,002053,云南能投,11.05,-2.39,-0.27,138333,152924996.87,2.74,11.27,10.96,11.27,11.32,1.62,14.32,1.51
72,600409,三友化工,5.78,-2.86,-0.17,345763,198370844.0,2.35,5.82,5.68,5.79,5.95,1.67,-30.65,0.91
