序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,688410,山外山,59.59,20.0,9.93,49014.0,287734958.0,9.2,59.59,55.02,58.99,49.66,14.13,28.91,5.43
2,688108,赛诺医疗,7.64,10.72,0.74,434402.0,323866475.0,15.8,7.95,6.86,6.93,6.9,10.6,-48.31,3.76
3,688358,祥生医疗,55.57,9.33,4.74,54524.0,293447882.0,17.98,57.66,48.52,50.24,50.83,4.86,29.66,4.56
4,600587,新华医疗,32.17,7.56,2.26,172658.0,553390406.0,6.79,32.83,30.8,31.0,29.91,4.28,19.11,2.18
5,872925,锦好医疗,16.27,6.48,0.99,4675.0,7598024.42,7.33,16.5,15.38,15.38,15.28,1.69,17.87,2.15
6,688314,康拓医疗,38.65,6.18,2.25,10800.0,41151921.0,7.75,38.94,36.12,36.12,36.4,2.97,40.42,5.9
7,688277,天智航-U,17.47,5.56,0.92,112713.0,194916113.0,9.06,17.95,16.45,16.58,16.55,3.77,227.19,5.73
8,002432,九安医疗,44.99,4.12,1.78,132425.0,590298357.24,5.72,45.28,42.81,43.26,43.21,2.81,9.06,1.09
9,688068,热景生物,45.82,4.02,1.77,32297.0,147754680.0,6.54,46.64,43.76,43.77,44.05,3.51,17.91,1.25
10,300439,美康生物,12.0,3.81,0.44,58852.0,70084815.21,4.67,12.11,11.57,11.7,11.56,2.12,16.09,1.78
11,300030,阳普医疗,6.99,3.56,0.24,58484.0,40426140.0,4.74,7.05,6.73,6.75,6.75,2.18,39.63,2.71
12,301097,天益医疗,52.75,3.43,1.75,3433.0,18013993.61,4.02,53.05,51.0,51.5,51.0,1.87,56.24,2.49
13,002022,科华生物,12.29,3.28,0.39,51723.0,62965382.05,3.45,12.36,11.95,11.98,11.9,1.01,28.86,1.43
14,688338,赛科希德,58.0,2.75,1.55,12212.0,69445505.0,7.9,59.0,54.54,55.51,56.45,2.49,44.54,3.09
15,300639,凯普生物,14.65,2.59,0.37,66216.0,95676153.84,5.32,14.86,14.1,14.13,14.28,1.53,24.63,1.3
