序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,600713,南京医药,6.16,3.53,0.21,1208435.0,732931087.0,7.73,6.28,5.82,5.91,5.95,11.6,13.53,1.31
2,600833,第一医药,12.5,2.8,0.34,221833.0,272714530.0,5.18,12.57,11.94,12.24,12.16,9.94,23.54,2.8
3,600829,人民同泰,7.06,2.32,0.16,135340.0,94367055.0,3.77,7.08,6.82,6.9,6.9,2.33,14.26,1.61
4,000078,海王生物,3.39,2.11,0.07,204283.0,68542880.5,3.92,3.4,3.27,3.32,3.32,0.78,31.28,1.96
5,600511,国药股份,41.31,2.0,0.81,112912.0,465257165.0,5.78,42.2,39.86,40.2,40.5,2.04,18.8,2.13
6,002872,ST天圣,5.42,1.5,0.08,9907.0,5360224.5,1.87,5.44,5.34,5.34,5.34,0.46,-27.11,0.79
7,600272,开开实业,9.29,1.42,0.13,21607.0,19896780.0,2.95,9.32,9.05,9.1,9.16,1.35,57.62,3.9
8,603716,塞力医疗,9.58,1.27,0.12,23823.0,22584678.0,2.75,9.61,9.35,9.45,9.46,1.18,-32.7,1.51
9,301408,华人健康,17.88,0.79,0.14,39934.0,70701518.91,3.61,18.05,17.41,17.65,17.74,7.09,60.65,3.85
10,000028,国药一致,65.0,0.4,0.26,87623.0,553074668.76,9.35,67.1,61.05,64.65,64.74,2.38,19.21,1.69
11,000705,浙江震元,8.18,0.37,0.03,47495.0,38663747.26,1.96,8.21,8.05,8.14,8.15,1.68,36.81,1.41
12,002589,瑞康医药,3.75,0.27,0.01,138397.0,51531744.83,1.6,3.75,3.69,3.75,3.74,1.2,66.67,1.04
13,000950,重药控股,7.84,0.26,0.02,1473322.0,1120117081.82,7.16,7.92,7.36,7.69,7.82,8.53,20.58,1.26
14,603368,柳药集团,23.83,0.0,0.0,52580.0,125021213.0,3.94,24.27,23.33,23.82,23.83,1.45,8.27,1.42
15,600767,*ST运盛,,,,,,,,,,4.16,0.0,-60.94,7.25
16,601607,上海医药,22.91,-0.22,-0.05,236193.0,537686939.0,2.79,23.02,22.38,22.85,22.96,1.23,13.96,1.24
17,002462,嘉事堂,16.38,-0.49,-0.08,103440.0,168251866.26,3.28,16.55,16.01,16.26,16.46,3.55,17.64,1.15
18,600056,中国医药,14.23,-0.63,-0.09,367153.0,517239912.0,2.51,14.27,13.91,14.14,14.32,2.46,19.8,1.92
19,605266,健之佳,81.29,-0.74,-0.61,23127.0,185647318.0,6.11,82.5,77.5,82.5,81.9,3.96,26.41,3.03
20,000411,英特集团,12.43,-0.8,-0.1,64178.0,78896444.0,2.71,12.48,12.14,12.48,12.53,2.13,22.99,1.74
21,600998,九州通,16.57,-1.02,-0.17,87903.0,145942055.0,2.63,16.85,16.41,16.71,16.74,0.47,13.83,1.35
22,301015,百洋医药,29.24,-1.22,-0.36,31047.0,90227272.05,3.68,29.79,28.7,29.61,29.6,2.62,31.36,6.33
23,603883,老百姓,34.85,-1.41,-0.5,40049.0,139218236.0,3.03,35.47,34.4,35.36,35.35,0.69,17.49,3.02
24,002788,鹭燕医药,9.67,-1.43,-0.14,116321.0,112464324.42,1.94,9.77,9.58,9.77,9.81,3.07,11.76,1.34
25,301263,泰恩康,34.0,-1.62,-0.56,17844.0,60901741.46,2.92,34.72,33.71,34.48,34.56,1.4,38.65,4.22
26,300937,药易购,30.49,-1.9,-0.59,36891.0,111814614.94,2.8,30.75,29.88,30.71,31.08,8.97,23.05,3.46
27,603939,益丰药房,49.81,-3.67,-1.9,76923.0,384757204.0,5.72,52.27,49.31,52.26,51.71,1.07,26.71,3.99
28,002727,一心堂,28.89,-3.73,-1.12,87933.0,254726735.14,5.1,30.13,28.6,29.95,30.01,2.2,17.98,2.25
29,301017,漱玉平民,18.95,-4.34,-0.86,46408.0,87579277.37,7.27,19.89,18.45,19.89,19.81,4.25,29.75,3.57
30,002411,*ST必康,3.23,-5.0,-0.17,18103.0,5847269.0,0.0,3.23,3.23,3.23,3.4,0.12,-8.33,0.88
31,603233,大参林,34.42,-6.44,-2.37,108476.0,377630613.0,8.37,37.28,34.2,37.05,36.79,1.14,16.44,5.01
