序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,002886,沃特股份,17.02,8.2,1.29,54260,90345120.9,7.5,17.04,15.86,15.9,15.73,3.16,187.62,3.29
2,300538,同益股份,14.71,8.08,1.1,56443,81601622.11,7.13,14.77,13.8,13.8,13.61,5.05,128.62,2.58
3,603879,永悦科技,5.9,7.08,0.39,49025,28203792.0,7.26,5.91,5.51,5.56,5.51,1.36,-89.0,4.31
4,300922,天秦装备,17.25,5.57,0.91,90804,154282346.27,8.45,17.49,16.11,16.53,16.34,10.59,85.13,3.1
5,688386,泛亚微透,44.0,5.57,2.32,14537,63325018.0,7.58,44.69,41.53,41.53,41.68,3.07,66.73,4.9
6,300539,横河精密,12.4,4.55,0.54,22747,27775085.0,5.65,12.49,11.82,11.86,11.86,1.33,75.23,5.25
7,300644,南京聚隆,15.59,3.52,0.53,21074,32554635.67,3.92,15.62,15.03,15.12,15.06,2.48,34.52,2.12
8,300478,杭州高新,9.48,3.49,0.32,11717,11000484.07,3.82,9.52,9.17,9.17,9.16,0.94,-42.21,19.52
9,300716,泉为科技,14.53,3.49,0.49,35703,51463679.0,4.06,14.61,14.04,14.12,14.04,2.23,-21.47,8.86
10,300221,银禧科技,4.94,3.35,0.16,72174,35257560.0,3.97,4.96,4.77,4.78,4.78,1.61,333.1,1.86
11,600135,乐凯胶片,7.23,3.29,0.23,47179,33702710.0,3.57,7.23,6.98,6.98,7.0,0.85,902.47,1.5
12,831834,三维股份,3.91,3.17,0.12,2730,1060051.85,2.37,3.92,3.83,3.83,3.79,0.83,19.74,1.37
13,300610,晨化股份,11.34,3.09,0.34,15340,17198432.4,3.09,11.34,11.0,11.0,11.0,0.95,40.16,2.15
14,603266,天龙股份,12.74,3.07,0.38,11012,13898302.0,3.07,12.76,12.38,12.38,12.36,0.55,22.03,1.85
15,301000,肇民科技,29.2,2.89,0.82,2916,8440731.72,2.89,29.2,28.38,28.38,28.38,0.76,34.55,2.46
16,300243,瑞丰高材,8.25,2.87,0.23,16686,13641725.2,3.24,8.27,8.01,8.01,8.02,0.88,27.1,2.18
17,301161,唯万密封,22.1,2.74,0.59,14933,32714812.37,4.74,22.17,21.15,21.52,21.51,5.15,38.41,2.84
18,603615,茶花股份,7.91,2.73,0.21,12766,10018807.0,3.51,7.92,7.65,7.8,7.7,0.53,236.74,1.58
19,000973,佛塑科技,4.55,2.71,0.12,61534,27715559.9,3.16,4.57,4.43,4.43,4.43,0.64,61.68,1.65
20,300717,华信新材,14.87,2.69,0.39,12472,18412205.0,4.35,14.99,14.36,14.48,14.48,1.22,53.08,2.31
21,003018,金富科技,9.25,2.55,0.23,15557,14257774.2,3.44,9.26,8.95,8.96,9.02,2.05,30.85,1.72
22,300218,安利股份,9.0,2.39,0.21,22548,20221042.9,3.19,9.07,8.79,8.79,8.79,1.04,-34.79,1.55
23,002632,道明光学,6.9,2.37,0.16,70304,48252420.98,2.67,6.92,6.74,6.75,6.74,1.19,30.0,1.81
24,002522,浙江众成,5.2,2.36,0.12,39821,20555275.24,2.36,5.2,5.08,5.11,5.08,0.46,50.21,2.16
25,002361,神剑股份,3.93,2.34,0.09,68709,26809088.78,2.86,3.94,3.83,3.83,3.84,0.86,143.32,1.58
26,002341,新纶新材,3.67,2.23,0.08,71954,26179875.0,3.06,3.68,3.57,3.57,3.59,0.75,-11.2,3.98
27,001368,通达创智,23.89,2.23,0.52,17881,42377533.34,2.4,23.94,23.38,23.41,23.37,6.39,21.6,1.97
28,300905,宝丽迪,16.16,2.21,0.35,4009,6443197.34,2.09,16.2,15.87,15.98,15.81,0.84,45.07,1.85
29,603928,兴业股份,10.92,2.15,0.23,10116,10912677.0,3.09,10.92,10.59,10.59,10.69,0.5,27.58,1.46
30,603150,万朗磁塑,26.39,2.13,0.55,5210,13616696.0,2.98,26.39,25.62,25.62,25.84,1.26,19.54,1.64
31,300180,华峰超纤,3.9,2.09,0.08,104413,40349041.41,3.14,3.91,3.79,3.81,3.82,0.72,-65.48,1.45
32,603221,爱丽家居,7.39,2.07,0.15,7757,5693643.0,2.62,7.4,7.21,7.24,7.24,0.32,-29.79,1.29
33,601208,东材科技,12.32,2.07,0.25,89004,108488196.0,5.14,12.48,11.86,11.93,12.07,1.0,39.95,2.77
34,301003,江苏博云,22.36,2.01,0.44,7073,15735283.0,2.97,22.36,21.71,21.71,21.92,1.03,24.4,1.97
35,836871,派特尔,4.6,2.0,0.09,1102,507961.58,2.88,4.63,4.5,4.5,4.51,0.51,16.35,1.43
36,002395,双象股份,8.6,1.65,0.14,13146,11262746.2,1.77,8.61,8.46,8.46,8.46,0.49,87.47,2.66
37,688585,上纬新材,8.28,1.6,0.13,8861,7272627.0,3.68,8.3,8.0,8.1,8.15,1.06,47.06,2.87
38,300305,裕兴股份,10.99,1.48,0.16,23470,25749258.0,4.43,11.08,10.6,10.6,10.83,1.01,38.65,1.65
39,301196,唯科科技,33.51,1.42,0.47,5557,18560502.54,2.3,33.8,33.04,33.37,33.04,1.49,32.25,1.39
40,301131,聚赛龙,35.57,1.31,0.46,2870,10180147.72,1.99,35.8,35.1,35.1,35.11,1.24,64.11,2.17
41,870204,沪江材料,9.33,1.19,0.11,1019,931350.55,2.71,9.33,9.08,9.26,9.22,0.63,15.88,1.02
42,300806,斯迪克,23.17,1.18,0.27,18268,42026450.24,1.75,23.18,22.78,23.13,22.9,1.07,92.9,3.44
43,832089,禾昌聚合,10.42,1.17,0.12,2571,2651726.71,3.5,10.54,10.18,10.33,10.3,0.41,9.95,1.19
44,002108,沧州明珠,4.41,1.15,0.05,153699,67691580.89,2.06,4.43,4.34,4.36,4.36,0.92,22.28,1.42
45,002263,大东南,2.65,1.15,0.03,64313,16990588.46,1.53,2.66,2.62,2.64,2.62,0.34,176.99,1.83
46,002825,纳尔股份,12.79,1.11,0.14,21754,27657373.24,1.82,12.82,12.59,12.59,12.65,1.19,38.45,2.24
47,603722,阿科力,52.2,1.08,0.56,10504,54385611.0,3.58,52.35,50.5,51.64,51.64,1.19,182.94,5.96
48,301237,和顺科技,30.19,1.0,0.3,3936,11681593.78,3.95,30.19,29.01,29.17,29.89,1.04,249.78,1.7
49,300995,奇德新材,18.07,0.95,0.17,7976,14374564.0,2.07,18.19,17.82,18.19,17.9,2.74,122.93,2.37
50,301198,喜悦智行,25.6,0.95,0.24,5557,14156980.3,1.46,25.65,25.28,25.34,25.36,0.93,58.14,3.46
51,301019,宁波色母,19.59,0.88,0.17,2448,4769021.5,2.01,19.6,19.21,19.21,19.42,0.44,30.03,2.21
52,000859,国风新材,5.04,0.8,0.04,79924,40052875.44,1.4,5.05,4.98,5.0,5.0,0.89,117.07,1.55
53,603991,至正股份,36.59,0.49,0.18,2354,8561011.0,1.68,36.7,36.09,36.15,36.41,0.32,-153.39,9.2
54,600143,金发科技,8.91,0.45,0.04,127560,113570244.0,1.92,8.99,8.82,8.89,8.87,0.5,19.82,1.41
55,688669,聚石化学,23.67,0.38,0.09,4893,11549430.0,2.21,23.97,23.45,23.58,23.58,1.04,38.05,1.41
56,301356,天振股份,44.41,0.27,0.12,10792,47680982.54,2.42,44.78,43.71,44.16,44.29,3.79,27.94,1.53
57,688323,瑞华泰,22.22,0.27,0.06,16144,35705347.0,4.24,22.47,21.53,22.1,22.16,1.65,-131.5,4.44
