序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,000046,泛海控股,0.86,7.5,0.06,1717757.0,146345703.23,6.25,0.87,0.82,0.87,0.8,3.31,-0.85,-0.68
2,600830,香溢融通,5.95,5.31,0.3,84191.0,49316226.0,5.31,5.96,5.66,5.7,5.65,1.85,34.01,1.27
3,000415,渤海租赁,2.2,4.76,0.1,692435.0,152461295.87,3.81,2.24,2.16,2.17,2.1,1.28,13.84,0.5
4,600599,ST熊猫,13.57,4.71,0.61,25582.0,34462694.0,4.63,13.61,13.01,13.09,12.96,1.54,26.75,2.78
5,600318,新力金融,6.44,4.55,0.28,104795.0,66312104.0,4.55,6.45,6.17,6.18,6.16,2.04,79.26,3.23
6,002423,中粮资本,7.46,4.19,0.3,200795.0,148349421.25,4.47,7.49,7.17,7.2,7.16,0.87,11.44,0.91
7,000987,越秀资本,6.89,4.08,0.27,350599.0,239220885.36,6.34,7.01,6.59,6.62,6.62,0.7,12.13,1.25
8,600816,ST安信,3.81,3.25,0.12,164995.0,62649569.0,2.44,3.83,3.74,3.77,3.69,0.31,-430.27,3.5
9,000563,陕国投Ａ,3.26,3.16,0.1,428467.0,138701922.75,3.8,3.29,3.17,3.19,3.16,1.08,12.48,1.01
10,000666,经纬纺机,9.27,2.09,0.19,73736.0,67956490.5,2.64,9.29,9.05,9.08,9.08,2.51,16.74,0.65
11,002647,仁东控股,5.95,2.06,0.12,91547.0,54156665.21,1.89,5.96,5.85,5.85,5.83,1.63,-26.45,21.36
12,600901,江苏金租,6.55,2.02,0.13,341877.0,222831480.0,2.49,6.57,6.41,6.47,6.42,1.15,7.19,1.2
13,600390,五矿资本,5.57,1.83,0.1,595563.0,329594484.0,3.47,5.61,5.42,5.46,5.47,1.32,6.57,0.6
14,001236,弘业期货,14.23,1.64,0.23,77859.0,109479026.87,3.86,14.25,13.71,13.94,14.0,7.73,614.94,7.79
15,000617,中油资本,7.33,1.24,0.09,2029363.0,1470914400.99,4.97,7.38,7.02,7.14,7.24,1.61,10.58,0.95
16,000567,海德股份,18.81,1.24,0.23,40372.0,75370596.21,1.99,18.82,18.45,18.55,18.58,0.44,22.77,3.27
17,600643,爱建集团,5.39,1.13,0.06,81612.0,43961057.0,2.06,5.43,5.32,5.34,5.33,0.5,10.29,0.69
18,600927,永安期货,16.99,0.89,0.15,47622.0,80711534.0,1.84,17.1,16.79,16.83,16.84,0.9,29.67,2.04
19,002961,瑞达期货,14.64,0.21,0.03,26939.0,39250039.1,2.05,14.7,14.4,14.5,14.61,0.61,29.77,2.65
20,600705,中航产融,3.82,0.0,0.0,1127703.0,431231815.0,2.09,3.87,3.79,3.82,3.82,1.28,50.38,0.91
21,300309,*ST吉艾,,,,,,,,,,0.84,0.0,-2.2,-0.39
22,600120,浙江东方,3.99,-0.25,-0.01,274524.0,109764140.0,1.5,4.03,3.97,4.0,4.0,0.8,16.0,0.86
23,603093,南华期货,12.45,-0.95,-0.12,79952.0,99003021.0,3.74,12.58,12.11,12.5,12.57,1.31,30.47,2.26
24,000416,*ST民控,2.47,-2.37,-0.06,715601.0,176868204.62,5.14,2.53,2.4,2.5,2.53,13.46,-507.65,1.54
25,600053,九鼎投资,13.41,-5.1,-0.72,53310.0,71626166.0,4.03,13.81,13.24,13.8,14.13,1.23,-62.87,2.01
