序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,301061,匠心家居,33.23,9.63,2.92,26309.0,86009401.77,10.16,33.65,30.57,30.64,30.31,8.22,13.88,1.54
2,688609,九联科技,8.86,9.11,0.74,322840.0,284836950.0,12.56,9.18,8.16,8.16,8.12,9.82,126.5,3.51
3,603578,三星新材,13.72,5.95,0.77,39606.0,53734689.0,4.94,13.77,13.13,13.14,12.95,2.2,15.11,2.47
4,002519,银河电子,5.18,5.71,0.28,260457.0,133329617.76,5.71,5.19,4.91,4.91,4.9,2.33,23.23,1.92
5,600690,海尔智家,23.7,5.57,1.25,750115.0,1764836576.0,3.16,23.82,23.11,23.25,22.45,1.19,14.09,2.31
6,002418,康盛股份,2.92,5.04,0.14,427356.0,124478037.76,6.12,2.97,2.8,2.81,2.78,3.76,120.01,2.21
7,603519,立霸股份,13.99,4.95,0.66,86463.0,119357259.0,4.95,14.06,13.4,13.62,13.33,3.25,3.84,2.44
8,603366,日出东方,5.61,4.28,0.23,121584.0,67502039.0,3.72,5.63,5.43,5.45,5.38,1.51,-106.96,1.23
9,603355,莱克电气,27.09,4.15,1.08,29274.0,79248155.0,5.31,27.53,26.15,26.15,26.01,0.52,20.97,4.0
10,603515,欧普照明,20.83,4.15,0.83,81270.0,167876421.0,6.1,21.3,20.08,20.25,20.0,1.08,40.11,2.55
11,002860,星帅尔,13.13,4.12,0.52,54547.0,70937850.04,4.68,13.21,12.62,12.66,12.61,2.49,22.34,2.82
12,000801,四川九洲,7.04,3.99,0.27,119574.0,83204862.26,4.28,7.05,6.76,6.79,6.77,1.17,45.15,2.48
13,000810,创维数字,16.41,3.8,0.6,222116.0,360710692.29,4.87,16.49,15.72,15.72,15.81,1.99,40.21,3.08
14,002848,高斯贝尔,9.12,3.75,0.33,37328.0,33640109.0,3.87,9.13,8.79,8.8,8.79,2.31,-18.98,7.58
15,600839,四川长虹,4.06,3.57,0.14,2199941.0,887843275.0,4.85,4.1,3.91,3.91,3.92,4.77,56.49,1.37
16,002076,雪莱特,2.61,3.57,0.09,187972.0,48886338.36,5.95,2.67,2.52,2.52,2.52,1.81,1681.01,8.95
17,002543,万和电气,8.84,3.39,0.29,49029.0,42842029.48,3.86,8.84,8.51,8.53,8.55,0.79,13.33,1.48
18,301008,宏昌科技,25.71,3.34,0.83,3764.0,9570276.0,4.46,25.79,24.68,24.7,24.88,1.53,53.52,1.98
19,603677,奇精机械,11.66,2.91,0.33,9623.0,11105340.0,3.18,11.69,11.33,11.33,11.33,0.5,32.62,2.12
20,002035,华帝股份,7.1,2.9,0.2,114344.0,80543271.4,3.19,7.12,6.9,6.9,6.9,1.46,16.32,1.77
21,603311,金海高科,12.15,2.79,0.33,12034.0,14550673.0,2.96,12.18,11.83,11.83,11.82,0.57,35.63,2.3
22,002429,兆驰股份,4.81,2.78,0.13,291236.0,140764564.74,4.06,4.89,4.7,4.71,4.68,0.65,14.21,1.56
23,002403,爱仕达,8.3,2.72,0.22,29850.0,24599640.0,3.09,8.33,8.08,8.2,8.08,0.98,-18.15,1.4
24,600261,阳光照明,3.4,2.72,0.09,90185.0,30416436.0,2.42,3.4,3.32,3.33,3.31,0.64,20.65,1.32
25,002420,毅昌科技,6.15,2.67,0.16,70914.0,43244275.0,2.84,6.16,5.99,6.01,5.99,1.82,57.28,3.55
26,603551,奥普家居,11.72,2.63,0.3,21121.0,24611394.0,2.8,11.74,11.42,11.52,11.42,0.53,19.62,2.96
27,603219,富佳股份,20.65,2.58,0.52,30143.0,61598776.0,2.78,20.69,20.13,20.13,20.13,2.72,81.76,6.12
28,000404,长虹华意,6.8,2.56,0.17,377136.0,255011705.44,3.17,6.84,6.63,6.66,6.63,5.43,18.8,1.29
29,600336,澳柯玛,5.92,2.42,0.14,73318.0,42887847.0,2.77,5.93,5.77,5.81,5.78,0.92,38.93,1.88
30,300625,三雄极光,11.79,2.34,0.27,13506.0,15796286.0,2.52,11.81,11.52,11.55,11.52,0.85,70.3,1.51
31,603112,华翔股份,10.62,2.31,0.24,32241.0,34031999.0,3.56,10.68,10.31,10.31,10.38,2.04,15.16,1.97
32,300160,秀强股份,6.74,2.28,0.15,80953.0,54091130.72,2.58,6.75,6.58,6.59,6.59,1.33,20.74,2.25
33,300403,汉宇集团,6.8,2.26,0.15,87613.0,59067370.74,2.56,6.81,6.64,6.65,6.65,2.23,21.84,2.17
34,002705,新宝股份,16.33,2.25,0.36,102727.0,168163533.2,4.01,16.77,16.13,16.13,15.97,1.25,24.39,1.89
35,300217,东方电热,5.55,2.02,0.11,205948.0,114096303.63,3.68,5.6,5.4,5.4,5.44,1.67,30.61,2.46
36,603657,春光科技,15.68,2.02,0.31,14060.0,21834304.0,3.9,15.82,15.22,15.39,15.37,1.05,32.27,1.97
37,601956,东贝集团,5.64,1.99,0.11,71257.0,39869612.0,2.35,5.64,5.51,5.52,5.53,2.24,22.85,1.45
38,300247,融捷健康,3.59,1.99,0.07,129518.0,46149977.0,2.27,3.59,3.51,3.53,3.52,1.61,64.49,2.89
39,200521,虹美菱B,2.58,1.98,0.05,3184.0,813896.68,4.35,2.6,2.49,2.49,2.53,0.22,4.75,0.44
40,003023,彩虹集团,19.49,1.94,0.37,19153.0,37133173.0,1.94,19.5,19.13,19.14,19.12,3.73,17.94,1.43
41,002676,顺威股份,3.96,1.8,0.07,78805.0,31075318.6,3.08,3.99,3.87,3.89,3.89,1.09,58.85,2.47
42,605365,立达信,15.1,1.68,0.25,11383.0,17086545.0,1.89,15.13,14.85,14.88,14.85,1.99,55.31,2.26
43,300342,天银机电,9.7,1.68,0.16,110370.0,106067835.65,3.77,9.76,9.4,9.42,9.54,2.65,57.97,2.73
44,002290,禾盛新材,9.17,1.66,0.15,17627.0,16058052.8,1.88,9.2,9.03,9.15,9.02,0.72,32.05,3.59
45,002723,小崧股份,10.6,1.53,0.16,42326.0,44756858.2,2.3,10.64,10.4,10.5,10.44,1.37,144.13,2.7
46,002759,天际股份,14.47,1.47,0.21,50448.0,72377402.1,2.59,14.52,14.15,14.25,14.26,1.25,147.56,1.54
47,300911,亿田智能,39.01,1.46,0.56,17446.0,67849653.63,2.29,39.29,38.41,38.51,38.45,4.15,25.74,3.03
48,600854,春兰股份,5.02,1.41,0.07,256915.0,128018108.0,4.85,5.08,4.84,4.91,4.95,4.95,27.7,1.15
49,301187,欧圣电气,15.98,1.4,0.22,11632.0,18486128.74,1.97,16.01,15.7,15.83,15.76,2.43,38.65,2.0
50,000541,佛山照明,5.24,1.35,0.07,36363.0,18989560.36,1.55,5.25,5.17,5.18,5.17,0.34,26.94,1.36
51,000016,深康佳Ａ,4.74,1.28,0.06,93620.0,44059353.24,1.5,4.74,4.67,4.67,4.68,0.59,18.71,1.47
52,605336,帅丰电器,16.81,1.14,0.19,9967.0,16714317.0,1.87,16.89,16.58,16.58,16.62,1.7,19.36,1.58
53,300272,开能健康,5.38,1.13,0.06,57434.0,30650253.74,3.01,5.41,5.25,5.28,5.32,1.4,46.75,2.81
54,605555,德昌股份,20.31,1.04,0.21,12111.0,24477771.0,1.84,20.37,20.0,20.05,20.1,1.25,32.04,2.1
55,600060,海信视像,22.3,1.04,0.23,164721.0,367188287.0,5.3,22.97,21.8,22.23,22.07,1.28,11.75,1.6
56,002614,奥佳华,7.97,1.01,0.08,59323.0,46998781.0,1.77,7.99,7.85,7.85,7.89,1.35,64.84,1.08
57,603726,朗迪集团,12.27,0.99,0.12,9113.0,11130004.0,2.47,12.32,12.02,12.09,12.15,0.49,38.55,1.93
58,000521,长虹美菱,7.21,0.7,0.05,537907.0,387299360.88,4.05,7.29,7.0,7.06,7.16,6.14,15.15,1.4
59,001259,利仁科技,27.64,0.69,0.19,4776.0,13129590.0,1.35,27.67,27.3,27.31,27.45,2.58,29.41,2.69
60,603215,比依股份,17.74,0.68,0.12,64448.0,114204538.0,2.16,17.89,17.51,17.63,17.62,9.15,17.85,3.17
61,002668,奥马电器,7.47,0.67,0.05,296255.0,220866785.61,3.64,7.59,7.32,7.32,7.42,2.73,11.88,8.16
62,200016,深康佳Ｂ,1.64,0.61,0.01,4996.0,810871.59,3.68,1.67,1.61,1.67,1.63,0.06,5.67,0.44
63,688475,萤石网络,47.4,0.57,0.27,31273.0,148817223.0,3.2,48.5,46.99,47.99,47.13,3.55,73.11,5.38
64,200512,闽灿坤Ｂ,3.8,0.53,0.02,2492.0,948073.62,1.85,3.84,3.77,3.78,3.78,0.13,14.67,0.59
65,688793,倍轻松,47.54,0.46,0.22,6232.0,29507989.0,3.72,48.26,46.5,47.31,47.32,2.68,-401.75,6.36
66,002050,三花智控,23.34,0.09,0.02,158427.0,367202583.36,3.56,23.67,22.84,23.45,23.32,0.45,34.85,6.32
67,002242,九阳股份,16.28,0.06,0.01,36644.0,59596451.28,2.46,16.49,16.09,16.25,16.27,0.48,25.72,3.63
68,300824,北鼎股份,10.69,0.0,0.0,77430.0,82735505.64,4.77,11.01,10.5,10.6,10.69,5.33,49.51,5.06
69,002052,*ST同洲,,,,,,,,,,2.07,0.0,-91.91,19.16
70,002005,ST德豪,1.62,0.0,0.0,97521.0,15607560.0,4.32,1.63,1.56,1.62,1.62,0.56,-16.79,2.76
71,002677,浙江美大,11.05,-0.18,-0.02,37025.0,40962530.8,2.08,11.2,10.97,11.08,11.07,0.86,17.73,3.45
72,603303,得邦照明,14.52,-0.68,-0.1,20725.0,30156075.0,3.08,14.87,14.42,14.57,14.62,0.43,26.24,2.07
73,000921,海信家电,24.79,-0.8,-0.2,101413.0,252119830.4,3.16,25.3,24.51,24.7,24.99,1.12,13.73,2.82
74,000333,美的集团,56.78,-0.84,-0.48,156906.0,891005834.71,1.99,57.35,56.21,57.25,57.26,0.23,12.39,2.62
75,603868,飞科电器,77.59,-1.07,-0.84,11803.0,91384749.0,6.86,80.38,75.0,80.38,78.43,0.27,26.38,9.02
76,000651,格力电器,39.34,-1.16,-0.46,690283.0,2717033086.46,3.39,40.37,39.02,40.2,39.8,1.23,13.48,2.17
77,300894,火星人,27.58,-1.32,-0.37,21822.0,60605779.37,4.36,28.45,27.23,27.5,27.95,1.72,57.68,7.05
78,002508,老板电器,26.05,-1.4,-0.37,99905.0,261710541.81,3.79,26.9,25.9,26.53,26.42,1.07,15.9,2.44
79,603579,荣泰健康,21.59,-1.46,-0.32,16345.0,35157655.0,3.83,21.79,20.95,21.21,21.91,1.18,20.15,1.62
80,002959,小熊电器,84.42,-1.57,-1.35,23513.0,198013864.84,3.87,85.3,81.98,83.49,85.77,1.51,19.97,5.37
81,603486,科沃斯,69.5,-1.93,-1.37,36777.0,257584024.0,4.81,72.5,69.09,71.0,70.87,0.65,30.49,6.0
82,603195,公牛集团,148.2,-2.37,-3.59,10128.0,151728230.0,5.89,155.99,147.05,153.44,151.79,0.17,30.26,6.77
83,002011,盾安环境,14.38,-3.3,-0.49,344401.0,497091871.37,3.7,14.77,14.22,14.76,14.87,3.76,23.33,3.99
84,873339,恒太照明,4.86,-3.57,-0.18,10993.0,5260326.01,8.93,5.04,4.59,4.8,5.04,1.94,30.21,1.85
85,688169,石头科技,303.06,-3.78,-11.92,9803.0,297705329.0,5.07,315.0,299.03,312.25,314.98,1.05,34.75,2.9
86,002032,苏 泊 尔,51.5,-4.7,-2.54,39426.0,203748103.51,3.7,52.92,50.92,51.22,54.04,0.49,23.72,5.61
87,600983,惠而浦,7.89,-4.71,-0.39,49343.0,39005457.0,6.52,8.25,7.71,8.21,8.28,0.64,132.65,2.01
88,688696,极米科技,174.18,-5.03,-9.22,12173.0,213403932.0,5.9,180.98,170.16,179.98,183.4,2.67,58.4,3.8
89,831641,格利尔,8.93,-5.7,-0.54,6198.0,5562535.79,3.59,9.19,8.85,9.02,9.47,2.62,9.54,1.66
90,605117,德业股份,251.31,-6.78,-18.29,49571.0,1271383094.0,9.55,275.64,249.89,273.2,269.6,6.1,25.49,13.06
91,600619,海立股份,6.08,-6.89,-0.45,262895.0,158967564.0,5.51,6.24,5.88,6.23,6.53,3.33,-60.28,1.08
