序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,688190,云路股份,74.67,5.91,4.17,7556,55448675.0,7.19,75.1,70.03,70.03,70.5,1.37,30.5,4.28
2,002428,云南锗业,11.84,5.71,0.64,279666,327627852.97,8.3,11.95,11.02,11.03,11.2,4.34,-203.85,5.53
3,000960,锡业股份,15.42,4.05,0.6,307486,469711438.83,4.39,15.49,14.84,14.84,14.82,1.87,23.74,1.51
4,300835,龙磁科技,30.85,3.77,1.12,43460,132734666.88,6.22,31.13,29.28,29.61,29.73,6.35,60.55,3.65
5,002149,西部材料,16.74,3.02,0.49,89730,149365413.8,3.69,16.81,16.21,16.26,16.25,1.84,58.13,2.88
6,000657,中钨高新,13.3,2.94,0.38,128426,170936082.6,5.57,13.59,12.87,12.9,12.92,1.36,35.86,2.6
7,300328,宜安科技,6.18,2.83,0.17,80943,49835979.08,3.49,6.24,6.03,6.03,6.01,1.19,-2249.8,3.93
8,600980,北矿科技,14.44,2.41,0.34,14410,20631480.0,2.77,14.47,14.08,14.18,14.1,0.92,29.91,2.2
9,600615,丰华股份,7.89,2.33,0.18,9963,7806916.0,2.59,7.9,7.7,7.8,7.71,0.53,-115.93,2.35
10,600281,华阳新材,4.2,2.19,0.09,21758,8995298.0,2.92,4.2,4.08,4.12,4.11,0.42,-18.86,5.19
11,301026,浩通科技,41.58,1.91,0.78,9848,40443949.24,3.16,41.7,40.41,40.93,40.8,1.77,24.12,3.29
12,002378,章源钨业,7.6,1.47,0.11,82846,62690532.0,1.6,7.62,7.5,7.51,7.49,0.9,50.07,3.45
13,002738,中矿资源,76.0,1.46,1.09,143203,1087595810.21,4.21,77.85,74.7,75.5,74.91,3.29,8.83,3.36
14,600392,盛和资源,13.77,1.32,0.18,134669,184903531.0,2.13,13.84,13.55,13.61,13.59,0.77,77.98,2.51
15,002842,翔鹭钨业,8.26,1.23,0.1,34567,28368337.0,1.59,8.28,8.15,8.21,8.16,1.6,337.57,2.58
16,603993,洛阳钼业,5.96,1.19,0.07,1701643,1017351700.0,2.38,6.05,5.91,5.92,5.89,0.97,101.48,2.59
17,600259,广晟有色,38.06,1.17,0.44,31408,118903445.0,1.73,38.15,37.5,37.63,37.62,0.95,565.62,3.72
18,300224,正海磁材,12.32,1.15,0.14,47234,58028842.33,1.48,12.33,12.15,12.16,12.18,0.58,21.48,3.13
19,000970,中科三环,11.87,1.02,0.12,122146,144314453.48,1.7,11.88,11.68,11.69,11.75,1.0,35.67,2.21
20,000962,东方钽业,11.45,0.97,0.11,44384,50577829.44,1.76,11.45,11.25,11.32,11.34,1.01,21.51,3.24
21,601958,金钼股份,11.21,0.9,0.1,402432,448440134.0,2.61,11.28,10.99,11.07,11.11,1.25,10.86,2.58
22,301141,中科磁业,37.55,0.89,0.33,22847,84864518.22,4.86,37.81,36.0,36.36,37.22,11.27,63.49,1.6
23,600111,北方稀土,25.16,0.88,0.22,211004,529867361.0,1.16,25.27,24.98,24.98,24.94,0.58,24.66,4.38
24,600549,厦门钨业,19.54,0.77,0.15,111196,216548319.0,1.24,19.61,19.37,19.41,19.39,0.79,15.75,2.65
25,000795,英洛华,6.41,0.63,0.04,76815,49147268.96,1.73,6.46,6.35,6.45,6.37,0.68,46.87,2.65
26,688077,大地熊,39.21,0.54,0.21,7093,27898590.0,2.03,39.79,39.0,39.0,39.0,1.57,-19.03,2.78
27,000831,中国稀土,33.81,0.54,0.18,132364,447541049.16,1.58,34.13,33.6,33.68,33.63,1.35,425.92,10.92
28,300127,银河磁体,16.25,0.49,0.08,42101,67910070.89,3.4,16.48,15.93,16.38,16.17,1.84,26.21,3.62
29,000633,合金投资,10.09,0.2,0.02,75193,75289243.83,2.88,10.18,9.89,10.1,10.07,1.95,811.2,22.2
30,002167,东方锆业,7.23,0.0,0.0,290647,209519011.33,1.94,7.28,7.14,7.17,7.23,4.17,142.4,3.84
31,300748,金力永磁,27.87,-0.04,-0.01,64230,179438010.51,2.76,28.42,27.65,28.1,27.88,0.91,32.77,3.35
32,600366,宁波韵升,8.42,-0.71,-0.06,109521,92488663.0,2.0,8.57,8.4,8.47,8.48,1.11,123.72,1.52
33,600459,贵研铂业,16.75,-0.71,-0.12,73247,122570788.0,1.96,16.96,16.63,16.83,16.87,0.99,20.21,2.08
34,002056,横店东磁,19.0,-0.73,-0.14,136165,259638590.26,2.72,19.48,18.96,19.14,19.14,0.85,13.26,3.98
35,600456,宝钛股份,33.73,-0.85,-0.29,33003,111388382.0,2.18,34.27,33.53,34.05,34.02,0.69,29.46,2.55
36,603399,吉翔股份,11.58,-1.86,-0.22,122300,142049879.0,2.8,11.83,11.5,11.69,11.8,2.41,43.82,2.54
37,600206,有研新材,13.74,-2.48,-0.35,252344,340259306.0,4.61,13.75,13.1,13.5,14.09,2.98,74.99,3.17
38,300811,铂科新材,99.51,-3.54,-3.65,20623,207240515.7,5.7,105.0,99.12,103.0,103.16,2.39,41.66,6.44
39,605376,博迁新材,33.51,-6.74,-2.42,118492,391170459.0,4.59,34.0,32.35,33.03,35.93,6.77,1216.69,5.18
