序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,301136,招标股份,14.56,16.02,2.01,108442.0,151258684.14,16.18,14.9,12.87,12.89,12.55,10.44,72.47,2.64
2,300500,启迪设计,16.36,11.37,1.67,99026.0,159177995.78,9.46,16.58,15.19,15.3,14.69,6.03,34.04,1.8
3,600629,华建集团,9.75,9.55,0.85,922559.0,856246999.0,14.27,9.79,8.52,8.8,8.9,9.77,26.86,2.05
4,300844,山水比德,27.07,8.67,2.16,11637.0,30815909.2,8.79,27.27,25.08,25.5,24.91,6.94,-48.34,2.09
5,300949,奥雅股份,33.16,6.62,2.06,10873.0,35613373.62,6.82,33.32,31.2,31.2,31.1,6.39,-15.96,1.78
6,300746,汉嘉设计,9.89,6.12,0.57,46219.0,44849471.0,6.76,9.95,9.32,9.34,9.32,2.09,59.68,1.71
7,300732,设研院,10.15,5.84,0.56,76449.0,76061715.49,6.57,10.19,9.56,9.66,9.59,2.37,19.8,1.15
8,300977,深圳瑞捷,24.77,5.49,1.29,26384.0,63736478.28,7.96,24.87,23.0,23.49,23.48,10.3,91.35,1.82
9,301027,华蓝集团,12.68,5.49,0.66,26833.0,33344451.0,5.32,12.69,12.05,12.17,12.02,2.67,-251.06,1.96
10,000928,中钢国际,8.86,5.48,0.46,579773.0,503797972.77,7.62,8.91,8.27,8.4,8.4,4.53,13.64,1.7
11,300778,新城市,20.88,4.98,0.99,108044.0,220941258.97,10.36,21.59,19.53,19.53,19.89,7.18,64.22,2.88
12,603153,上海建科,20.76,4.8,0.95,153192.0,311274672.0,7.98,21.15,19.57,19.95,19.81,27.85,107.84,2.62
13,300989,蕾奥规划,24.49,4.79,1.12,36558.0,88464469.16,6.16,24.66,23.22,23.4,23.37,13.54,173.99,2.62
14,603018,华设集团,9.53,4.73,0.43,266657.0,249698392.0,7.47,9.63,8.95,8.98,9.1,3.99,17.14,1.45
15,603860,中公高科,29.23,4.1,1.15,25030.0,72587545.0,4.59,29.37,28.08,28.13,28.08,3.75,120.98,2.67
16,300564,筑博设计,12.48,4.09,0.49,35749.0,44039245.4,3.67,12.5,12.06,12.48,11.99,3.29,-34.82,1.52
17,002116,中国海诚,12.77,4.07,0.5,438640.0,555572517.79,9.86,13.31,12.1,12.75,12.27,10.53,26.37,3.21
18,300675,建科院,14.75,4.02,0.57,21215.0,30833167.0,3.88,14.75,14.2,14.3,14.18,1.45,-14.04,3.85
19,300826,测绘股份,12.87,3.96,0.49,18580.0,23684779.93,5.25,12.94,12.29,12.29,12.38,1.34,44.66,1.72
20,002949,华阳国际,16.44,3.92,0.62,114730.0,184594140.92,7.59,16.6,15.4,15.57,15.82,7.69,194.39,2.36
21,003001,中岩大地,15.48,3.89,0.58,21922.0,33618357.24,3.96,15.57,14.98,15.0,14.9,4.44,-51.22,1.66
22,301091,深城交,26.01,3.42,0.86,24909.0,64276058.59,3.7,26.09,25.16,25.3,25.15,2.56,-47.87,2.64
23,000779,甘咨询,11.23,3.31,0.36,75233.0,83180850.9,3.96,11.25,10.82,10.92,10.87,2.0,23.19,1.59
24,002883,中设股份,11.2,3.13,0.34,33533.0,37194962.0,3.96,11.27,10.84,10.85,10.86,2.71,39.59,2.68
25,603017,中衡设计,9.91,3.01,0.29,46353.0,45549675.0,3.74,9.95,9.59,9.65,9.62,1.68,23.34,1.9
26,603458,勘设股份,10.03,2.98,0.29,33966.0,33696424.0,3.29,10.04,9.72,9.72,9.74,1.09,32.98,0.93
27,301167,建研设计,23.98,2.92,0.68,10375.0,24644328.45,3.43,24.11,23.31,23.38,23.3,2.17,30.59,2.09
28,300668,杰恩设计,26.7,2.73,0.71,16183.0,42794583.0,5.46,27.15,25.73,25.73,25.99,2.05,135.98,4.46
29,003013,地铁设计,18.45,2.61,0.47,20229.0,36801220.48,4.12,18.49,17.75,17.9,17.98,3.36,18.33,3.26
30,833427,华维设计,5.24,2.54,0.13,594.0,308978.12,1.76,5.24,5.15,5.19,5.11,0.16,10.34,1.45
31,603959,百利科技,9.46,2.38,0.22,54396.0,51098668.0,3.03,9.52,9.24,9.28,9.24,1.11,16.65,6.36
32,300983,尤安设计,30.52,2.24,0.67,3333.0,10074960.2,3.79,30.66,29.53,29.7,29.85,1.04,-114.19,1.27
33,603909,建发合诚,15.66,1.75,0.27,14050.0,21727650.0,4.35,15.73,15.06,15.2,15.39,0.7,113.52,3.33
34,300492,华图山鼎,51.32,1.74,0.88,3254.0,16568908.72,2.3,51.42,50.26,50.87,50.44,0.23,-699.72,23.85
35,833873,中设咨询,2.96,1.02,0.03,1602.0,471414.42,2.05,2.97,2.91,2.93,2.93,0.15,-10.8,1.08
36,300635,中达安,12.73,0.87,0.11,19032.0,23945962.55,2.46,12.74,12.43,12.63,12.62,1.64,41.25,3.49
37,300284,苏交科,6.53,0.46,0.03,204086.0,132117152.09,2.77,6.56,6.38,6.49,6.5,2.34,40.91,1.0
38,836892,广咨国际,9.29,0.22,0.02,543.0,503890.58,0.54,9.29,9.24,9.26,9.27,0.16,51.14,2.37
39,836208,青矩技术,,,,,,,,,,38.05,0.0,37.91,3.94
40,900906,中毅达B,0.453,-0.44,-0.002,7108.0,318676.0,3.3,0.458,0.443,0.456,0.455,0.2,-70.99,25.37
41,603357,设计总院,11.57,-1.62,-0.19,210216.0,242541505.0,4.68,11.97,11.42,11.88,11.76,4.62,10.94,1.66
