序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,600880,博瑞传播,6.69,10.03,0.61,1098540.0,716536902.0,10.2,6.69,6.07,6.13,6.08,10.05,201.13,2.42
2,000526,学大教育,19.01,10.01,1.73,145959.0,269894446.56,9.78,19.01,17.32,17.32,17.28,12.39,110.01,5.09
3,300192,科德教育,13.91,8.67,1.11,260931.0,357090112.96,12.89,14.25,12.6,12.82,12.8,12.1,32.01,5.9
4,301231,荣信文化,32.68,7.18,2.19,103085.0,323590768.88,10.2,32.8,29.69,29.69,30.49,48.86,201.78,2.97
5,300010,*ST豆神,2.32,6.42,0.14,686884.0,156705920.78,7.8,2.37,2.2,2.26,2.18,8.42,-9.4,-2.86
6,002621,美吉姆,3.97,5.03,0.19,274010.0,107368553.03,6.08,3.98,3.75,3.79,3.78,3.42,-64.98,7.12
7,300688,创业黑马,23.56,4.25,0.96,95219.0,222341518.42,5.09,23.73,22.58,22.63,22.6,7.02,-91.15,7.35
8,003032,传智教育,14.68,4.19,0.59,106503.0,153577473.0,5.61,14.75,13.96,14.07,14.09,6.12,84.2,4.35
9,002659,凯文教育,4.46,3.48,0.15,152820.0,67608707.8,6.03,4.52,4.26,4.26,4.31,2.6,-62.85,1.19
10,600636,国新文化,11.9,3.3,0.38,318972.0,377831575.0,4.34,12.05,11.55,11.65,11.52,7.24,270.09,1.95
11,600730,中国高科,6.01,3.09,0.18,113270.0,67436470.0,3.43,6.03,5.83,5.83,5.83,1.93,-99.76,2.01
12,300338,ST开元,4.5,2.97,0.13,103611.0,46395059.12,3.89,4.53,4.36,4.36,4.37,3.5,100.8,16.68
13,605098,行动教育,35.33,2.88,0.99,11576.0,40750276.0,5.36,35.88,34.04,34.07,34.34,2.63,58.44,3.85
14,900916,凤凰B股,0.342,0.29,0.001,1816.0,61776.0,1.17,0.342,0.338,0.341,0.341,0.11,19.98,0.57
15,600455,博通股份,,,,,,,,,,21.41,0.0,711.67,5.55
16,300282,ST三盛,,,,,,,,,,3.73,0.0,-25.99,1.04
17,002607,中公教育,4.92,-0.4,-0.02,2664038.0,1291331994.91,9.92,5.02,4.53,4.89,4.94,5.69,312.14,37.73
18,600661,昂立教育,9.41,-2.08,-0.2,72219.0,67240912.0,4.68,9.51,9.06,9.2,9.61,2.52,-22.65,8.46
19,300089,*ST文化,0.8,-2.44,-0.02,465203.0,38198646.99,10.98,0.87,0.78,0.78,0.82,11.47,-4.67,-0.88
20,300359,全通教育,6.55,-3.68,-0.25,428443.0,276601399.18,8.09,6.7,6.15,6.69,6.8,6.77,-306.95,5.93
