序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,600593,大连圣亚,14.22,8.97,1.17,47371,66511974.0,7.89,14.33,13.3,13.39,13.05,3.68,249.12,9.7
2,300756,金马游乐,18.76,8.13,1.41,133342,243379765.4,14.99,19.5,16.9,17.11,17.35,14.47,23.79,2.41
3,601007,金陵饭店,9.63,5.59,0.51,111982,105830619.0,6.03,9.65,9.1,9.19,9.12,2.87,94.47,2.38
4,000888,峨眉山Ａ,9.23,4.77,0.42,266460,243228712.07,6.81,9.35,8.75,8.81,8.81,5.06,17.33,2.08
5,002306,中科云网,4.04,4.66,0.18,153320,61208720.59,6.22,4.05,3.81,3.81,3.86,1.89,-30.71,82.68
6,000610,西安旅游,18.27,4.58,0.8,359125,649229516.71,5.67,18.37,17.38,17.42,17.47,15.25,-36.77,6.96
7,600706,曲江文旅,17.5,4.23,0.71,319076,553009357.0,7.15,17.65,16.45,16.45,16.79,12.56,122.31,4.6
8,002707,众信旅游,8.3,3.75,0.3,212513,174527598.09,4.0,8.33,8.01,8.01,8.0,2.67,-54.38,11.94
9,000721,西安饮食,13.81,3.45,0.46,358850,490888977.1,3.0,13.85,13.45,13.45,13.35,8.23,-63.66,15.63
10,301073,君亭酒店,58.59,3.33,1.89,20493,117954696.11,5.04,58.86,56.0,56.47,56.7,2.67,464.28,7.77
11,600138,中青旅,14.18,3.28,0.45,218839,306118099.0,3.5,14.18,13.7,13.81,13.73,3.02,-534.42,1.71
12,000524,岭南控股,11.22,3.03,0.33,85510,94763529.81,4.68,11.27,10.76,10.88,10.89,1.28,215.88,3.68
13,000796,ST凯撒,4.79,3.01,0.14,115722,54121031.0,6.02,4.79,4.51,4.66,4.65,1.44,-22.63,-4.06
14,600749,西藏旅游,13.58,2.96,0.39,94905,127868673.0,3.34,13.65,13.21,13.35,13.19,4.18,-88.85,3.12
15,002159,三特索道,14.93,2.82,0.41,62748,92948101.0,4.68,15.08,14.4,14.4,14.52,4.55,23.04,2.29
16,603099,长白山,10.37,2.67,0.27,58502,60349855.0,5.64,10.51,9.94,9.94,10.1,2.19,-167.14,3.07
17,603199,九华旅游,33.12,2.44,0.79,140617,463086798.0,6.68,34.16,32.0,32.2,32.33,12.7,14.82,2.81
18,000430,张家界,8.14,2.39,0.19,112301,90365768.87,3.4,8.14,7.87,7.88,7.95,3.39,-27.42,3.05
19,002059,云南旅游,7.28,2.25,0.16,150586,108941755.32,3.09,7.32,7.1,7.13,7.12,1.6,-88.85,4.0
20,000428,华天酒店,4.88,2.09,0.1,218381,105123307.72,4.18,4.89,4.69,4.7,4.78,2.14,-28.36,2.82
21,002186,全 聚 德,12.91,1.97,0.25,136247,174433422.22,3.71,12.97,12.5,12.7,12.66,4.42,108.52,5.25
22,000978,桂林旅游,8.06,1.9,0.15,143903,114652934.0,3.54,8.08,7.8,7.85,7.91,4.0,-75.41,2.96
23,600054,黄山旅游,14.3,1.78,0.25,174145,247937569.0,4.27,14.45,13.85,14.05,14.05,3.39,40.38,2.51
24,300859,*ST西域,26.4,1.62,0.42,182935,472662892.87,14.74,27.74,23.91,25.21,25.98,19.11,-78.74,6.83
25,603136,天目湖,28.75,1.59,0.45,28217,80610341.0,3.53,28.95,27.95,28.3,28.3,1.51,69.94,4.44
26,605108,同庆楼,36.69,1.13,0.41,28409,103634695.0,4.38,37.01,35.42,36.04,36.28,3.48,32.99,4.63
27,900934,锦江Ｂ股,2.06,0.88,0.018,1833,376450.0,0.93,2.062,2.043,2.047,2.042,0.12,29.07,0.91
28,600258,首旅酒店,21.66,0.56,0.12,248644,536241496.0,3.34,21.95,21.23,21.7,21.54,2.32,78.49,2.29
29,002033,丽江股份,11.51,0.09,0.01,315538,360495287.65,4.87,11.72,11.16,11.49,11.5,5.74,28.64,2.56
30,900929,锦旅Ｂ股,1.621,-0.25,-0.004,749,121128.0,1.35,1.627,1.605,1.627,1.625,0.11,-83.28,2.04
31,601888,中国中免,160.98,-0.38,-0.62,227473,3660437107.0,5.43,166.38,157.61,164.77,161.6,1.17,36.19,6.59
32,300144,宋城演艺,14.59,-0.41,-0.06,562949,812399590.22,5.05,14.87,14.13,14.66,14.65,2.46,158.14,5.0
33,600754,锦江酒店,53.49,-0.76,-0.41,113939,607412328.0,3.4,54.18,52.35,53.65,53.9,1.25,109.86,3.43
34,900942,黄山Ｂ股,0.814,-1.21,-0.01,9902,809080.0,2.79,0.832,0.809,0.825,0.824,0.46,15.79,0.98
