序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,600531,豫光金铅,6.38,8.69,0.51,593464,370877507.0,7.5,6.41,5.97,6.0,5.87,5.44,11.45,1.54
2,002501,利源精制,1.64,6.49,0.1,316441,51689925.72,7.14,1.66,1.55,1.55,1.54,0.89,-35.04,4.8
3,300697,电工合金,11.35,6.37,0.68,89416,99433918.0,8.43,11.45,10.55,10.67,10.67,5.94,19.37,3.9
4,000060,中金岭南,5.06,4.98,0.24,468199,232946708.15,5.19,5.07,4.82,4.82,4.82,1.25,14.77,1.31
5,002171,楚江新材,7.13,4.09,0.28,134594,95539024.75,4.38,7.15,6.85,6.85,6.85,1.04,25.12,1.57
6,688456,有研粉材,29.85,4.04,1.16,11587,34521518.0,4.98,30.3,28.87,29.1,28.69,1.8,72.43,2.73
7,839167,同享科技,11.43,3.91,0.43,1140,1292752.73,3.64,11.48,11.08,11.23,11.0,0.18,14.75,2.61
8,688257,新锐股份,37.6,3.78,1.37,5841,21723762.0,4.11,37.69,36.2,36.23,36.23,0.87,22.85,1.67
9,600768,宁波富邦,10.05,3.08,0.3,35268,35262376.0,3.79,10.09,9.72,9.74,9.75,2.64,449.97,3.42
10,601600,中国铝业,6.39,3.06,0.19,1378252,878416294.0,5.32,6.5,6.17,6.17,6.2,1.05,15.12,2.02
11,600497,驰宏锌锗,5.45,2.83,0.15,687078,371241247.0,2.83,5.45,5.3,5.3,5.3,1.35,11.95,1.79
12,002114,罗平锌电,6.73,2.75,0.18,43423,29079953.0,2.9,6.74,6.55,6.56,6.55,1.34,-78.62,1.77
13,002203,海亮股份,12.18,2.61,0.31,55197,66660106.56,3.12,12.22,11.85,11.93,11.87,0.29,18.14,1.94
14,000878,云南铜业,12.59,2.52,0.31,290794,362704220.55,2.77,12.59,12.25,12.25,12.28,1.71,13.18,1.86
15,002295,精艺股份,6.51,2.52,0.16,48367,31363668.46,2.83,6.54,6.36,6.36,6.35,1.93,58.21,1.24
16,300489,光智科技,16.84,2.5,0.41,8817,14767785.7,3.16,16.89,16.37,16.37,16.43,0.65,-10.72,9.26
17,603937,丽岛新材,10.98,2.43,0.26,13520,14773643.0,2.71,11.03,10.74,10.79,10.72,0.65,39.11,1.45
18,601168,西部矿业,13.14,2.34,0.3,358536,469868577.0,2.73,13.21,12.86,12.88,12.84,1.5,11.51,1.86
19,600255,鑫科材料,2.25,2.27,0.05,117104,26150014.0,2.73,2.25,2.19,2.2,2.2,0.65,-117.32,2.9
20,000751,锌业股份,3.25,2.2,0.07,186365,60220621.32,2.52,3.26,3.18,3.19,3.18,1.32,50.94,1.52
21,600961,株冶集团,8.84,2.2,0.19,51888,45516018.0,4.16,8.86,8.5,8.51,8.65,0.98,14.4,14.42
22,300930,屹通新材,24.98,2.13,0.52,10938,27356844.0,4.21,25.31,24.28,24.3,24.46,3.71,43.78,3.07
23,002160,常铝股份,3.88,2.11,0.08,82599,31817225.02,2.63,3.89,3.79,3.8,3.8,1.08,356.24,1.12
24,002806,华锋股份,10.76,2.09,0.22,27396,29332805.4,2.75,10.8,10.51,10.54,10.54,1.84,-37.44,1.79
25,000807,云铝股份,14.22,2.01,0.28,342067,485606285.08,3.08,14.4,13.97,14.0,13.94,1.0,13.94,2.12
26,688102,斯瑞新材,15.56,1.97,0.3,13167,20317366.0,2.56,15.6,15.21,15.3,15.26,0.58,71.9,6.12
27,300828,锐新科技,13.89,1.91,0.26,11581,15964226.0,3.82,13.93,13.41,13.55,13.63,0.94,31.65,2.69
28,300057,万顺新材,7.25,1.83,0.13,71050,51224072.0,2.67,7.29,7.1,7.12,7.12,1.29,-339.54,1.19
29,600888,新疆众和,8.45,1.68,0.14,180921,151988723.0,1.81,8.46,8.31,8.31,8.31,1.36,6.69,1.29
30,601388,怡球资源,3.06,1.66,0.05,126936,38654340.0,1.99,3.07,3.01,3.01,3.01,0.63,22.76,1.58
31,603045,福达合金,13.98,1.6,0.22,13906,19293926.0,2.54,14.02,13.67,13.67,13.76,1.01,67.27,2.12
32,600362,江西铜业,20.41,1.54,0.31,118710,241769755.0,2.39,20.53,20.05,20.1,20.1,0.57,10.07,0.92
33,000758,中色股份,5.27,1.54,0.08,378860,197824534.22,2.89,5.28,5.13,5.2,5.19,1.92,34.05,2.12
