序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,000625,长安汽车,11.91,6.43,0.72,1975714,2338841614.13,3.4,12.0,11.62,11.7,11.19,2.58,4.24,1.7
2,000550,江铃汽车,13.7,4.9,0.64,102737,139765568.27,7.35,14.0,13.04,13.12,13.06,1.98,16.18,1.25
3,600006,东风汽车,5.76,4.16,0.23,287289,163616347.0,6.15,5.86,5.52,5.53,5.53,1.44,30.12,1.39
4,000957,中通客车,10.07,2.97,0.29,149842,149531295.31,3.68,10.15,9.79,9.84,9.78,2.53,72.22,2.23
5,600686,金龙汽车,6.21,2.64,0.16,206155,126596469.0,4.79,6.25,5.96,6.06,6.05,2.88,104.3,1.45
6,000572,海马汽车,4.62,2.44,0.11,142503,65438520.47,2.88,4.63,4.5,4.5,4.51,0.87,-36.46,3.71
7,000868,安凯客车,5.15,2.39,0.12,128408,65644070.15,3.18,5.19,5.03,5.09,5.03,1.75,-30.51,3040.67
8,600418,江淮汽车,11.72,2.27,0.26,407791,474854983.0,2.44,11.75,11.47,11.57,11.46,2.15,43.24,1.86
9,600213,亚星客车,8.65,2.13,0.18,47742,41023400.0,3.19,8.72,8.45,8.47,8.47,2.17,-19.41,19.45
10,301357,北方长龙,49.49,2.04,0.99,17021,84082024.1,1.79,49.79,48.92,49.05,48.5,10.56,47.36,2.84
11,601127,赛力斯,29.52,1.86,0.54,131624,387460244.0,2.66,29.85,29.08,29.3,28.98,0.88,-17.68,4.12
12,601238,广汽集团,10.64,1.72,0.18,221412,234557336.0,1.82,10.65,10.46,10.46,10.46,0.3,18.13,0.97
13,600166,福田汽车,3.27,1.55,0.05,936339,305653289.0,3.42,3.32,3.21,3.24,3.22,1.42,21.98,1.92
14,600733,北汽蓝谷,5.52,1.47,0.08,251795,138407468.0,1.29,5.53,5.46,5.47,5.44,0.64,-6.63,5.0
15,600104,上汽集团,14.12,1.07,0.15,189384,267063265.0,1.5,14.18,13.97,13.98,13.97,0.16,14.82,0.59
16,000980,众泰汽车,3.04,1.0,0.03,584901,176243836.36,2.66,3.05,2.97,3.02,3.01,1.36,-20.42,6.82
17,601777,力帆科技,3.53,0.28,0.01,100450,35402131.0,1.42,3.55,3.5,3.52,3.52,0.45,99.16,1.57
18,000951,中国重汽,14.59,0.07,0.01,103109,149300933.62,4.46,14.9,14.25,14.5,14.58,0.88,19.13,1.23
19,000800,一汽解放,8.14,0.0,0.0,75062,60935118.64,1.6,8.16,8.03,8.1,8.14,0.16,153.2,1.59
20,002594,比亚迪,255.86,-1.18,-3.06,191945,4933612984.11,3.46,262.97,254.0,261.47,258.92,1.65,45.09,6.44
21,600066,宇通客车,13.51,-1.39,-0.19,460093,619217538.0,2.41,13.65,13.32,13.61,13.7,2.08,62.03,2.04
22,601633,长城汽车,26.86,-1.4,-0.38,165638,446985675.0,3.63,27.7,26.71,27.22,27.24,0.27,327.07,3.62
23,301039,中集车辆,13.24,-1.41,-0.19,356656,472629742.52,5.73,13.67,12.9,13.22,13.43,4.92,13.93,2.03
24,600303,ST曙光,4.5,-5.06,-0.24,241232,108656019.0,2.11,4.6,4.5,4.51,4.74,3.57,-10.6,1.46
