序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,300866,安克创新,73.22,19.64,12.02,139926,997877981.34,9.62,73.44,67.55,69.69,61.2,9.25,24.33,4.17
2,001229,魅视科技,31.69,10.0,2.88,17249,52932449.0,8.96,31.69,29.11,29.11,28.81,6.9,49.09,3.38
3,002351,漫步者,20.04,9.99,1.82,530863,1044239831.8,10.21,20.04,18.18,18.23,18.22,10.79,58.45,7.5
4,301086,鸿富瀚,65.4,8.3,5.01,8572,55460274.56,7.42,65.85,61.37,61.68,60.39,3.96,27.48,2.04
5,688036,传音控股,109.0,8.13,8.2,139779,1500818989.0,11.11,111.29,100.09,100.09,100.8,1.74,41.8,5.36
6,002888,惠威科技,14.91,7.19,1.0,64859,95015552.0,8.7,15.09,13.88,13.88,13.91,8.63,-513.24,5.61
7,832876,慧为智能,7.14,6.89,0.46,10863,7815074.11,5.24,7.32,6.97,7.15,6.68,5.9,13.86,1.72
8,002600,领益智造,5.93,6.46,0.36,606304,353860731.86,6.1,5.94,5.6,5.63,5.57,0.88,16.13,2.34
9,600898,国美通讯,5.38,5.7,0.29,49321,25765591.0,6.48,5.38,5.05,5.05,5.09,1.95,-23.56,95.09
10,300857,协创数据,27.64,5.38,1.41,108729,296109730.48,8.46,27.92,25.7,25.79,26.23,7.67,36.7,3.09
11,001308,康冠科技,27.73,4.8,1.27,35713,97619637.17,4.23,27.8,26.68,26.77,26.46,4.98,18.65,3.29
12,002369,卓翼科技,4.78,4.6,0.21,127253,60046655.99,4.81,4.78,4.56,4.57,4.57,2.25,-11.52,2.62
13,300793,佳禾智能,17.19,4.43,0.73,107910,183804456.75,7.29,17.45,16.25,16.3,16.46,3.27,45.2,2.36
14,002841,视源股份,65.99,4.32,2.73,41802,273805958.82,6.04,66.62,62.8,63.26,63.26,0.88,40.73,3.78
15,002861,瀛通通讯,10.52,4.26,0.43,38060,39674838.4,5.15,10.6,10.08,10.17,10.09,3.47,-21.38,1.84
16,300822,贝仕达克,16.42,4.25,0.67,8752,14212505.5,4.38,16.44,15.75,15.75,15.75,0.59,55.41,2.11
17,300136,信维通信,19.18,4.24,0.78,237879,458535746.87,4.73,19.69,18.82,18.86,18.4,2.88,31.97,2.76
