序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,300315,掌趣科技,6.16,20.08,1.03,5466496,3118113662.96,21.83,6.16,5.04,5.04,5.13,20.97,53.65,3.69
2,300113,顺网科技,16.43,20.01,2.74,623059,987135756.2,17.09,16.43,14.09,14.13,13.69,8.98,69.58,6.06
3,300533,冰川网络,66.11,20.0,11.02,165215,1025205862.46,17.79,66.11,56.31,56.31,55.09,15.53,13.18,5.04
4,300031,宝通科技,29.82,20.0,4.97,1168093,3333279111.65,17.46,29.82,25.48,25.98,24.85,33.82,36.91,3.56
5,300467,迅游科技,19.97,14.9,2.59,590705,1087064212.83,20.89,19.98,16.35,16.7,17.38,36.33,82.18,7.0
6,300148,天舟文化,6.21,12.3,0.68,2130185,1268290451.6,20.8,6.48,5.33,5.33,5.53,27.47,-318.07,4.96
7,300494,盛天网络,44.0,11.68,4.6,329206,1394956023.63,17.84,46.1,39.07,39.1,39.4,15.58,40.65,7.35
8,300002,神州泰岳,13.73,11.17,1.38,3021591,4088950634.86,16.44,14.31,12.28,12.28,12.35,16.61,37.79,5.35
9,300051,三五互联,11.12,10.98,1.1,211729,232328423.24,12.08,11.3,10.09,10.12,10.02,5.79,-365.98,16.23
10,300459,汤姆猫,8.7,10.97,0.86,5414820,4613994181.56,13.52,8.88,7.82,7.82,7.84,18.04,74.81,7.65
11,002517,恺英网络,16.68,10.03,1.52,1277809,2078921267.41,9.63,16.68,15.22,15.22,15.16,6.7,30.97,7.5
12,002558,巨人网络,15.84,10.0,1.44,1038888,1613511323.55,10.83,15.84,14.28,14.28,14.4,5.18,32.44,2.66
13,002555,三七互娱,30.69,10.0,2.79,474387,1439172115.62,7.49,30.69,28.6,28.8,27.9,2.9,21.97,5.24
14,002168,惠程科技,4.53,9.95,0.41,628373,277058135.01,10.68,4.53,4.09,4.12,4.12,8.03,-42.54,1348.09
15,002624,完美世界,21.92,9.49,1.9,1357546,2911854909.46,9.99,22.02,20.02,20.02,20.02,7.43,44.06,4.54
16,002602,世纪华通,6.85,9.25,0.58,5761689,3877471506.63,13.56,6.9,6.05,6.09,6.27,8.38,29.45,2.09
17,600892,大晟文化,5.71,8.76,0.46,215609,119850838.0,10.48,5.78,5.23,5.25,5.25,3.85,5554.04,17.86
18,300052,中青宝,21.23,8.04,1.58,307442,641528592.15,9.06,21.38,19.6,19.6,19.65,11.77,822.08,9.79
19,600715,文投控股,2.62,7.38,0.18,572512,147371060.0,8.2,2.64,2.44,2.44,2.44,3.09,-22.24,6.23
20,300299,富春股份,8.63,7.07,0.57,777288,668624059.3,10.17,8.9,8.08,8.1,8.06,12.01,176.53,10.32
21,002425,凯撒文化,6.51,6.55,0.4,1108215,710531311.53,10.31,6.65,6.02,6.02,6.11,11.59,-68.45,1.44
22,603258,电魂网络,48.9,6.33,2.91,191271,921462655.0,12.92,50.38,44.44,44.44,45.99,7.81,63.47,4.91
23,002174,游族网络,21.93,6.04,1.25,1335401,2829626830.3,14.85,22.75,19.68,20.01,20.68,14.61,117.18,4.56
24,002445,中南文化,2.48,5.53,0.13,539460,131481364.22,5.96,2.49,2.35,2.35,2.35,2.27,24.19,2.98
25,603444,吉比特,523.89,5.2,25.9,22989,1192575538.0,7.4,531.87,495.0,497.98,497.99,3.2,30.73,8.79
26,002113,ST天润,1.16,4.5,0.05,190696,21995372.45,5.41,1.17,1.11,1.11,1.11,1.95,-26.54,-21.18
27,300518,盛讯达,34.21,3.98,1.31,19626,66681140.85,7.75,34.87,32.32,32.64,32.9,1.44,353.43,3.78
28,300043,星辉娱乐,5.05,3.7,0.18,2272249,1160493625.28,13.14,5.38,4.74,4.8,4.87,24.23,-37.92,3.46
29,600633,浙数文化,13.85,3.51,0.47,739211,1000478699.0,11.88,14.17,12.58,12.8,13.38,5.84,16.18,1.84
