序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,688019,安集科技,269.71,12.49,29.94,34718,942148197.0,14.51,285.8,251.0,251.0,239.77,4.65,67.24,11.35
2,300537,广信材料,14.56,9.47,1.26,97613,139573215.72,8.05,14.62,13.55,13.6,13.3,7.12,53.74,4.18
3,688268,华特气体,84.99,5.75,4.62,37939,321401442.0,6.79,87.27,81.81,81.81,80.37,3.15,63.87,6.45
4,300054,鼎龙股份,26.52,5.66,1.42,237158,630091895.86,10.8,27.86,25.15,25.15,25.1,3.22,180.94,5.87
5,300655,晶瑞电材,22.28,5.04,1.07,435950,963945187.04,9.24,22.67,20.71,20.73,21.21,7.86,182.01,6.93
6,300346,南大光电,35.49,4.69,1.59,274592,978060554.84,6.37,36.46,34.3,34.3,33.9,5.35,64.35,9.02
7,688106,金宏气体,27.68,4.45,1.18,126407,353717458.0,8.34,29.13,26.92,27.2,26.5,4.79,55.67,4.67
8,603931,格林达,30.51,4.31,1.26,30922,94060378.0,5.64,30.9,29.25,29.47,29.25,2.68,54.6,4.45
9,603078,江化微,23.29,4.3,0.96,80253,186613185.0,5.15,23.75,22.6,22.74,22.33,3.15,64.43,4.16
10,300576,容大感光,39.21,3.73,1.41,170922,667664539.96,8.17,40.18,37.09,37.09,37.8,13.35,117.51,10.68
11,300236,上海新阳,41.96,3.66,1.48,143914,601312451.14,7.51,42.96,39.92,39.92,40.48,5.17,58.29,2.77
12,300429,强力新材,8.58,2.63,0.22,90947,78389634.02,5.98,8.77,8.27,8.3,8.36,2.42,-1009.31,2.57
13,300398,飞凯材料,18.24,2.24,0.4,104532,190327574.3,3.14,18.39,17.83,17.84,17.84,1.99,33.31,2.66
14,002584,西陇科学,6.28,1.78,0.11,43076,26821484.0,1.94,6.28,6.16,6.17,6.17,1.06,91.58,1.58
15,300637,扬帆新材,7.13,1.42,0.1,36590,25623861.6,6.54,7.18,6.72,6.8,7.03,1.56,-27.83,2.23
16,688359,三孚新科,83.06,1.37,1.12,8481,69686407.0,6.03,83.49,78.55,78.55,81.94,1.7,-157.22,16.51
17,688550,瑞联新材,46.57,1.2,0.55,10530,48789098.0,1.33,46.64,46.03,46.03,46.02,1.45,81.47,1.54
18,300446,乐凯新材,11.52,1.14,0.13,37944,43197173.9,2.11,11.53,11.29,11.39,11.39,1.92,423.3,3.57
19,002643,万润股份,18.31,-0.05,-0.01,51673,94817654.01,1.8,18.5,18.17,18.25,18.32,0.58,24.12,2.63
20,300481,濮阳惠成,21.36,-0.33,-0.07,49690,105984085.65,1.96,21.56,21.14,21.31,21.43,1.7,22.52,2.65
21,002741,光华科技,16.0,-0.68,-0.11,40671,65365205.12,2.67,16.34,15.91,16.11,16.11,1.21,-8.46,4.01
