序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,300340,科恒股份,12.47,3.23,0.39,57875,71544876.0,4.14,12.59,12.09,12.13,12.08,3.09,-30.13,12.57
2,600847,万里股份,11.47,2.78,0.31,17838,20260621.0,3.05,11.49,11.15,11.28,11.16,1.16,-132.36,2.57
3,300116,保力新,1.56,2.63,0.04,338061,52359907.75,3.29,1.57,1.52,1.53,1.52,0.82,-189.55,23.93
4,301222,浙江恒威,26.44,2.56,0.66,5473,14397236.69,2.52,26.55,25.9,25.99,25.78,1.94,25.19,2.08
5,300037,新宙邦,48.75,2.29,1.09,97689,480339067.13,4.93,50.15,47.8,47.8,47.66,1.82,37.01,4.33
6,002580,圣阳股份,9.35,2.07,0.19,72743,67403931.93,2.29,9.37,9.16,9.17,9.16,2.31,23.28,2.23
7,833523,德瑞锂电,12.37,2.06,0.25,1078,1317991.44,3.05,12.37,12.0,12.0,12.12,0.24,48.04,2.3
8,688339,亿华通-U,80.28,2.05,1.61,7535,60107869.0,3.66,80.65,77.77,78.0,78.67,0.93,-61.4,2.94
9,600241,ST时万,8.99,2.04,0.18,15581,13935851.0,2.72,9.0,8.76,8.81,8.81,0.53,52.79,2.44
10,301121,紫建电子,45.66,1.69,0.76,4608,20990740.02,1.87,45.78,44.94,45.0,44.9,2.6,-606.39,1.99
11,001283,豪鹏科技,50.71,1.64,0.82,5922,29930487.2,2.71,51.07,49.72,49.82,49.89,2.96,708.56,1.84
12,300890,翔丰华,39.3,1.52,0.59,30775,119921341.2,3.75,39.68,38.23,38.71,38.71,3.59,19.33,2.52
13,002245,蔚蓝锂芯,11.12,1.46,0.16,172318,191133659.99,1.92,11.22,11.01,11.02,10.96,1.59,-255.2,2.02
14,688388,嘉元科技,38.26,1.3,0.49,21962,83965213.0,2.3,38.65,37.78,37.78,37.77,0.75,79.06,1.63
15,688779,长远锂科,11.12,1.28,0.14,109314,121388328.0,2.19,11.23,10.99,10.99,10.98,1.06,5770.73,2.75
16,301152,天力锂能,36.63,1.24,0.45,10201,37206722.82,2.13,36.78,36.01,36.18,36.18,3.66,2236.34,1.79
17,300450,先导智能,38.25,1.22,0.46,182960,695508702.08,2.54,38.41,37.45,37.82,37.79,1.26,26.59,5.11
18,300919,中伟股份,61.91,1.16,0.71,32001,195993938.99,2.08,61.98,60.71,61.2,61.2,1.4,30.44,2.45
19,873152,天宏锂电,11.37,0.98,0.11,11107,12574027.46,2.75,11.53,11.22,11.33,11.26,4.25,54.96,3.47
20,300457,赢合科技,18.41,0.93,0.17,77643,142160925.89,2.63,18.48,18.0,18.29,18.24,1.4,29.02,2.04
21,605378,野马电池,21.62,0.89,0.19,5836,12562887.0,1.54,21.67,21.34,21.43,21.43,1.75,66.04,2.4
22,300207,欣旺达,16.82,0.72,0.12,261136,435388263.76,2.87,16.98,16.5,16.69,16.7,1.51,-47.54,1.57
23,002733,雄韬股份,16.83,0.66,0.11,49829,84221582.78,1.67,17.08,16.8,16.89,16.72,1.36,46.1,2.42
24,836239,长虹能源,16.53,0.49,0.08,7740,12694349.39,5.35,16.79,15.91,16.39,16.45,1.57,-16.69,2.18
25,600110,诺德股份,7.21,0.42,0.03,75393,54362599.0,1.25,7.27,7.18,7.19,7.18,0.54,62.7,1.98
26,688184,帕瓦股份,32.01,0.22,0.07,5992,19149358.0,1.25,32.15,31.75,31.88,31.94,2.11,167.11,1.37
27,603031,安孚科技,45.63,0.18,0.08,3597,16381924.0,1.23,45.77,45.21,45.21,45.55,0.32,28.5,8.35
28,301358,湖南裕能,40.95,0.15,0.06,55146,227222184.03,2.49,41.82,40.8,40.88,40.89,4.43,27.58,3.02
29,300073,当升科技,53.51,0.0,0.0,73204,390630159.83,2.8,54.28,52.78,53.75,53.51,1.51,15.74,2.27
30,300750,宁德时代,230.85,-0.06,-0.15,271048,6269727389.47,4.52,237.33,226.89,234.0,231.0,0.7,25.83,5.58
31,830809,安达科技,8.7,-0.11,-0.01,14469,12564717.56,1.72,8.78,8.63,8.73,8.71,0.47,57.03,1.75
32,688345,博力威,38.9,-0.13,-0.05,5510,21322350.0,2.88,39.42,38.3,38.78,38.95,2.25,-179.69,3.21
33,688005,容百科技,66.48,-0.18,-0.12,42316,281749688.0,2.67,67.59,65.81,66.83,66.6,1.51,24.11,4.15
34,002850,科达利,137.0,-0.2,-0.28,18098,250012828.87,3.45,140.25,135.52,138.33,137.28,1.15,33.25,5.54
35,601311,骆驼股份,9.53,-0.21,-0.02,128560,121942107.0,2.51,9.63,9.39,9.54,9.55,1.1,17.07,1.23
36,835185,贝特瑞,41.42,-0.29,-0.12,4634,18693006.2,2.38,42.29,41.3,41.5,41.54,0.06,26.01,2.93
37,688772,珠海冠宇,17.81,-0.39,-0.07,48942,87185281.0,3.13,18.2,17.64,17.9,17.88,0.64,-35.72,3.28
38,603659,璞泰来,52.22,-0.53,-0.28,77798,407435875.0,2.11,52.97,51.86,52.6,52.5,0.56,25.87,5.3
39,300648,星云股份,30.55,-0.65,-0.2,19323,59204277.0,2.57,31.19,30.4,30.7,30.75,2.03,-33.82,4.4
