序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,300713,英可瑞,16.54,7.68,1.18,64033,104306597.61,8.14,16.65,15.4,15.4,15.36,7.52,1030.29,3.88
2,300870,欧陆通,65.59,4.09,2.58,38301,247506529.38,7.9,66.2,61.22,61.22,63.01,9.8,965.32,4.09
3,300376,易事特,8.77,4.03,0.34,664374,574654764.87,5.1,8.82,8.39,8.43,8.43,2.86,47.05,3.1
4,300491,通合科技,25.0,3.82,0.92,237508,565179472.31,9.14,25.12,22.92,23.6,24.08,15.44,68.75,4.22
5,600202,哈空调,5.23,3.16,0.16,54143,28100808.0,3.94,5.25,5.05,5.07,5.07,1.41,73.56,2.45
6,002227,奥 特 迅,12.99,3.1,0.39,31557,40483291.99,4.37,13.06,12.51,12.61,12.6,1.29,-69.26,2.96
7,002630,华西能源,2.49,2.89,0.07,232137,57252105.0,3.72,2.5,2.41,2.42,2.42,2.26,-5.59,3.87
8,002364,中恒电气,7.48,2.75,0.2,37074,27484336.0,3.57,7.49,7.23,7.26,7.28,0.71,167.06,1.88
9,002665,首航高科,3.81,2.7,0.1,660838,249198266.0,2.96,3.82,3.71,3.71,3.71,2.68,-22.69,1.87
10,600475,华光环能,11.82,2.69,0.31,110221,129581898.0,3.65,11.89,11.47,11.54,11.51,1.19,12.63,1.39
11,002851,麦格米特,30.06,1.93,0.57,21605,64376700.27,3.32,30.22,29.24,29.42,29.49,0.53,23.23,4.08
12,002255,海陆重工,5.44,1.87,0.1,78912,42533797.0,2.06,5.45,5.34,5.35,5.34,1.22,31.79,1.3
13,688551,科威尔,72.0,1.54,1.09,13521,96695004.0,5.77,73.69,69.6,72.85,70.91,2.54,65.42,5.49
14,300153,科泰电源,10.32,1.38,0.14,414469,423662351.25,7.66,10.65,9.87,9.94,10.18,13.06,107.66,4.1
15,301386,未来电器,22.42,1.31,0.29,14580,32677206.37,1.58,22.55,22.2,22.5,22.13,4.39,49.11,2.03
16,002534,西子洁能,17.96,0.39,0.07,212360,377003243.59,3.91,18.1,17.4,17.82,17.89,2.91,135.19,3.69
17,600875,东方电气,17.42,0.11,0.02,132921,230275346.0,1.67,17.47,17.18,17.4,17.4,0.66,13.33,1.51
18,301327,华宝新能,106.1,0.09,0.1,13875,147256894.66,1.94,107.06,105.0,106.0,106.0,5.65,-85.82,1.6
19,002366,*ST海核,5.22,-0.19,-0.01,56866,29593493.53,1.15,5.25,5.19,5.23,5.23,0.63,-248.38,2.38
20,601727,上海电气,4.69,-0.42,-0.02,408873,191313648.0,1.27,4.71,4.65,4.7,4.71,0.32,49.79,1.32
21,600405,动力源,5.73,-1.21,-0.07,202834,114122941.0,6.21,5.75,5.39,5.48,5.8,3.67,-17.23,3.8
22,002518,科士达,46.7,-1.39,-0.66,224527,1038513324.3,4.94,47.54,45.2,47.04,47.36,3.97,29.11,7.2
23,300593,新雷能,29.35,-1.58,-0.47,59437,174524904.18,2.58,29.94,29.17,29.9,29.82,1.74,26.69,3.93
24,300105,龙源技术,6.83,-2.98,-0.21,122330,83103558.06,3.41,6.96,6.72,6.9,7.04,2.38,-143.2,1.87
25,002335,科华数据,42.0,-3.29,-1.43,165790,697808068.18,5.53,44.0,41.6,43.43,43.43,4.17,33.77,5.03
26,300693,盛弘股份,56.1,-3.38,-1.96,142670,787445011.52,9.32,58.41,53.0,58.0,58.06,8.62,46.29,9.98
27,300820,英杰电气,119.01,-4.87,-6.09,58968,678872407.88,10.41,123.0,109.98,117.0,125.1,8.44,77.4,10.92
