序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,300514,友讯达,12.89,18.26,1.99,252728.0,316571971.32,17.16,13.08,11.21,11.29,10.9,16.41,29.67,3.47
2,605066,天正电气,8.11,10.04,0.74,211792.0,171184283.0,3.93,8.11,7.82,8.0,7.37,9.28,14.98,1.78
3,603829,洛凯股份,12.07,10.03,1.1,52384.0,61980446.0,5.83,12.07,11.43,11.43,10.97,3.27,27.37,2.23
4,002276,万马股份,10.77,10.01,0.98,792809.0,844019381.53,6.03,10.77,10.18,10.2,9.79,7.66,30.4,2.23
5,002441,众业达,10.04,9.97,0.91,106834.0,106179851.65,5.04,10.04,9.58,9.6,9.13,2.68,8.1,1.17
6,300423,昇辉科技,10.6,6.21,0.62,99298.0,103827114.0,6.71,10.66,9.99,9.99,9.98,3.14,25.41,1.63
7,002350,北京科锐,7.5,5.93,0.42,198082.0,144720747.79,6.5,7.5,7.04,7.1,7.08,3.74,-29.25,2.22
8,300069,金利华电,13.94,5.77,0.76,18352.0,25158952.64,5.99,13.96,13.17,13.45,13.18,1.57,-84.27,7.09
9,600525,长园集团,5.75,5.31,0.29,310848.0,177300177.0,5.68,5.79,5.48,5.5,5.46,2.38,119.39,1.49
10,300341,麦克奥迪,11.96,5.28,0.6,124838.0,147285755.65,7.04,12.1,11.3,11.3,11.36,2.43,39.42,3.86
11,002471,中超控股,2.45,5.15,0.12,275226.0,66848825.94,5.58,2.48,2.35,2.35,2.33,2.17,-17.6,2.33
12,002090,金智科技,11.46,5.14,0.56,91885.0,103703301.5,4.22,11.46,11.0,11.0,10.9,2.3,126.82,3.26
13,300141,和顺电气,8.8,5.14,0.43,35278.0,30555196.9,6.45,8.84,8.3,8.3,8.37,1.8,-254.61,3.39
14,300466,赛摩智能,5.54,5.12,0.27,78420.0,42996071.8,4.93,5.56,5.3,5.3,5.27,1.87,100.17,3.38
15,300001,特锐德,18.48,4.88,0.86,368654.0,668322748.01,6.64,18.7,17.53,17.74,17.62,3.59,236.66,3.04
16,603897,长城科技,18.7,4.82,0.86,36638.0,67728710.0,5.77,18.94,17.91,17.93,17.84,1.77,31.52,1.39
17,600112,ST天成,3.43,4.26,0.14,44784.0,15203622.0,6.08,3.45,3.25,3.29,3.29,0.88,-16.72,25.34
18,688681,科汇股份,15.2,4.04,0.59,7961.0,11998839.0,4.65,15.29,14.61,14.61,14.61,1.21,-79.73,2.84
19,688611,杭州柯林,48.62,4.02,1.88,2258.0,10820398.0,5.56,48.87,46.27,46.74,46.74,1.62,52.14,3.28
20,600312,平高电气,11.48,3.89,0.43,554520.0,619222872.0,7.42,11.6,10.78,10.96,11.05,4.09,25.87,1.64
21,688330,宏力达,49.7,3.87,1.85,22052.0,109241140.0,4.37,50.3,48.21,48.83,47.85,3.86,22.83,1.39
22,605196,华通线缆,7.02,3.85,0.26,103114.0,71346578.0,3.7,7.02,6.77,6.8,6.76,3.18,22.09,1.42
23,300447,全信股份,17.12,3.76,0.62,122745.0,208409380.2,5.33,17.22,16.34,16.41,16.5,6.14,21.07,2.75
24,300283,温州宏丰,5.28,3.73,0.19,49860.0,25976160.0,3.93,5.28,5.08,5.1,5.09,1.61,148.44,2.75
25,603577,汇金通,9.53,3.7,0.34,18096.0,17024752.0,3.92,9.55,9.19,9.28,9.19,0.63,161.06,1.83
26,601126,四方股份,14.18,3.65,0.5,130540.0,183671919.0,3.8,14.21,13.69,13.75,13.68,1.61,20.31,3.12
27,300407,凯发电气,8.8,3.65,0.31,89899.0,77669766.75,4.83,8.81,8.4,8.45,8.49,4.13,56.15,1.74
28,002560,通达股份,8.08,3.59,0.28,214727.0,171633264.64,3.59,8.09,7.81,7.83,7.8,4.74,30.81,1.68
