序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,603808,歌力思,12.09,10.01,1.1,116056.0,136229044.0,11.74,12.09,10.8,10.8,10.99,3.14,23.6,1.57
2,002291,遥望科技,19.9,10.01,1.81,833204.0,1603330524.54,11.61,19.9,17.8,17.8,18.09,9.88,-119.21,3.51
3,002780,三夫户外,11.88,10.0,1.08,53372.0,62474798.36,5.83,11.88,11.25,11.34,10.8,4.09,56.41,2.84
4,603307,扬州金泉,50.83,10.0,4.62,9388.0,46762238.0,6.82,50.83,47.68,47.68,46.21,5.6,14.49,2.86
5,002563,森马服饰,6.72,9.98,0.61,392491.0,258921617.41,8.18,6.72,6.22,6.24,6.11,2.09,14.55,1.61
6,002763,汇洁股份,7.96,9.94,0.72,109665.0,86554531.26,5.11,7.96,7.59,7.6,7.24,5.89,7.83,1.52
7,002832,比音勒芬,36.04,7.55,2.53,111543.0,393918823.68,7.01,36.29,33.94,35.98,33.51,2.86,17.1,4.64
8,300840,酷特智能,12.0,6.57,0.74,176140.0,208994802.73,7.1,12.23,11.43,11.49,11.26,11.41,24.68,2.59
9,300005,探路者,8.53,6.09,0.49,154417.0,129369797.47,6.34,8.53,8.02,8.03,8.04,1.75,102.34,3.58
10,600689,上海三毛,8.56,6.07,0.49,29481.0,24824464.0,6.2,8.56,8.06,8.06,8.07,1.94,161.47,4.02
11,002875,安奈儿,14.06,5.48,0.73,129706.0,180996257.16,4.88,14.15,13.5,13.5,13.33,10.58,-107.73,3.32
12,002569,ST步森,5.39,5.07,0.26,19268.0,10164054.0,5.65,5.39,5.1,5.11,5.13,1.38,-94.52,4.94
13,002397,梦洁股份,3.74,4.76,0.17,101880.0,37633047.87,5.6,3.75,3.55,3.58,3.57,1.77,64.68,2.45
14,300591,万里马,5.67,4.61,0.25,75143.0,41656425.1,8.3,5.7,5.25,5.38,5.42,2.44,-64.69,4.21
15,000850,华茂股份,3.67,4.56,0.16,86798.0,31323735.3,4.27,3.68,3.53,3.53,3.51,0.92,17.76,0.77
16,603608,天创时尚,4.15,4.53,0.18,55801.0,22873522.0,5.54,4.19,3.97,3.98,3.97,1.33,-32.37,1.42
17,002029,七 匹 狼,6.36,4.43,0.27,230015.0,145256702.5,5.58,6.44,6.1,6.15,6.09,3.18,13.5,0.77
18,002634,棒杰股份,8.44,4.2,0.34,61466.0,51469639.88,3.46,8.45,8.17,8.22,8.1,1.66,254.09,4.2
19,002494,华斯股份,4.51,4.16,0.18,65151.0,29036519.0,4.39,4.52,4.33,4.33,4.33,2.27,-82.63,1.37
20,002154,报 喜 鸟,6.28,3.97,0.24,426286.0,264280099.18,7.12,6.36,5.93,6.01,6.04,3.94,8.96,2.19
21,601599,浙文影业,3.67,3.97,0.14,661383.0,241955105.0,6.23,3.74,3.52,3.54,3.53,7.41,30.84,3.21
22,605189,富春染织,19.95,3.96,0.76,18016.0,35534909.0,4.53,19.99,19.12,19.28,19.19,4.33,27.43,1.5
23,002762,金发拉比,10.07,3.92,0.38,120862.0,120004312.0,4.85,10.09,9.62,9.68,9.69,6.01,164.34,4.05
24,603958,哈森股份,6.2,3.85,0.23,15995.0,9771493.0,5.03,6.21,5.91,6.0,5.97,0.73,-28.18,1.72
25,603908,牧高笛,53.7,3.63,1.88,18345.0,97999413.0,5.54,54.09,51.22,51.74,51.82,2.75,31.0,6.36
26,003016,欣贺股份,11.18,3.61,0.39,40178.0,44579635.72,3.15,11.2,10.86,10.89,10.79,2.73,24.64,1.67
27,600156,华升股份,4.36,3.56,0.15,43770.0,18920708.0,3.09,4.36,4.23,4.24,4.21,1.09,27.62,3.82
28,002656,ST摩登,2.06,3.52,0.07,75391.0,15355947.8,5.53,2.09,1.98,1.99,1.99,1.24,24.45,1.83
29,603518,锦泓集团,10.09,3.49,0.34,188317.0,188255323.0,4.21,10.15,9.74,9.81,9.75,5.42,8.54,1.11
30,600630,龙头股份,5.15,3.41,0.17,55337.0,28234002.0,3.21,5.15,4.99,4.99,4.98,1.3,43.49,3.08
31,605180,华生科技,15.01,3.3,0.48,10562.0,15670856.0,5.09,15.09,14.35,14.35,14.53,2.83,52.38,1.75
