序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,600113,浙江东日,7.4,4.67,0.33,50545.0,36744561.0,5.52,7.41,7.02,7.03,7.07,1.23,29.07,1.39
2,600568,ST中珠,1.76,4.14,0.07,164316.0,28356599.0,4.73,1.76,1.68,1.69,1.69,1.05,-31.51,1.27
3,002591,恒大高新,6.19,3.69,0.22,106923.0,65941784.99,6.03,6.36,6.0,6.0,5.97,4.93,-211.38,2.62
4,000839,ST国安,2.28,3.64,0.08,194842.0,44235143.5,4.55,2.3,2.2,2.2,2.2,0.5,30.46,2.99
5,000632,三木集团,4.2,2.69,0.11,70339.0,29353970.2,2.69,4.21,4.1,4.1,4.09,1.51,72.45,1.36
6,600051,宁波联合,7.32,2.38,0.17,28573.0,20781281.0,2.94,7.35,7.14,7.16,7.15,0.92,50.72,0.7
7,000158,常山北明,6.92,2.37,0.16,622233.0,427546306.99,3.99,6.95,6.68,6.68,6.76,3.94,-33.83,1.88
8,600784,鲁银投资,6.68,2.3,0.15,104427.0,69248347.0,2.14,6.68,6.54,6.56,6.53,1.84,13.63,1.67
9,000652,泰达股份,4.16,2.21,0.09,107454.0,44439865.72,2.95,4.17,4.05,4.05,4.07,0.73,237.35,1.11
10,000833,粤桂股份,6.87,2.08,0.14,62867.0,42896962.3,1.93,6.89,6.76,6.76,6.73,1.66,28.74,1.38
11,000958,电投产融,4.3,1.9,0.08,108361.0,46233778.29,1.66,4.3,4.23,4.27,4.22,0.2,19.27,1.23
12,000532,华金资本,10.8,1.89,0.2,21613.0,23234572.71,2.45,10.81,10.55,10.55,10.6,0.63,63.45,2.84
13,600673,东阳光,7.77,1.7,0.13,87480.0,67632694.0,1.83,7.8,7.66,7.68,7.64,0.29,89.19,2.27
14,000009,中国宝安,10.67,1.43,0.15,143153.0,152078599.17,1.52,10.69,10.53,10.53,10.52,0.56,28.75,2.92
15,600624,复旦复华,5.96,1.36,0.08,50331.0,29765493.0,2.04,5.97,5.85,5.88,5.88,0.74,1170.48,4.64
16,000576,甘化科工,10.34,0.98,0.1,44183.0,45356304.0,1.56,10.34,10.18,10.28,10.24,1.03,53.37,2.58
17,002758,浙农股份,12.74,0.95,0.12,33873.0,43019371.56,1.27,12.77,12.61,12.64,12.62,1.59,18.27,1.51
18,000803,山高环能,10.8,0.75,0.08,18465.0,19814601.0,1.4,10.8,10.65,10.75,10.72,0.65,23.54,2.57
19,600770,综艺股份,5.78,0.52,0.03,107676.0,62139863.0,1.57,5.81,5.72,5.73,5.75,0.83,-80.7,2.24
20,200025,特  力Ｂ,3.87,0.52,0.02,630.0,243169.75,1.56,3.88,3.82,3.82,3.85,0.16,14.45,0.95
21,600805,悦达投资,4.21,0.48,0.02,94934.0,40005756.0,1.91,4.26,4.18,4.23,4.19,1.12,146.73,0.83
22,000909,数源科技,,,,,,,,,,7.78,0.0,61.83,2.1
23,000861,海印股份,1.99,-1.0,-0.02,379714.0,76908679.56,3.98,2.07,1.99,2.01,2.01,1.6,-14.27,1.58
24,600766,园城黄金,8.43,-10.03,-0.94,15932.0,13430676.0,0.0,8.43,8.43,8.43,9.37,0.71,1051.23,32.83
