序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,603799,华友钴业,52.0,4.59,2.28,281725,1472668026.0,6.05,53.56,50.55,50.55,49.72,1.78,20.3,3.24
2,301219,腾远钴业,52.12,2.22,1.13,17410,90187840.41,2.45,52.45,51.2,51.29,50.99,1.36,370.38,1.39
3,002340,格林美,7.03,2.03,0.14,389623,272569174.79,2.9,7.06,6.86,6.87,6.89,0.77,52.34,1.95
4,300618,寒锐钴业,33.16,1.53,0.5,28379,94148287.8,2.69,33.49,32.61,32.9,32.66,1.04,144.67,2.04
5,300390,天华新能,48.6,1.52,0.73,85059,409466821.64,3.05,49.0,47.54,47.87,47.87,2.05,8.83,2.76
6,600711,盛屯矿业,5.24,0.58,0.03,258378,135114666.0,1.54,5.28,5.2,5.22,5.21,0.83,126.72,1.17
7,002466,天齐锂业,71.26,0.56,0.4,280641,2007966216.63,4.15,73.3,70.36,71.02,70.86,1.9,6.0,2.21
8,000762,西藏矿业,32.97,0.24,0.08,75701,250681960.2,2.68,33.65,32.77,32.96,32.89,1.45,246.92,5.77
9,002240,盛新锂能,31.76,-0.75,-0.24,127379,408418992.11,3.47,32.79,31.68,32.01,32.0,1.5,15.62,2.3
10,002460,赣锋锂业,64.99,-1.05,-0.69,238541,1551392227.67,3.99,66.68,64.06,65.0,65.68,1.98,13.67,2.84
11,002192,融捷股份,70.5,-2.42,-1.75,91872,649631388.34,5.4,72.51,68.61,68.64,72.25,3.55,73.71,5.8
