序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,600897,厦门空港,19.45,5.99,1.1,79265,153087445.0,5.34,19.64,18.66,19.0,18.35,2.66,19.59,1.49
2,601021,春秋航空,62.39,2.68,1.63,117426,718816271.0,7.52,63.45,58.88,62.5,60.76,1.28,42.93,4.34
3,000099,中信海直,7.55,2.03,0.15,84689,63554490.49,2.16,7.56,7.4,7.43,7.4,1.19,21.33,1.17
4,900945,海控B股,0.255,2.0,0.005,4115,104236.0,3.2,0.256,0.248,0.25,0.25,0.11,119.82,32.74
5,600029,南方航空,7.75,1.97,0.15,572167,438411635.0,3.42,7.76,7.5,7.56,7.6,0.56,-18.5,3.59
6,600009,上海机场,53.7,1.55,0.82,96412,513025332.0,2.21,53.7,52.53,53.0,52.88,0.5,-336.28,3.38
7,600115,中国东航,5.18,1.37,0.07,356592,183472817.0,2.15,5.19,5.08,5.12,5.11,0.32,-7.59,4.58
8,601111,中国国航,10.65,1.04,0.11,464513,491277148.0,2.66,10.68,10.4,10.54,10.54,0.47,-14.74,4.88
9,600221,海航控股,1.71,0.59,0.01,1821936,311723692.0,2.94,1.74,1.69,1.72,1.7,0.55,116.93,31.95
10,002928,华夏航空,10.83,0.56,0.06,43794,47137151.81,2.97,10.95,10.63,10.82,10.77,0.43,-12.55,3.67
11,600004,白云机场,15.68,0.26,0.04,127050,198056425.0,2.3,15.76,15.4,15.76,15.64,0.54,207.43,2.15
12,600515,海南机场,4.71,0.21,0.01,458671,214992852.0,1.06,4.72,4.67,4.7,4.7,0.5,57.85,2.37
13,000089,深圳机场,7.31,-0.27,-0.02,146974,106995652.07,1.23,7.33,7.24,7.27,7.33,0.72,-34.74,1.42
14,603885,吉祥航空,17.93,-0.94,-0.17,136286,242473888.0,4.97,18.3,17.4,18.03,18.1,0.62,60.1,4.24
