序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,002785,万里石,21.08,10.02,1.92,90162,186782662.0,8.51,21.08,19.45,19.46,19.16,5.41,-293.64,7.16
2,603661,恒林股份,36.84,7.16,2.46,13275,48537466.0,8.96,37.31,34.23,34.38,34.38,0.95,16.37,1.53
3,600321,正源股份,1.73,6.79,0.11,326626,56213171.0,4.94,1.75,1.67,1.68,1.62,2.16,42.94,1.63
4,300715,凯伦股份,14.51,6.46,0.88,46279,66656308.13,5.8,14.58,13.79,13.9,13.63,1.66,40.63,2.33
5,002457,青龙管业,8.75,5.68,0.47,121273,104279809.0,6.88,8.82,8.25,8.28,8.28,3.62,-409.03,1.31
6,300198,纳川股份,2.64,5.6,0.14,174737,45496882.6,6.4,2.65,2.49,2.49,2.5,1.92,-41.44,2.61
7,002043,兔 宝 宝,10.86,4.32,0.45,160696,173017658.04,4.51,10.92,10.45,10.45,10.41,2.32,30.75,3.15
8,300749,顶固集创,7.75,4.17,0.31,29837,22947605.0,5.11,7.82,7.44,7.44,7.44,1.92,84.46,2.18
9,300117,嘉寓股份,3.53,4.13,0.14,216482,75753240.18,5.6,3.56,3.37,3.37,3.39,3.02,118.77,81.8
10,002333,罗普斯金,5.82,4.11,0.23,55485,32140604.0,3.76,5.84,5.63,5.64,5.59,1.3,41.61,2.12
11,603709,中源家居,16.15,4.06,0.63,13400,21393378.0,3.48,16.15,15.61,15.75,15.52,1.68,54.18,2.24
12,000619,海螺新材,6.35,3.93,0.24,65478,41193546.0,4.91,6.42,6.12,6.14,6.11,1.82,-29.54,1.04
13,603378,亚士创能,9.87,3.46,0.33,62360,61346285.0,5.14,10.04,9.55,9.57,9.54,1.45,-66.66,2.49
14,603137,恒尚节能,18.68,3.26,0.59,57318,105951865.0,3.37,18.72,18.11,18.12,18.09,17.91,9.35,2.26
15,002162,悦心健康,4.15,3.23,0.13,136954,56143197.08,3.48,4.16,4.02,4.06,4.02,1.48,-125.28,3.85
16,002066,瑞泰科技,11.21,3.22,0.35,24383,27058745.0,3.5,11.23,10.85,10.95,10.86,1.06,29.27,4.13
17,002398,垒知集团,6.19,3.0,0.18,78667,48288126.0,3.99,6.21,5.97,6.0,6.01,1.35,23.1,1.23
18,603326,我乐家居,8.43,2.93,0.24,19193,15964969.0,3.66,8.47,8.17,8.2,8.19,0.61,100.06,2.59
19,603389,亚振家居,5.0,2.67,0.13,26856,13342029.0,3.7,5.02,4.84,4.91,4.87,1.02,-12.11,2.74
20,300234,开尔新材,5.54,2.59,0.14,33708,18561432.0,2.78,5.55,5.4,5.4,5.4,0.99,65.61,2.63
21,603992,松霖科技,15.44,2.52,0.38,23332,35857505.0,4.58,15.57,14.88,15.06,15.06,0.58,35.42,2.83
22,603313,梦百合,10.2,2.51,0.25,45987,46599923.0,5.03,10.4,9.9,9.97,9.95,0.95,73.78,1.65
23,001238,浙江正特,22.11,2.46,0.53,10167,22452683.0,3.48,22.34,21.59,21.59,21.58,3.7,26.88,2.18
