序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,300592,华凯易佰,29.02,14.75,3.73,239634,661971851.95,22.22,29.64,24.02,24.02,25.29,15.15,27.57,3.92
2,601886,江河集团,7.58,10.01,0.69,128441,95296452.0,10.01,7.58,6.89,6.98,6.89,1.13,13.13,1.32
3,002713,东易日盛,7.63,9.94,0.69,107520,79913220.95,9.8,7.63,6.95,6.99,6.94,2.66,-8.86,27.81
4,301365,矩阵股份,26.46,8.31,2.03,29379,75967844.47,9.74,26.81,24.43,24.55,24.43,10.33,50.41,1.78
5,603030,全筑股份,2.32,7.41,0.16,723735,166421392.0,8.8,2.38,2.19,2.19,2.16,12.48,-7.83,-4.51
6,300374,中铁装配,17.56,7.4,1.21,213431,363135838.57,9.91,17.78,16.16,16.5,16.35,11.28,-31.42,4.81
7,002081,金 螳 螂,5.4,5.68,0.29,287349,152730672.66,5.68,5.4,5.11,5.12,5.11,1.09,13.13,1.12
8,605318,法狮龙,13.39,5.6,0.71,16516,21771889.0,4.89,13.4,12.78,12.83,12.68,4.22,215.02,2.2
9,603081,大丰实业,15.22,4.89,0.71,51480,76210020.0,7.24,15.25,14.2,14.5,14.51,1.27,73.02,2.26
10,002247,聚力文化,2.41,4.78,0.11,160191,38079238.0,5.22,2.42,2.3,2.3,2.3,2.49,296.38,2.76
11,002989,中天精装,14.99,4.31,0.62,17277,25640258.2,3.76,15.03,14.49,14.59,14.37,1.84,21.62,1.62
12,002325,洪涛股份,1.78,4.09,0.07,311913,54663636.77,5.26,1.79,1.7,1.7,1.71,2.17,-6.66,1.08
13,002504,*ST弘高,1.28,4.07,0.05,201361,25737878.54,3.25,1.29,1.25,1.28,1.23,4.86,-22.52,-4.05
14,605287,德才股份,23.17,3.62,0.81,9244,21186125.0,4.87,23.23,22.14,22.14,22.36,1.47,12.21,1.33
15,002856,美芝股份,9.76,3.5,0.33,35401,34088131.92,4.35,9.82,9.41,9.53,9.43,3.31,-62.83,2.51
16,002822,中装建设,4.66,3.33,0.15,104811,48374753.91,3.77,4.68,4.51,4.54,4.51,1.61,-53.88,0.98
17,300621,维业股份,10.59,3.32,0.34,29015,30419166.65,5.07,10.67,10.15,10.28,10.25,1.48,-64.45,2.84
18,002789,建艺集团,14.48,3.06,0.43,18727,26856835.0,3.35,14.5,14.03,14.03,14.05,1.45,55.39,12.97
19,603385,惠达卫浴,7.79,2.77,0.21,16658,12847936.0,2.77,7.8,7.59,7.61,7.58,0.45,1599.51,0.77
20,000055,方大集团,4.91,2.72,0.13,101443,49386130.82,2.72,4.91,4.78,4.78,4.78,1.5,18.61,0.91
21,002620,瑞和股份,5.46,2.63,0.14,53875,29041228.0,4.32,5.47,5.24,5.28,5.32,1.71,463.35,3.31
22,002047,宝鹰股份,3.52,2.62,0.09,144218,50211861.37,3.5,3.52,3.4,3.43,3.43,1.08,-15.45,5.56
23,605155,西大门,13.72,2.46,0.33,7064,9602177.0,2.61,13.74,13.39,13.39,13.39,1.51,27.74,1.6
24,002084,海鸥住工,4.09,2.25,0.09,85510,34826302.94,2.25,4.1,4.01,4.01,4.0,1.32,-22.91,1.45
25,002811,郑中设计,7.36,2.22,0.16,12105,8856787.6,3.47,7.38,7.13,7.22,7.2,0.49,80.05,1.85
26,002830,名雕股份,11.89,2.15,0.25,34188,40421082.92,7.39,12.13,11.27,11.27,11.64,5.11,-76.55,2.43
27,300993,玉马遮阳,13.42,2.13,0.28,25982,34838557.51,2.44,13.5,13.18,13.25,13.14,3.4,29.43,2.45
28,603828,柯利达,3.01,2.03,0.06,50123,15015773.0,3.73,3.03,2.92,2.92,2.95,0.84,74.61,2.06
29,603038,华立股份,8.37,1.95,0.16,162198,133858093.0,4.87,8.45,8.05,8.35,8.21,7.85,54.22,1.29
30,603272,联翔股份,16.91,1.81,0.3,5569,9361519.0,1.93,16.95,16.63,16.74,16.61,2.15,-109.06,2.71
31,001212,中旗新材,28.89,1.8,0.51,10665,30894811.0,2.96,29.48,28.64,28.77,28.38,1.95,47.31,2.38
32,605268,王力安防,9.45,1.72,0.16,14147,13305615.0,2.37,9.47,9.25,9.25,9.29,1.9,67.98,2.51
33,605178,时空科技,20.58,1.58,0.32,4649,9506353.0,3.11,20.63,20.0,20.1,20.26,0.75,-11.21,1.18
34,002375,亚厦股份,4.58,1.55,0.07,105006,47850253.52,2.0,4.59,4.5,4.51,4.51,0.79,24.7,0.8
35,834765,美之高,5.83,1.39,0.08,445,257216.72,1.57,5.85,5.76,5.79,5.75,0.1,14.63,1.2
36,301113,雅艺科技,24.29,1.34,0.32,2872,6944382.44,3.5,24.68,23.84,23.84,23.97,1.55,120.57,2.4
37,833580,科创新材,4.12,1.23,0.05,1064,435520.05,4.91,4.25,4.05,4.25,4.07,0.45,17.97,1.07
38,002482,ST广田,1.69,1.2,0.02,183059,31152765.96,4.79,1.74,1.66,1.69,1.67,1.2,-4.54,-0.53
39,600193,创兴资源,5.46,0.92,0.05,27033,14741332.0,1.48,5.49,5.41,5.42,5.41,0.64,368.31,7.25
40,002963,豪尔赛,13.67,0.74,0.1,13253,18133180.0,1.33,13.74,13.56,13.7,13.57,1.08,285.57,1.36
41,603408,建霖家居,11.67,0.26,0.03,12303,14357294.0,1.29,11.74,11.59,11.66,11.64,1.06,28.85,1.8
42,300506,名家汇,6.25,-0.64,-0.04,62179,39226970.42,3.02,6.43,6.24,6.29,6.29,1.1,68.53,8.1
43,605289,罗曼股份,27.81,-0.89,-0.25,31465,87551854.0,5.84,28.8,27.16,28.06,28.06,6.22,59.63,2.41
44,603216,梦天家居,13.59,-2.51,-0.35,20373,27446895.0,2.51,13.65,13.3,13.47,13.94,3.68,156.35,1.71
45,603929,亚翔集成,16.41,-3.41,-0.58,89916,148079100.0,3.65,16.9,16.28,16.28,16.99,4.21,26.83,3.05
46,831445,龙竹科技,5.42,-4.07,-0.23,4894,2671474.65,4.96,5.67,5.39,5.67,5.65,0.53,159.54,2.09
47,002781,*ST奇信,1.64,-5.2,-0.09,4382,718648.0,0.0,1.64,1.64,1.64,1.73,0.2,-1.56,-0.69
