序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,300085,银之杰,13.9,20.03,2.32,701429.0,919258321.15,21.42,13.9,11.42,11.45,11.58,13.31,2010.16,12.43
2,688095,福昕软件,175.2,20.0,29.2,44170.0,721132207.0,20.55,175.2,145.2,152.0,146.0,11.08,-255.64,4.37
3,300624,万兴科技,140.4,20.0,23.4,158858.0,2067255606.42,16.57,140.4,121.01,121.01,117.0,13.66,224.92,21.08
4,688318,财富趋势,156.13,20.0,26.02,32002.0,477028390.0,14.7,156.13,137.0,137.18,130.11,3.43,64.86,4.52
5,300559,佳发教育,16.69,18.37,2.59,471742.0,725553490.08,23.12,16.79,13.53,14.23,14.1,15.64,478.5,6.42
6,300773,拉卡拉,16.95,15.15,2.23,616730.0,1009709339.79,12.3,17.17,15.36,15.36,14.72,8.14,13.14,3.76
7,300235,方直科技,19.6,14.96,2.55,293461.0,556360805.95,16.6,20.02,17.19,17.37,17.05,21.85,70.53,4.74
8,300074,华平股份,4.11,12.6,0.46,309360.0,122631684.32,12.6,4.12,3.66,3.66,3.65,5.83,-209.32,2.1
9,301330,熵基科技,43.56,11.12,4.36,48448.0,207547396.55,9.16,44.19,40.6,40.66,39.2,13.8,51.03,2.09
10,301197,工大科雅,23.89,10.6,2.29,23892.0,55306029.73,11.2,24.04,21.62,21.65,21.6,7.93,610.45,2.2
11,300465,高伟达,13.83,10.2,1.28,786065.0,1041158954.31,16.02,14.12,12.11,12.4,12.55,17.59,147.11,9.84
12,601519,大智慧,7.48,10.0,0.68,433387.0,320776350.0,4.12,7.48,7.2,7.2,6.8,2.16,12.49,7.96
13,688038,中科通达,13.97,9.57,1.22,59996.0,82358133.0,11.45,14.18,12.72,12.72,12.75,7.48,-231.87,2.26
14,002230,科大讯飞,60.6,9.47,5.24,1064697.0,6231632534.46,10.66,60.9,55.0,55.36,55.36,5.0,-607.9,8.61
15,300468,四方精创,12.25,9.38,1.05,409067.0,490842060.29,11.52,12.52,11.23,11.23,11.2,7.73,111.07,4.04
16,688111,金山办公,440.2,8.16,33.2,57667.0,2461245299.0,9.38,442.0,403.82,407.82,407.0,1.25,189.92,22.47
17,688058,宝兰德,52.5,8.02,3.9,13149.0,66899110.0,8.62,52.76,48.57,48.6,48.6,2.35,-165.13,3.49
18,688118,普元信息,24.57,7.72,1.76,18160.0,43805703.0,7.94,24.79,22.98,23.05,22.81,1.9,-26.76,2.76
19,300188,美亚柏科,22.55,7.64,1.6,486725.0,1056448998.13,8.45,22.87,21.1,21.1,20.95,6.72,-28.95,4.77
20,300380,安硕信息,17.8,7.62,1.26,40510.0,70374161.0,8.59,17.96,16.54,16.54,16.54,3.25,-46.65,6.36
21,600570,恒生电子,49.4,7.41,3.41,411862.0,1990577323.0,6.57,49.62,46.6,46.6,45.99,2.17,105.67,13.31
22,600728,佳都科技,7.02,7.18,0.47,474322.0,324518448.0,8.24,7.07,6.53,6.53,6.55,2.73,2.8,1.74
23,002178,延华智能,4.05,7.14,0.27,172881.0,68809368.0,6.88,4.06,3.8,3.81,3.78,2.43,378.08,6.81
24,300830,金现代,8.3,7.1,0.55,119478.0,97512890.64,7.48,8.37,7.79,7.79,7.75,4.97,-46.57,3.0
25,300047,天源迪科,7.86,6.94,0.51,365046.0,280780825.1,8.16,7.91,7.31,7.31,7.35,6.82,151.11,1.52
26,301313,凡拓数创,34.55,6.77,2.19,25721.0,87415443.1,7.39,34.76,32.37,32.48,32.36,10.05,-2110.23,3.38
27,688588,凌志软件,15.45,6.55,0.95,84689.0,130086279.0,7.31,15.69,14.63,14.8,14.5,3.34,38.81,4.52
28,688207,格灵深瞳,38.12,6.48,2.32,36480.0,136276804.0,6.4,38.25,35.96,35.99,35.8,2.91,-2153.79,2.98
29,688590,新致软件,12.25,6.34,0.73,73546.0,89314614.0,7.99,12.4,11.48,11.48,11.52,4.57,100.48,2.69
30,002065,东华软件,7.78,6.28,0.46,1103231.0,845064222.69,6.97,7.83,7.32,7.32,7.32,3.8,45.26,2.21
31,688109,品茗科技,34.57,6.27,2.04,8205.0,28013402.0,9.78,35.18,32.0,32.58,32.53,3.07,-34.24,2.33
32,301213,观想科技,36.73,6.06,2.1,20087.0,72848212.54,5.86,37.15,35.12,35.23,34.63,6.99,514.46,3.62
33,300333,兆日科技,6.49,6.05,0.37,92139.0,58527829.42,6.54,6.49,6.09,6.09,6.12,2.76,-26.75,3.19
34,603232,格尔软件,15.12,6.03,0.86,87183.0,128795392.0,5.47,15.18,14.4,14.41,14.26,3.74,-21.15,2.63
35,300036,超图软件,21.22,5.84,1.17,119026.0,247975435.61,5.69,21.23,20.09,20.09,20.05,2.75,214.5,3.64
36,601360,三六零,15.97,5.83,0.88,4816764.0,7527680049.0,10.8,16.39,14.76,14.88,15.09,6.74,-153.14,3.61
37,300845,捷安高科,25.04,5.79,1.37,64247.0,158207504.04,9.84,25.46,23.13,23.84,23.67,9.8,-111.44,3.6
38,300229,拓尔思,23.2,5.74,1.26,790434.0,1806572058.88,6.15,23.44,22.09,22.09,21.94,9.95,152.77,5.47
39,301185,鸥玛软件,25.78,5.74,1.4,130400.0,326119574.6,16.08,27.2,23.28,23.28,24.38,14.91,68.67,4.01
40,300925,法本信息,14.16,5.67,0.76,139447.0,195286876.98,5.07,14.25,13.57,13.6,13.4,6.97,46.29,3.89
41,300556,丝路视觉,22.96,5.56,1.21,63180.0,143451311.47,6.57,23.07,21.64,21.64,21.75,6.18,-19.54,3.26
42,301208,中亦科技,57.67,5.49,3.0,11929.0,68012971.5,7.61,58.28,54.12,54.67,54.67,7.16,36.33,2.77
43,300561,汇金科技,11.53,5.39,0.59,88671.0,100441528.39,5.67,11.55,10.93,10.99,10.94,4.89,452.27,5.8
44,603383,顶点软件,53.26,5.28,2.67,42722.0,224668089.0,7.31,53.9,50.2,50.59,50.59,2.53,103.02,6.57
45,002280,联络互动,3.85,5.19,0.19,877991.0,335539174.31,7.1,3.89,3.63,3.64,3.66,4.65,-18.57,12.47
46,002279,久其软件,7.38,5.13,0.36,498764.0,364404411.95,4.84,7.4,7.06,7.06,7.02,6.33,-19.49,3.81
47,300098,高新兴,3.51,5.09,0.17,360801.0,124931200.88,5.69,3.53,3.34,3.36,3.34,2.37,-68.3,1.97
48,688083,中望软件,195.39,4.99,9.28,9940.0,193568525.0,6.07,198.8,187.5,189.35,186.11,2.02,-239.61,6.29
49,300803,指南针,49.72,4.94,2.34,96447.0,477125871.75,5.8,50.6,47.85,47.89,47.38,2.4,88.18,11.44
50,003029,吉大正元,30.44,4.93,1.43,40764.0,122146169.8,6.41,30.64,28.78,28.78,29.01,3.59,474.2,4.17
51,002072,凯瑞德,6.6,4.93,0.31,39086.0,25430834.0,5.72,6.61,6.25,6.25,6.29,1.52,-756.96,47.95
52,300608,思特奇,9.81,4.92,0.46,78615.0,76329247.12,6.2,9.89,9.31,9.36,9.35,4.02,-17.75,2.18
53,301178,天亿马,29.14,4.86,1.35,27334.0,78532679.88,5.0,29.28,27.89,27.99,27.79,6.27,-143.24,2.3
54,301302,华如科技,58.0,4.79,2.65,21572.0,123080312.36,5.87,58.36,55.11,55.2,55.35,8.18,-28.33,2.65
55,300075,数字政通,25.54,4.72,1.15,508815.0,1282940371.88,5.21,25.78,24.51,24.51,24.39,12.21,64.88,3.36
56,688343,云天励飞-U,68.83,4.68,3.08,109794.0,747685795.0,6.78,70.46,66.0,66.04,65.75,14.73,-67.69,2.98
57,002261,拓维信息,12.13,4.66,0.54,1080330.0,1298117394.65,4.75,12.16,11.61,11.61,11.59,9.63,91.07,6.02
58,301316,慧博云通,24.53,4.65,1.09,31725.0,76787366.99,5.25,24.69,23.46,23.75,23.44,7.93,189.13,10.04
59,688291,金橙子,29.22,4.62,1.29,16767.0,48306769.0,6.02,29.35,27.67,27.99,27.93,6.86,61.16,3.26
60,300033,同花顺,177.99,4.58,7.79,130266.0,2309346687.56,7.37,181.0,168.45,168.45,170.2,4.8,195.7,15.9
61,300386,飞天诚信,11.5,4.55,0.5,84535.0,95934277.71,4.91,11.56,11.02,11.03,11.0,3.49,-33.54,2.87
