序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,300308,中际旭创,90.0,14.66,11.51,662410,5631069729.23,15.65,91.11,78.83,79.56,78.49,8.85,72.11,5.82
2,300252,金信诺,10.21,12.32,1.12,415292,410777835.01,12.65,10.31,9.16,9.2,9.09,9.39,82.68,2.78
3,688132,邦彦技术,25.74,11.33,2.62,58126,150836092.0,11.25,26.67,24.07,24.4,23.12,16.5,83.2,2.46
4,300570,太辰光,28.9,10.1,2.65,182599,520478716.0,10.1,29.6,26.95,26.95,26.25,9.42,57.99,4.97
5,600345,长江通信,20.19,10.03,1.84,117730,234645767.0,9.86,20.19,18.38,18.38,18.35,5.95,34.35,1.8
6,688418,震有科技,18.27,9.99,1.66,81418,144405603.0,14.33,18.38,16.0,16.0,16.61,6.14,185.68,3.83
7,300213,佳讯飞鸿,6.48,9.64,0.57,391005,246261971.0,10.49,6.5,5.88,5.88,5.91,7.1,-145.76,1.73
8,688159,有方科技,21.92,9.55,1.91,20145,43179268.0,12.09,22.1,19.68,19.88,20.01,2.2,-25.69,2.66
9,300502,新易盛,68.99,9.51,5.99,543863,3624559220.17,10.33,70.19,63.68,65.04,63.0,12.4,81.11,7.08
10,688027,国盾量子,154.3,9.39,13.25,20013,297854353.0,10.93,155.0,139.59,139.59,141.05,4.26,-190.72,7.64
11,300689,澄天伟业,20.64,8.8,1.67,32536,65391938.5,10.17,20.77,18.84,18.84,18.97,3.3,87.75,3.51
12,603083,剑桥科技,63.0,8.68,5.03,791982,4912287051.0,11.35,63.77,57.19,57.19,57.97,30.4,59.11,8.39
13,000586,汇源通信,10.86,8.38,0.84,71735,76195502.0,10.08,10.98,9.97,9.97,10.02,3.71,103.45,6.6
14,688080,映翰通,71.0,7.22,4.78,18730,131790343.0,8.68,71.88,66.13,67.05,66.22,3.56,100.05,4.49
15,600498,烽火通信,20.45,6.79,1.3,410557,831975319.0,7.99,20.65,19.12,19.12,19.15,3.63,162.24,2.12
16,300565,科信技术,16.8,5.79,0.92,151539,251408377.0,5.29,16.95,16.11,16.11,15.88,8.05,-22.23,6.97
17,300394,天孚通信,60.87,5.75,3.31,147304,888848869.25,10.08,62.0,56.2,56.51,57.56,4.12,65.07,8.82
18,002017,东信和平,15.84,5.6,0.84,224782,352269043.95,7.53,16.05,14.92,14.99,15.0,5.05,49.7,4.55
19,603803,瑞斯康达,7.5,5.04,0.36,144675,107320589.0,5.32,7.56,7.18,7.19,7.14,3.44,-29.55,1.69
20,300504,天邑股份,18.24,5.01,0.87,113855,205575755.0,5.3,18.4,17.48,17.48,17.37,5.33,20.14,2.19
21,301165,锐捷网络,53.4,4.93,2.51,70984,378173589.73,5.36,54.43,51.7,51.91,50.89,12.31,63.53,6.86
22,002792,通宇通讯,15.99,4.85,0.74,336364,535858653.77,7.54,16.3,15.15,15.25,15.25,13.92,46.86,2.3
23,300711,广哈通信,13.38,4.78,0.61,29089,38431068.88,6.03,13.45,12.68,12.71,12.77,1.41,-868.46,4.21
24,300548,博创科技,31.53,4.44,1.34,154500,487312509.6,5.83,31.97,30.21,30.21,30.19,7.11,56.85,4.97
25,002104,恒宝股份,8.52,4.41,0.36,231310,195202031.45,4.41,8.54,8.18,8.18,8.16,3.91,43.53,3.0
26,688788,科思科技,46.69,4.22,1.89,10670,49297171.0,5.31,46.96,44.58,44.7,44.8,1.63,-22.91,1.88
27,002194,武汉凡谷,10.18,4.2,0.41,325363,327887513.81,5.53,10.25,9.71,9.77,9.77,6.4,38.93,2.53
28,300555,ST路通,6.72,4.19,0.27,23709,15782606.5,4.96,6.76,6.44,6.45,6.45,1.2,495.03,2.2
29,300205,天喻信息,13.49,4.17,0.54,118221,157611616.83,5.87,13.53,12.77,12.79,12.95,2.78,79.55,3.85
30,000851,高鸿股份,5.65,4.05,0.22,379137,211418939.83,4.79,5.66,5.4,5.4,5.43,3.35,205.81,1.46
31,600355,精伦电子,3.12,4.0,0.12,139628,43056161.0,6.0,3.13,2.95,2.99,3.0,2.84,-31.94,7.46
32,301191,菲菱科思,98.4,3.95,3.74,14402,141843558.09,7.24,100.88,94.03,94.03,94.66,10.8,23.75,3.21
33,300620,光库科技,55.63,3.92,2.1,102762,571492803.25,8.31,56.95,52.5,52.99,53.53,6.4,147.23,5.48
34,300590,移为通信,11.92,3.83,0.44,90062,106151742.46,4.7,11.97,11.43,11.43,11.48,2.66,70.48,3.19
35,003040,楚天龙,20.15,3.65,0.71,139760,279147259.21,4.53,20.15,19.27,19.38,19.44,6.45,53.73,5.94
36,300134,大富科技,9.12,3.64,0.32,95494,86558774.27,4.32,9.19,8.81,8.81,8.8,1.34,-86.27,1.54
37,002583,海能达,5.99,3.63,0.21,215404,127759005.94,3.46,6.0,5.8,5.82,5.78,1.77,-48.28,1.78
38,688175,高凌信息,35.41,3.57,1.22,4718,16536303.0,4.18,35.48,34.05,34.2,34.19,1.5,-78.22,1.79
39,300414,中光防雷,8.55,3.51,0.29,46045,38974188.84,4.6,8.62,8.24,8.24,8.26,1.48,95.6,2.89
40,603042,华脉科技,11.83,3.5,0.4,64276,75762688.0,4.9,11.94,11.38,11.41,11.43,4.0,-24.07,1.99
41,603118,共进股份,9.26,3.35,0.3,218790,201031192.0,5.13,9.32,8.86,8.87,8.96,2.79,24.04,1.4
42,300615,欣天科技,17.7,3.33,0.57,226129,390842725.34,7.94,17.86,16.5,16.78,17.13,17.57,35.41,5.87
43,300710,万隆光电,26.12,3.32,0.84,15106,38766281.8,4.94,26.25,25.0,25.17,25.28,2.28,-805.07,4.0
