序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,601003,柳钢股份,4.36,10.1,0.4,193337,82946200.0,7.32,4.36,4.07,4.08,3.96,0.75,10.4,1.11
2,605158,华达新材,7.32,10.08,0.67,107676,77866348.0,6.32,7.32,6.9,7.0,6.65,7.46,13.19,1.67
3,000923,河钢资源,13.89,9.98,1.26,102301,138468771.81,10.69,13.89,12.54,12.54,12.63,1.63,12.08,1.05
4,601121,宝地矿业,8.48,4.69,0.38,193065,162113620.0,5.31,8.53,8.1,8.2,8.1,9.65,54.21,2.28
5,300881,盛德鑫泰,38.9,3.6,1.35,15562,59994943.23,3.65,38.9,37.53,37.89,37.55,5.87,48.35,4.53
6,000717,中南股份,2.69,3.46,0.09,153686,40778588.15,3.85,2.69,2.59,2.6,2.6,0.63,273.4,0.71
7,002443,金洲管道,6.62,3.28,0.21,133048,87310965.38,3.59,6.63,6.4,6.41,6.41,2.56,13.7,1.09
8,000655,金岭矿业,6.83,3.17,0.21,38747,26256617.52,3.47,6.83,6.6,6.68,6.62,0.65,61.87,1.32
9,000709,河钢股份,2.31,2.67,0.06,780407,179163674.42,3.11,2.32,2.25,2.26,2.25,0.76,23.43,0.46
10,600307,酒钢宏兴,1.6,2.56,0.04,266585,42157339.0,3.21,1.6,1.55,1.56,1.56,0.43,81.5,0.89
11,600126,杭钢股份,4.83,2.55,0.12,136420,65484608.0,3.18,4.85,4.7,4.71,4.71,0.4,127.96,0.81
12,603878,武进不锈,12.33,2.49,0.3,55795,68753668.0,3.41,12.47,12.06,12.1,12.03,1.39,17.01,1.86
13,600569,安阳钢铁,2.1,2.44,0.05,139181,29089948.0,3.41,2.11,2.04,2.05,2.05,0.48,-4.05,0.85
14,002756,永兴材料,63.76,2.15,1.34,103019,659536212.42,4.57,65.4,62.55,62.6,62.42,2.67,9.23,3.09
15,002075,沙钢股份,3.92,2.08,0.08,133931,52303863.29,2.6,3.93,3.83,3.84,3.84,0.61,42.0,1.34
16,600782,新钢股份,3.97,2.06,0.08,335760,132580525.0,2.83,3.99,3.88,3.89,3.89,1.05,33.08,0.48
17,601005,重庆钢铁,1.51,2.03,0.03,620218,92786777.0,2.03,1.51,1.48,1.48,1.48,0.74,-31.93,0.63
18,002318,久立特材,15.94,1.98,0.31,73415,115685591.71,3.26,15.97,15.46,15.55,15.63,0.77,16.73,2.58
19,600231,凌钢股份,2.17,1.88,0.04,53996,11603997.0,2.35,2.17,2.12,2.12,2.13,0.19,33.64,0.76
20,600808,马钢股份,2.73,1.87,0.05,199099,53981239.0,2.61,2.74,2.67,2.67,2.68,0.33,-10.42,0.74
21,000778,新兴铸管,4.55,1.79,0.08,362590,163052523.93,2.46,4.55,4.44,4.49,4.47,0.93,13.3,0.72
22,600010,包钢股份,1.82,1.68,0.03,1776873,322144795.0,1.12,1.82,1.8,1.8,1.79,0.56,71.33,1.57
23,000959,首钢股份,3.7,1.65,0.06,165587,60731596.81,2.2,3.7,3.62,3.64,3.64,0.28,-123.7,0.6
24,688186,广大特材,35.2,1.59,0.55,38253,134103220.0,4.21,36.0,34.54,34.78,34.65,1.79,26.0,2.32
25,000825,太钢不锈,4.0,1.52,0.06,224758,89364327.93,2.03,4.01,3.93,3.95,3.94,0.39,-9.68,0.67
26,600581,八一钢铁,4.19,1.45,0.06,136605,56973295.0,2.66,4.21,4.1,4.11,4.13,0.89,-3.48,2.64
27,601686,友发集团,6.69,1.36,0.09,88685,58995550.0,2.88,6.7,6.51,6.7,6.6,1.58,11.15,1.53
28,600382,ST广珠,4.78,1.27,0.06,133312,63504417.0,3.18,4.84,4.69,4.75,4.72,1.69,12.16,1.01
29,000761,本钢板材,4.04,1.25,0.05,136318,55405671.77,3.51,4.14,4.0,4.02,3.99,0.37,87.31,0.93
30,835857,百甲科技,3.33,1.22,0.04,4593,1527189.78,1.52,3.35,3.3,3.32,3.29,0.47,11.05,0.86
31,601969,海南矿业,6.85,1.03,0.07,84198,57339392.0,2.06,6.85,6.71,6.73,6.78,0.42,21.61,2.24
32,200761,本钢板Ｂ,1.98,1.02,0.02,16469,3221944.0,3.06,1.99,1.93,1.95,1.96,0.41,37.46,0.4
33,002545,东方铁塔,8.06,1.0,0.08,44027,35432487.51,1.13,8.08,7.99,8.0,7.98,0.39,14.8,1.17
34,000629,钒钛股份,4.2,0.96,0.04,531002,222571762.17,2.16,4.22,4.13,4.13,4.16,0.62,27.42,3.96
35,000932,华菱钢铁,5.28,0.96,0.05,611373,323316850.12,2.49,5.34,5.21,5.22,5.23,1.07,13.24,0.72
36,000898,鞍钢股份,2.95,0.68,0.02,245955,72389291.18,1.71,2.96,2.91,2.92,2.93,0.31,-46.53,0.48
37,002978,安宁股份,33.77,0.66,0.22,18228,61481239.45,2.62,34.18,33.3,33.55,33.55,0.61,14.62,2.38
38,001203,大中矿业,11.88,0.51,0.06,40605,48154486.21,1.69,11.98,11.78,11.78,11.82,0.93,23.12,2.93
39,900936,鄂资Ｂ股,1.801,0.5,0.009,3144,565043.0,1.79,1.809,1.777,1.788,1.792,0.05,6.13,1.15
40,600295,鄂尔多斯,14.45,0.42,0.06,28436,41047567.0,1.39,14.52,14.32,14.33,14.39,0.2,7.16,1.35
41,600117,西宁特钢,3.0,0.33,0.01,202935,61826424.0,3.34,3.09,2.99,3.02,2.99,1.94,-3.18,-2.85
42,002478,常宝股份,6.66,0.0,0.0,478026,319000383.16,3.15,6.78,6.57,6.68,6.66,7.25,7.46,1.25
43,600282,南钢股份,3.67,-0.27,-0.01,407280,149133820.0,1.09,3.68,3.64,3.66,3.68,0.91,15.04,0.91
44,000708,中信特钢,16.15,-0.37,-0.06,35360,57105282.58,1.36,16.3,16.08,16.2,16.21,0.07,13.77,2.18
45,002110,三钢闽光,4.71,-0.63,-0.03,145674,68279415.97,1.69,4.73,4.65,4.7,4.74,0.59,-43.46,0.54
46,600022,山东钢铁,1.54,-0.65,-0.01,1004843,153945181.0,1.94,1.55,1.52,1.54,1.55,0.94,-13.32,0.76
47,600399,抚顺特钢,10.97,-1.17,-0.13,176608,194213808.0,3.24,11.22,10.86,11.11,11.1,0.9,89.81,3.54
48,600507,方大特钢,5.34,-1.48,-0.08,145403,77380901.0,1.29,5.36,5.29,5.36,5.42,0.67,28.96,1.45
49,600019,宝钢股份,6.44,-1.83,-0.12,1091926,703235663.0,2.29,6.5,6.35,6.47,6.56,0.5,19.43,0.73
50,603995,甬金股份,26.66,-2.27,-0.62,23585,63386348.0,3.48,27.53,26.58,27.14,27.28,1.44,27.15,1.98
