序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,300743,天地数码,13.86,6.62,0.86,48929,66948032.15,7.38,13.96,13.0,13.0,13.0,4.84,44.21,4.47
2,688119,中钢洛耐,6.51,2.68,0.17,30095,19404116.0,3.0,6.51,6.32,6.36,6.34,1.91,62.19,2.31
3,600783,鲁信创投,12.56,2.28,0.28,26289,32816835.0,2.93,12.58,12.22,12.22,12.28,0.35,25.59,2.03
4,600172,黄河旋风,4.6,2.0,0.09,179503,82165088.0,2.0,4.61,4.52,4.55,4.51,1.41,-104.75,2.02
5,001296,长江材料,19.03,1.66,0.31,8094,15327781.07,2.24,19.07,18.65,18.7,18.72,2.15,27.36,1.28
6,603688,石英股份,118.7,1.21,1.42,100943,1207084321.0,8.04,124.99,115.56,121.91,117.28,2.79,13.06,10.5
7,839725,惠丰钻石,15.5,1.17,0.18,961,1472776.31,2.02,15.5,15.19,15.19,15.32,0.36,20.36,2.36
8,600516,方大炭素,6.45,1.1,0.07,239249,153797001.0,1.57,6.46,6.36,6.36,6.38,0.59,29.32,1.51
9,300395,菲利华,47.76,1.08,0.51,56546,266532707.83,3.62,47.94,46.23,47.02,47.25,1.18,55.09,7.05
10,836675,秉扬科技,4.73,1.07,0.05,1184,555220.04,2.56,4.77,4.65,4.77,4.68,0.15,12.64,1.46
11,001301,尚太科技,72.36,0.96,0.69,50883,369569436.92,4.14,74.0,71.03,72.0,71.67,7.83,20.39,3.46
12,301071,力量钻石,83.8,0.85,0.71,17681,148002186.8,1.95,84.82,83.2,84.3,83.09,2.41,40.69,2.28
13,300409,道氏技术,13.11,0.69,0.09,38587,50605696.31,2.61,13.29,12.95,12.96,13.02,0.81,-52.27,1.35
14,600330,天通股份,10.49,0.67,0.07,229438,239192365.0,2.98,10.59,10.28,10.42,10.42,2.3,37.24,1.62
15,836807,奔朗新材,5.46,0.37,0.02,975,530759.08,1.1,5.46,5.4,5.45,5.44,0.14,19.36,1.03
16,300035,中科电气,12.28,0.24,0.03,120201,147249125.32,2.37,12.42,12.13,12.23,12.25,1.89,-16.41,1.87
17,688281,华秦科技,291.78,0.2,0.57,1562,45366391.0,2.62,294.0,286.37,290.0,291.21,0.69,77.01,7.0
18,603260,合盛硅业,73.23,-0.18,-0.13,20323,148695604.0,2.63,74.45,72.52,73.2,73.36,0.19,21.58,2.72
19,839792,东和新材,6.35,-0.47,-0.03,3343,2128338.14,1.88,6.43,6.31,6.31,6.38,0.64,14.91,1.15
20,838971,天马新材,15.73,-0.63,-0.1,399,629229.0,1.9,16.0,15.7,16.0,15.83,0.22,47.4,2.12
21,688300,联瑞新材,70.62,-0.74,-0.53,8748,62293211.0,4.06,72.9,70.01,70.05,71.15,0.7,76.64,6.99
22,300861,美畅股份,45.59,-1.26,-0.58,49028,222477591.41,3.05,46.43,45.02,45.8,46.17,2.03,14.42,4.0
23,603826,坤彩科技,53.12,-1.81,-0.98,20132,107078963.0,2.92,54.17,52.59,53.78,54.1,0.43,460.92,13.8
24,688357,建龙微纳,110.16,-2.24,-2.52,9035,100343469.0,4.42,114.35,109.37,112.32,112.68,1.52,27.04,4.06
25,688733,壹石通,32.01,-3.47,-1.15,37341,118379285.0,4.49,32.35,30.86,32.04,33.16,2.61,125.84,2.8
26,002130,沃尔核材,6.86,-3.65,-0.26,340803,231892677.95,4.63,7.06,6.73,7.06,7.12,2.73,20.78,1.92
27,603612,索通发展,18.8,-10.0,-2.09,257421,484735648.0,1.87,19.19,18.8,18.9,20.89,5.91,-8.72,1.6
