序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,688349,三一重能,33.68,2.09,0.69,26016,85688832.0,4.79,33.77,32.19,32.8,32.99,1.83,20.76,3.42
2,601218,吉鑫科技,3.9,1.56,0.06,45813,17735955.0,2.08,3.9,3.82,3.82,3.84,0.47,93.23,1.35
3,300185,通裕重工,2.52,0.8,0.02,375993,94492800.88,1.6,2.53,2.49,2.5,2.5,1.01,28.54,1.46
4,688660,电气风电,5.67,0.71,0.04,60672,34290187.0,1.95,5.72,5.61,5.61,5.63,1.17,-11.35,1.08
5,300569,天能重工,8.19,0.24,0.02,65136,53185468.52,1.22,8.21,8.11,8.11,8.17,0.94,30.69,1.69
6,300690,双一科技,14.6,0.21,0.03,28519,41340731.9,4.26,14.94,14.32,14.53,14.57,2.61,87.56,1.77
7,600458,时代新材,10.98,0.09,0.01,78634,86235012.0,2.73,11.12,10.82,10.95,10.97,0.98,20.34,1.56
8,002202,金风科技,10.96,-0.27,-0.03,161472,177014620.74,1.0,11.04,10.93,10.94,10.99,0.48,9.38,1.27
9,002487,大金重工,30.49,-0.72,-0.22,122558,373014687.74,2.41,30.9,30.16,30.77,30.71,2.24,65.03,2.95
10,603507,振江股份,35.04,-0.85,-0.3,17672,61815044.0,2.41,35.53,34.68,35.08,35.34,1.24,26.47,2.18
11,002531,天顺风能,13.78,-0.93,-0.13,148479,204529915.8,2.59,14.0,13.64,13.82,13.91,0.83,31.46,3.01
12,300443,金雷股份,39.83,-1.04,-0.42,33427,132892138.9,3.18,40.6,39.32,40.41,40.25,1.81,26.03,2.81
13,603063,禾望电气,28.15,-1.26,-0.36,61860,174962339.0,4.95,29.12,27.71,28.42,28.51,1.4,39.72,3.53
14,300129,泰胜风能,9.35,-1.27,-0.12,311192,289027037.02,4.01,9.47,9.09,9.38,9.47,4.98,24.11,2.12
15,301155,海力风电,74.47,-1.62,-1.23,21664,161456229.04,3.05,76.31,74.0,75.5,75.7,2.44,49.3,2.88
16,603985,恒润股份,20.05,-1.67,-0.34,44707,89766258.0,3.63,20.59,19.85,20.36,20.39,1.01,75.51,2.58
17,300850,新强联,40.77,-1.76,-0.73,35911,147294371.96,2.7,41.78,40.66,41.5,41.5,1.81,75.81,3.59
18,600416,湘电股份,18.59,-2.11,-0.4,119581,222401261.0,3.16,19.05,18.45,19.05,18.99,1.26,60.27,3.5
19,601615,明阳智能,20.66,-2.73,-0.58,301009,626871436.0,3.11,21.28,20.62,21.25,21.24,1.43,-51.87,1.68
20,603218,日月股份,21.67,-2.74,-0.61,101712,220626722.0,4.31,22.3,21.34,22.1,22.28,1.05,42.48,2.3
21,300772,运达股份,13.59,-3.34,-0.47,127533,172823532.68,2.77,13.72,13.33,13.44,14.06,1.87,32.34,1.93
