,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2022-01-04,54.21,52.81,54.4,52.63,271948,1450839184.0,3.38,0.76,0.4,1.31
1,2022-01-05,52.3,52.56,53.53,51.93,211785,1118966592.0,3.03,-0.47,-0.25,1.02
2,2022-01-06,52.05,50.99,52.29,50.7,211480,1084425296.0,3.03,-2.99,-1.57,1.02
3,2022-01-07,51.26,49.59,51.5,49.55,298585,1506428784.0,3.82,-2.75,-1.4,1.44
4,2022-01-10,49.6,49.94,50.21,48.45,185574,918846160.0,3.55,0.71,0.35,0.89
5,2022-01-11,49.8,48.97,49.99,48.9,129705,641407520.0,2.18,-1.94,-0.97,0.62
6,2022-01-12,48.8,48.62,49.3,48.22,215602,1048181328.0,2.21,-0.71,-0.35,1.04
7,2022-01-13,48.72,47.0,48.87,46.74,292518,1394970592.0,4.38,-3.33,-1.62,1.41
8,2022-01-14,46.59,46.71,47.49,46.2,166953,785655200.0,2.74,-0.62,-0.29,0.8
9,2022-01-17,46.71,47.75,47.98,46.71,201061,958322656.0,2.72,2.23,1.04,0.97
10,2022-01-18,47.91,48.75,49.49,47.37,283763,1388634896.0,4.44,2.09,1.0,1.36
11,2022-01-19,48.41,48.35,48.78,47.83,150544,728054224.0,1.95,-0.82,-0.4,0.72
12,2022-01-20,48.35,48.43,48.72,47.91,113470,550029184.0,1.68,0.17,0.08,0.55
13,2022-01-21,48.16,47.71,48.41,47.09,139763,668316848.0,2.73,-1.49,-0.72,0.67
14,2022-01-24,47.71,48.14,48.48,47.68,121186,583595648.0,1.68,0.9,0.43,0.58
15,2022-01-25,47.7,46.3,48.1,46.23,181866,854730992.0,3.88,-3.82,-1.84,0.87
16,2022-01-26,46.31,46.48,47.18,45.51,136948,636232656.0,3.61,0.39,0.18,0.66
17,2022-01-27,46.48,44.61,46.5,44.19,258177,1162131392.0,4.97,-4.02,-1.87,1.24
18,2022-01-28,44.62,43.3,45.0,43.27,239859,1063737504.0,3.88,-2.94,-1.31,1.15
19,2022-02-07,44.27,44.09,46.01,43.97,235984,1058026320.0,4.71,1.82,0.79,1.13
20,2022-02-08,44.11,44.82,44.92,43.48,196583,871417728.0,3.27,1.66,0.73,0.94
21,2022-02-09,45.08,45.98,46.19,44.93,214208,980596176.0,2.81,2.59,1.16,1.03
22,2022-02-10,46.05,46.5,47.03,45.98,228992,1068804064.0,2.28,1.13,0.52,1.1
23,2022-02-11,46.19,47.1,47.5,45.8,248512,1170597952.0,3.66,1.29,0.6,1.19
24,2022-02-14,47.1,49.05,49.4,46.35,345446,1679286896.0,6.48,4.14,1.95,1.66
25,2022-02-15,49.02,49.05,49.97,48.65,199781,984949728.0,2.69,0.0,0.0,0.95
26,2022-02-16,49.23,49.41,49.74,48.98,183684,909404496.0,1.55,0.73,0.36,0.88
27,2022-02-17,49.3,49.23,49.7,48.58,161549,796905664.0,2.27,-0.36,-0.18,0.77
28,2022-02-18,48.9,50.84,50.99,48.71,311732,1578838208.0,4.63,3.27,1.61,1.49
29,2022-02-21,51.0,50.67,51.39,50.32,186205,948593984.0,2.1,-0.33,-0.17,0.89
30,2022-02-22,50.34,50.08,50.35,49.46,165597,827815920.0,1.76,-1.16,-0.59,0.79
31,2022-02-23,50.1,50.25,50.6,49.7,147887,742278224.0,1.8,0.34,0.17,0.7
32,2022-02-24,49.8,49.2,50.03,48.2,205389,1012914208.0,3.64,-2.09,-1.05,0.98
33,2022-02-25,49.84,49.19,50.62,48.86,127001,629932352.0,3.58,-0.02,-0.01,0.61
