trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2019-10-08,002624.SZ,27.7,28.4,27.19,27.31,27.7,-0.39,-1.4079,79186.81,219557.076
2019-10-09,002624.SZ,27.32,27.59,27.09,27.48,27.31,0.17,0.6225,43030.33,117499.116
2019-10-10,002624.SZ,27.49,28.35,27.39,28.2,27.48,0.72,2.6201,66474.72,186308.007
2019-10-11,002624.SZ,28.2,28.73,27.72,28.47,28.2,0.27,0.9574,79455.28,224433.44
2019-10-14,002624.SZ,28.63,29.02,28.28,28.79,28.47,0.32,1.124,76804.53,220452.25
2019-10-15,002624.SZ,28.4,28.45,27.48,27.51,28.79,-1.28,-4.446,84903.74,235829.184
2019-10-16,002624.SZ,27.6,27.88,27.13,27.35,27.51,-0.16,-0.5816,68896.02,188621.815
2019-10-17,002624.SZ,27.28,27.85,27.22,27.51,27.35,0.16,0.585,53606.48,147470.375
2019-10-18,002624.SZ,27.51,27.84,26.96,27.34,27.51,-0.17,-0.618,54071.01,148098.389
2019-10-21,002624.SZ,27.41,27.46,26.71,27.05,27.34,-0.29,-1.0607,46105.46,124218.495
2019-10-22,002624.SZ,26.94,27.09,25.81,26.95,27.05,-0.1,-0.3697,98000.71,259444.77
2019-10-23,002624.SZ,27.06,27.78,26.61,27.46,26.95,0.51,1.8924,67194.83,184207.88
2019-10-24,002624.SZ,27.41,28.43,27.41,28.33,27.46,0.87,3.1682,88051.84,247296.688
2019-10-25,002624.SZ,28.36,28.83,28.12,28.79,28.33,0.46,1.6237,69785.15,199282.437
2019-10-28,002624.SZ,28.9,29.05,28.35,28.78,28.79,-0.01,-0.0347,91348.6,262961.286
2019-10-29,002624.SZ,28.9,28.9,28.35,28.51,28.78,-0.27,-0.9382,58800.07,168233.218
2019-10-30,002624.SZ,28.54,29.12,28.25,28.89,28.51,0.38,1.3329,50024.97,144104.598
2019-10-31,002624.SZ,28.85,29.66,28.68,29.5,28.89,0.61,2.1115,81343.06,238622.424
