trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2019-11-22,603039.SH,58.8,58.8,56.08,56.7,58.61,-1.91,-3.2588,9059.12,51710.703
2019-11-25,603039.SH,56.63,57.38,55.74,56.56,56.7,-0.14,-0.2469,7261.15,41231.037
2019-11-26,603039.SH,56.2,57.09,55.22,55.51,56.56,-1.05,-1.8564,9950.26,55610.009
2019-11-27,603039.SH,55.49,56.03,53.51,54.94,55.51,-0.57,-1.0268,12312.37,67216.66
2019-11-28,603039.SH,54.74,54.88,52.54,53.03,54.94,-1.91,-3.4765,10606.58,56478.37
2019-11-29,603039.SH,53.03,56.5,52.61,55.22,53.03,2.19,4.1297,16174.46,89479.878
2019-12-02,603039.SH,55.44,56.15,54.17,54.74,55.22,-0.48,-0.8693,7147.4,39326.185
2019-12-03,603039.SH,54.72,55.0,53.09,55.0,54.74,0.26,0.475,5546.14,29969.91
2019-12-04,603039.SH,56.1,56.5,54.0,54.55,55.0,-0.45,-0.8182,6180.89,33780.252
2019-12-05,603039.SH,54.77,55.96,54.77,55.92,54.55,1.37,2.5115,5668.96,31500.366
2019-12-06,603039.SH,56.03,56.68,55.11,56.39,55.92,0.47,0.8405,8456.48,47446.779
2019-12-09,603039.SH,56.6,56.96,55.17,56.01,56.39,-0.38,-0.6739,10114.27,56787.773
2019-12-10,603039.SH,56.01,56.39,54.35,55.11,56.01,-0.9,-1.6069,10367.2,56962.416
2019-12-11,603039.SH,55.4,55.4,53.7,53.91,55.11,-1.2,-2.1775,8064.94,43695.426
2019-12-12,603039.SH,54.07,54.73,53.56,54.39,53.91,0.48,0.8904,6825.54,37083.521
2019-12-13,603039.SH,54.48,55.55,53.68,55.35,54.39,0.96,1.765,8998.22,49451.37
2019-12-16,603039.SH,54.98,58.7,54.88,58.58,55.35,3.23,5.8356,16691.49,94371.808
2019-12-17,603039.SH,58.49,60.55,58.0,60.39,58.58,1.81,3.0898,27478.22,163678.149
2019-12-18,603039.SH,60.05,60.2,58.05,60.01,60.39,-0.38,-0.6292,19410.87,114370.765
2019-12-19,603039.SH,59.95,59.95,58.52,59.0,60.01,-1.01,-1.6831,8656.78,51093.195
