排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,游戏,BK1046,1496.49,134.94,9.91,498375808000,10.45,29,0,三七互娱,10.0
2,文化传媒,BK0486,9515.44,614.56,6.9,1224169216000,5.43,106,4,长江传媒,10.03
3,通信服务,BK0736,939.57,43.17,4.82,3191355376000,1.7,35,3,超讯通信,9.99
4,互联网服务,BK0447,20325.09,899.44,4.63,1695903328000,4.26,129,12,华胜天成,10.0
5,工程咨询服务,BK0726,580.49,22.77,4.08,149664736000,4.18,38,2,招标股份,16.02
6,计算机设备,BK0735,940.36,35.87,3.97,923826720000,3.21,41,8,同为股份,10.02
7,软件开发,BK0737,855.43,31.56,3.83,2308977136000,3.87,157,20,大智慧,10.0
8,电子化学品,BK1039,1466.96,50.1,3.54,202767115000,3.27,18,3,安集科技,12.49
9,教育,BK0740,651.18,22.09,3.51,89849859000,5.95,14,4,学大教育,10.01
10,保险,BK0474,1145.91,34.46,3.1,2762754224000,0.79,5,1,新华保险,8.52
11,通信设备,BK0448,10676.97,307.5,2.97,1276721872000,3.29,84,21,长江通信,10.03
12,珠宝首饰,BK0734,424.06,11.86,2.88,171891226000,1.13,15,2,老凤祥,10.0
13,证券,BK0473,116838.48,3214.82,2.83,2905879072000,1.45,49,1,华西证券,9.81
14,装修装饰,BK0725,435.68,11.97,2.83,149761795000,2.1,41,6,江河集团,10.01
15,光学光电子,BK1038,1113.97,29.04,2.68,927927712000,1.25,88,11,芯瑞达,9.99
16,商业百货,BK0482,14936.96,379.77,2.61,548455872000,1.56,62,5,小商品城,10.0
17,旅游酒店,BK0485,16062.38,400.29,2.56,597750448000,3.05,29,5,大连圣亚,8.97
18,工程建设,BK0425,21702.31,539.86,2.55,1887986496000,2.03,66,7,北方国际,10.0
19,公用事业,BK0427,7090.94,170.83,2.47,162350305000,1.05,21,1,金房节能,9.99
20,铁路公路,BK0421,6456.1,153.19,2.43,364558640000,1.11,28,3,楚天高速,10.08
21,水泥建材,BK0424,26174.7,611.68,2.39,465106144000,1.15,29,2,韩建河山,6.79
22,交运设备,BK0429,7669.97,178.23,2.38,629218960000,1.06,43,7,中路股份,9.99
23,仪器仪表,BK0458,11786.85,271.43,2.36,319004432000,2.2,53,8,禾川科技,9.96
24,纺织服装,BK0436,10093.48,231.51,2.35,544044496000,1.51,89,13,扬州金泉,10.0
25,家用轻工,BK0440,33079.03,757.84,2.34,163056974000,2.24,24,3,高乐股份,9.93
26,房地产服务,BK1045,915.75,20.24,2.26,88615995000,1.36,15,2,皇庭国际,10.03
27,贸易行业,BK0484,8157.12,178.85,2.24,341028432000,1.61,37,2,龙宇股份,8.64
28,半导体,BK1036,1316.57,28.01,2.17,3720801024000,2.95,111,26,大港股份,10.04
29,采掘行业,BK1017,1053.47,22.2,2.15,308255984000,1.3,16,2,海油工程,7.17
30,包装材料,BK0733,906.45,18.95,2.14,137101208000,1.33,28,2,盛通股份,10.03
31,电网设备,BK0457,20884.81,428.0,2.09,1126082416000,1.64,112,16,众业达,9.97
32,物流行业,BK0422,6056.08,123.05,2.07,1197549920000,0.81,44,13,广深铁路,10.12
33,航运港口,BK0450,9265.17,186.81,2.06,970930752000,0.77,35,2,秦港股份,10.16
34,电机,BK1030,1411.27,27.56,1.99,141840831000,1.47,16,6,鼎智科技,13.31
35,石油行业,BK0464,5065.94,98.19,1.98,3350898960000,0.34,18,2,博汇股份,6.18
36,消费电子,BK1037,1016.35,19.64,1.97,1411452720000,1.95,72,20,魅视科技,10.0
37,多元金融,BK0738,523.45,10.09,1.97,414055152000,1.4,19,4,泛海控股,7.5
38,钢铁行业,BK0479,7113.31,124.8,1.79,944865392000,0.65,41,8,柳钢股份,10.1
39,电子元件,BK0459,17880.24,311.01,1.77,1700964800000,1.74,100,29,兴森科技,9.99
40,橡胶制品,BK1018,994.45,16.54,1.69,243901940000,1.2,25,5,双箭股份,5.56
41,房地产开发,BK0451,13175.72,211.67,1.63,1352407024000,1.06,87,16,沙河股份,9.97
42,专用设备,BK0910,2031.82,30.39,1.52,1614979952000,1.87,188,54,华立科技,9.77
43,通用设备,BK0545,24564.48,361.91,1.5,1007704848000,1.78,149,40,瑞凌股份,13.26
