序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,688133,泰坦科技,129.65,6.24,7.62,15887,204161101.0,5.58,131.31,124.5,124.7,122.03,2.68,108.56,3.96
2,301257,普蕊斯,84.09,5.68,4.52,34163,280892847.83,8.82,85.61,78.59,82.0,79.57,22.78,50.62,5.23
3,300572,安车检测,17.55,5.66,0.94,96207,166804383.42,6.56,17.71,16.62,16.62,16.61,5.24,239.43,1.89
4,300384,三联虹普,17.55,5.28,0.88,46867,81276073.96,4.86,17.61,16.8,16.8,16.67,2.13,20.54,2.35
5,002878,元隆雅图,17.4,3.57,0.6,90116,153800978.35,7.68,17.51,16.22,16.37,16.8,4.66,-114.86,3.84
6,003008,开普检测,26.12,3.53,0.89,3790,9821703.0,3.45,26.15,25.28,25.32,25.23,1.09,32.53,1.96
7,603776,永安行,14.55,3.05,0.43,26110,37617654.0,4.25,14.58,13.98,13.98,14.12,1.12,83.06,1.08
8,301169,零点有数,44.01,2.83,1.21,22341,97633990.78,5.19,44.54,42.32,42.5,42.8,7.94,-70.63,4.95
9,301115,建科股份,23.39,2.63,0.6,4890,11336870.18,2.41,23.44,22.89,23.2,22.79,1.13,41.79,1.64
10,300938,信测标准,40.19,2.6,1.02,12924,52055031.1,4.19,41.27,39.63,39.97,39.17,2.49,36.32,3.93
11,301080,百普赛斯,102.91,2.23,2.24,6575,66742190.55,3.3,103.2,99.88,100.8,100.67,1.57,45.69,3.15
12,831039,国义招标,5.19,2.17,0.11,2220,1159203.73,3.54,5.28,5.1,5.1,5.08,0.14,10.25,1.33
13,603698,航天工程,14.77,2.14,0.31,25277,37065746.0,2.63,14.77,14.39,14.39,14.46,0.47,59.66,2.5
14,300215,电科院,5.05,2.02,0.1,67100,33575018.7,3.43,5.07,4.9,4.91,4.95,0.96,-84.36,1.95
15,301166,优宁维,47.31,1.96,0.91,4257,19977357.05,2.37,47.36,46.26,46.97,46.4,1.03,57.19,1.89
16,300797,钢研纳克,16.2,1.95,0.31,12213,19615321.96,2.2,16.25,15.9,15.9,15.89,0.49,104.88,4.32
17,300962,中金辐照,16.18,1.83,0.29,14704,23675872.4,3.15,16.28,15.78,15.83,15.89,1.22,36.44,4.66
18,301228,实朴检测,15.28,1.39,0.21,5938,9040676.28,1.66,15.32,15.07,15.07,15.07,1.08,-22.58,2.06
19,603183,建研院,4.92,1.23,0.06,141196,68716754.0,2.88,4.92,4.78,4.82,4.86,2.87,116.23,1.65
20,300887,谱尼测试,36.21,0.58,0.21,10872,39335575.35,2.22,36.59,35.79,36.26,36.0,1.07,280.49,2.92
21,871753,天纺标,7.37,0.27,0.02,223,163346.46,0.82,7.37,7.31,7.31,7.35,0.15,40.41,1.46
22,300012,华测检测,19.26,-0.05,-0.01,86147,164903544.82,2.23,19.37,18.94,19.2,19.27,0.56,56.17,5.79
23,003035,南网能源,6.82,-0.15,-0.01,232715,158621101.9,2.64,6.92,6.74,6.83,6.83,1.42,78.76,3.94
24,301289,国缆检测,45.9,-0.28,-0.13,7350,33552641.8,2.02,46.28,45.35,45.6,46.03,4.9,45.42,3.02
25,002057,中钢天源,9.45,-0.42,-0.04,134446,126125985.5,1.9,9.47,9.29,9.35,9.49,1.8,31.94,2.37
26,603060,国检集团,11.82,-0.67,-0.08,48965,57338225.0,4.03,11.95,11.47,11.93,11.9,0.67,-89.21,4.89
27,873122,中纺标,10.23,-0.68,-0.07,1555,1580930.6,2.04,10.28,10.07,10.07,10.3,1.46,309.66,2.88
28,002967,广电计量,22.66,-0.79,-0.18,64848,147476979.44,2.8,23.08,22.44,22.99,22.84,1.26,-1244.8,3.74
29,301306,西测测试,38.95,-0.89,-0.35,8772,33936325.09,5.52,39.47,37.3,37.88,39.3,4.16,-139.89,2.68
30,688179,阿拉丁,33.8,-0.94,-0.32,14385,48794659.0,3.08,34.55,33.5,33.87,34.12,1.96,69.21,5.07
31,300416,苏试试验,28.6,-1.75,-0.51,47474,136063835.25,3.33,29.35,28.38,29.0,29.11,1.22,63.1,4.68
32,002564,天沃科技,3.75,-10.07,-0.42,37380,14017500.0,0.0,3.75,3.75,3.75,4.17,0.44,-1.83,69.73
33,688293,奥浦迈,84.11,-16.64,-16.79,22679,200335735.0,13.97,97.13,83.03,97.13,100.9,12.81,71.26,3.12
