序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,600129,太极集团,49.39,10.0,4.49,115194,567634645.0,3.23,49.39,47.94,47.97,44.9,2.07,29.26,8.36
2,300108,*ST吉药,1.98,8.2,0.15,595376,122067689.39,14.21,2.2,1.94,2.2,1.83,9.07,-16.3,23.29
3,600422,昆药集团,21.11,6.62,1.31,239953,497417615.0,10.4,21.37,19.31,19.8,19.8,3.17,30.54,3.13
4,603858,步长制药,21.53,5.49,1.12,217221,460689057.0,5.78,21.7,20.52,20.65,20.41,1.96,13.08,1.86
5,002433,ST太安,2.67,5.12,0.13,388867,101757681.88,6.3,2.67,2.51,2.6,2.54,5.22,-8.33,0.58
6,002566,益盛药业,8.31,4.27,0.34,91063,74834027.0,4.77,8.34,7.96,7.98,7.97,3.94,23.95,1.26
7,603998,方盛制药,13.71,3.94,0.52,145092,197800425.0,6.22,13.84,13.02,13.1,13.19,3.38,23.67,4.49
8,002907,华森制药,16.38,3.28,0.52,84305,136458917.61,5.36,16.51,15.66,15.82,15.86,2.79,56.81,4.18
9,833266,生物谷,6.79,3.19,0.21,2208,1475042.69,4.1,6.79,6.52,6.6,6.58,0.22,125.92,0.86
10,600329,达仁堂,43.02,2.92,1.22,59730,255146148.0,4.98,43.38,41.3,41.8,41.8,1.06,20.76,4.82
11,002166,莱茵生物,8.72,2.35,0.2,70585,60911357.49,3.64,8.79,8.48,8.53,8.52,1.51,81.14,2.1
12,000989,九 芝 堂,13.12,2.34,0.3,238080,309052465.43,4.76,13.21,12.6,12.91,12.82,3.62,17.35,2.71
13,002198,嘉应制药,7.9,2.33,0.18,93266,73082007.3,3.5,7.93,7.66,7.7,7.72,1.84,82.25,5.41
14,300878,维康药业,23.92,2.18,0.51,13376,31609581.0,3.59,24.01,23.17,23.36,23.41,3.36,31.46,2.43
15,000590,启迪药业,8.63,2.01,0.17,27019,23116239.0,3.31,8.68,8.4,8.48,8.46,1.13,78.46,2.93
16,300147,香雪制药,5.66,1.98,0.11,187724,105273453.0,3.96,5.68,5.46,5.57,5.55,2.86,206.24,1.56
17,603567,珍宝岛,16.45,1.86,0.3,90688,147724947.0,5.57,16.65,15.75,16.25,16.15,0.96,15.24,2.11
18,002118,紫鑫药业,1.68,1.82,0.03,443601,73594043.14,4.24,1.69,1.62,1.65,1.65,3.46,-2.6,1.58
19,600351,亚宝药业,7.2,1.69,0.12,254211,181807058.0,2.97,7.21,7.0,7.08,7.08,3.3,12.9,1.8
20,000650,仁和药业,6.59,1.54,0.1,600966,393074736.24,3.7,6.65,6.41,6.52,6.49,4.48,12.65,1.56
21,600518,ST康美,2.12,1.44,0.03,579246,122094323.0,1.44,2.12,2.09,2.09,2.09,0.43,-145.77,4.26
22,002107,沃华医药,6.67,1.37,0.09,83412,55010246.8,4.26,6.71,6.43,6.54,6.58,1.46,37.82,4.99
23,002750,龙津药业,10.01,1.32,0.13,68677,67724795.5,4.15,10.04,9.63,9.86,9.88,1.72,-123.47,6.97
24,600285,羚锐制药,16.71,1.27,0.21,80849,134241114.0,3.94,16.92,16.27,16.51,16.5,1.45,16.43,3.51
25,002424,贵州百灵,8.11,1.25,0.1,287105,229952731.13,3.25,8.11,7.85,8.01,8.01,2.39,31.0,2.87
26,600993,马应龙,26.16,1.2,0.31,66178,171658759.0,2.82,26.24,25.51,25.85,25.85,1.54,15.03,3.09
27,603139,康惠制药,16.1,1.19,0.19,11033,17641264.0,3.21,16.14,15.63,15.96,15.91,1.1,48.99,1.64
28,000790,华神科技,4.56,1.11,0.05,71475,32325027.09,2.22,4.57,4.47,4.51,4.51,1.15,223.13,2.85
29,300026,红日药业,5.76,1.05,0.06,514524,293622447.03,4.39,5.83,5.58,5.66,5.7,1.9,24.66,2.04
30,000538,云南白药,58.19,1.04,0.6,170480,987542657.35,2.4,58.42,57.04,57.54,57.59,1.01,17.22,2.61
31,300181,佐力药业,13.13,1.0,0.13,197927,258329918.0,4.92,13.37,12.73,13.03,13.0,3.9,23.62,3.34
32,600436,片仔癀,271.93,0.94,2.53,19610,531934843.0,2.18,273.87,268.0,270.45,269.4,0.33,53.29,13.55
33,600771,广誉远,40.93,0.94,0.38,176707,718720874.0,3.43,41.34,39.95,40.88,40.55,3.61,511.59,11.71
34,002826,易明医药,10.89,0.93,0.1,38986,41977158.0,2.87,10.93,10.62,10.8,10.79,2.22,62.07,2.76
35,836433,大唐药业,3.4,0.89,0.03,2136,724464.83,2.37,3.41,3.33,3.33,3.37,0.13,29.55,1.81
36,600222,太龙药业,5.95,0.85,0.05,102761,60779490.0,2.88,5.99,5.82,5.93,5.9,1.79,231.81,2.2
37,000919,金陵药业,7.73,0.78,0.06,75111,57503540.52,2.87,7.75,7.53,7.67,7.67,1.49,22.66,1.3
38,300519,新光药业,16.19,0.75,0.12,15964,25696640.0,2.36,16.26,15.88,16.06,16.07,1.4,21.27,2.91
39,603963,大理药业,11.22,0.72,0.08,29510,32909682.0,2.78,11.28,10.97,11.06,11.14,1.34,-241.51,6.18
40,002275,桂林三金,19.05,0.63,0.12,71429,136564941.09,7.4,19.85,18.45,19.19,18.93,1.29,16.54,3.74
41,002390,信邦制药,4.87,0.62,0.03,147399,71397996.43,2.07,4.9,4.8,4.88,4.84,0.81,44.7,1.38
42,002412,汉森制药,6.64,0.61,0.04,108238,71216820.76,3.64,6.68,6.44,6.59,6.6,2.19,15.17,1.71
43,600594,益佰制药,6.0,0.33,0.02,239597,142365120.0,3.01,6.02,5.84,5.91,5.98,3.03,27.0,1.54
44,600085,同仁堂,58.16,0.33,0.19,107588,621888543.0,3.69,59.0,56.86,59.0,57.97,0.78,38.1,6.48
45,000423,东阿阿胶,51.47,0.14,0.07,48494,248597765.55,3.79,52.19,50.24,51.36,51.4,0.74,36.54,3.19
46,600671,*ST目药,7.6,0.13,0.01,14743,11127279.0,4.35,7.74,7.41,7.45,7.59,1.21,-25.55,-39.08
47,605199,葫芦娃,17.16,-0.12,-0.02,57804,98720938.0,2.79,17.27,16.79,17.16,17.18,6.19,42.32,6.51
48,002349,精华制药,10.72,-0.28,-0.03,205099,216934878.37,2.79,10.72,10.42,10.67,10.75,2.53,24.89,3.51
49,600572,康恩贝,6.92,-0.43,-0.03,585918,404462983.0,5.18,7.08,6.72,6.93,6.95,2.29,15.64,2.48
50,301331,恩威医药,40.8,-0.68,-0.28,20383,82527337.42,2.51,40.93,39.9,40.5,41.08,11.62,25.86,2.42
51,600252,中恒集团,2.61,-0.76,-0.02,249749,64913599.0,1.52,2.62,2.58,2.61,2.63,0.73,-132.1,1.4
52,002728,特一药业,24.16,-0.98,-0.24,264951,631970323.17,3.77,24.31,23.39,23.96,24.4,16.58,13.13,3.77
53,600750,江中药业,23.35,-1.31,-0.31,145651,339894883.0,3.21,23.77,23.01,23.66,23.66,2.34,15.26,3.56
54,002603,以岭药业,31.47,-1.32,-0.42,434704,1354589770.73,3.14,31.8,30.8,31.8,31.89,3.16,10.93,4.33
55,300039,上海凯宝,8.04,-1.35,-0.11,745718,594786424.53,3.31,8.1,7.83,8.08,8.15,8.14,26.22,2.04
56,002317,众生药业,22.21,-1.38,-0.31,463438,1016891808.62,3.37,22.35,21.59,22.3,22.52,6.57,32.45,4.77
57,002864,盘龙药业,44.9,-1.47,-0.67,110909,494370085.86,5.6,45.72,43.17,44.8,45.57,17.16,50.46,3.68
58,002737,葵花药业,26.35,-1.94,-0.52,137878,365544142.74,3.94,27.28,26.22,27.18,26.87,2.36,9.47,3.33
59,600566,济川药业,31.55,-1.99,-0.64,77820,245145675.0,2.55,32.01,31.19,32.01,32.19,0.85,10.74,2.42
60,600557,康缘药业,29.5,-2.12,-0.64,73868,217996943.0,5.01,30.33,28.82,30.07,30.14,1.28,30.48,3.52
61,600479,千金药业,13.36,-2.2,-0.3,296216,393600389.0,4.9,13.69,13.02,13.68,13.66,7.08,32.7,2.54
62,300534,陇神戎发,10.91,-2.24,-0.25,276847,299757173.5,3.32,11.01,10.64,10.99,11.16,9.2,41.36,5.61
63,002873,新天药业,13.71,-2.28,-0.32,53533,72832608.33,2.71,13.79,13.41,13.73,14.03,2.4,31.69,2.8
64,603439,贵州三力,19.83,-2.46,-0.5,147931,288996577.0,4.23,19.99,19.13,19.84,20.33,3.63,36.99,6.27
65,600211,西藏药业,59.15,-2.51,-1.52,63005,377397319.0,5.72,62.3,58.83,62.11,60.67,2.54,12.09,4.64
66,600080,金花股份,7.51,-2.59,-0.2,73784,55414232.0,3.63,7.69,7.41,7.65,7.71,1.98,149.72,1.66
67,002644,佛慈制药,13.33,-2.7,-0.37,110406,146283074.5,4.31,13.59,13.0,13.59,13.7,2.16,61.98,3.91
68,000999,华润三九,58.95,-2.8,-1.7,68220,402363184.35,4.53,61.05,58.3,61.01,60.65,0.7,12.65,3.21
69,600976,健民集团,66.35,-3.84,-2.65,26974,182704738.0,5.22,69.8,66.2,69.0,69.0,1.77,25.56,5.18
70,603896,寿仙谷,46.17,-3.93,-1.89,79151,360298051.0,7.32,46.92,43.4,44.1,48.06,4.01,36.36,4.83
71,600332,白云山,33.47,-4.73,-1.66,276155,915707734.0,4.16,33.97,32.51,33.88,35.13,1.96,7.13,1.6
