序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,688320,禾川科技,36.55,9.96,3.31,30680,109206562.0,12.88,37.05,32.77,32.77,33.24,3.62,64.2,3.54
2,300371,汇中股份,14.56,7.85,1.06,28902,41246413.67,9.56,14.65,13.36,13.39,13.5,2.62,88.61,2.42
3,301006,迈拓股份,24.79,7.41,1.71,36765,89333758.15,8.23,24.8,22.9,23.1,23.08,5.74,20.93,2.87
4,300165,天瑞仪器,4.78,6.94,0.31,310110,145202162.0,9.17,4.83,4.42,4.47,4.47,7.98,-228.58,1.57
5,688665,四方光电,83.5,5.78,4.56,7102,58132461.0,5.64,83.5,79.05,79.9,78.94,3.3,37.68,6.31
6,300114,中航电测,51.38,5.07,2.48,307101,1560222328.43,7.61,52.32,48.6,48.75,48.9,5.2,331.62,13.1
7,300007,汉威科技,14.84,4.73,0.67,72763,106143392.57,5.01,14.9,14.19,14.22,14.17,2.58,85.96,1.75
8,688686,奥普特,149.21,4.53,6.47,7411,108336687.0,5.56,149.37,141.43,142.0,142.74,2.17,69.39,6.63
9,603700,宁水集团,13.99,4.4,0.59,30113,41901531.0,5.45,14.1,13.37,13.37,13.4,1.48,69.46,1.84
10,688528,秦川物联,9.54,4.15,0.38,11079,10432633.0,5.35,9.6,9.11,9.19,9.16,2.13,-26.94,2.18
11,300515,三德科技,14.12,4.13,0.56,30260,42128605.0,5.68,14.28,13.51,13.53,13.56,1.68,45.83,4.01
12,300553,集智股份,59.19,4.04,2.3,8026,47346203.0,7.45,60.49,56.25,56.91,56.89,2.24,98.39,5.36
13,300349,金卡智能,13.42,4.03,0.52,111116,148181334.72,7.21,13.53,12.6,12.8,12.9,2.91,17.75,1.45
14,688628,优利德,45.32,3.94,1.72,33072,146270019.0,8.19,45.55,41.98,42.2,43.6,7.4,30.61,4.54
15,300417,南华仪器,9.66,3.65,0.34,17243,16523834.4,4.72,9.74,9.3,9.3,9.32,2.01,-102.66,2.86
16,300259,新天科技,3.73,3.61,0.13,235778,86888669.61,5.28,3.75,3.56,3.57,3.6,2.91,23.55,1.5
17,300897,山科智能,29.19,3.55,1.0,4268,12339368.25,3.9,29.3,28.2,28.39,28.19,1.44,32.06,2.1
18,300557,理工光科,31.99,3.49,1.08,6311,20022986.0,3.62,32.01,30.89,30.91,30.91,0.97,145.7,2.45
19,834407,驰诚股份,6.32,3.44,0.21,1209,754038.38,4.26,6.37,6.11,6.15,6.11,1.0,24.86,1.67
20,300112,万讯自控,9.42,3.29,0.3,69160,64490728.0,3.84,9.45,9.1,9.12,9.12,2.94,-326.47,2.36
21,300838,浙江力诺,17.51,3.24,0.55,17988,30994351.0,5.07,17.52,16.66,16.97,16.96,3.41,23.19,2.52
22,002877,智能自控,8.77,3.18,0.27,52451,45632229.0,3.29,8.8,8.52,8.56,8.5,2.52,53.25,3.36
23,002175,东方智造,3.06,3.03,0.09,110996,33650622.56,3.37,3.07,2.97,3.0,2.97,0.87,1304.96,7.98
24,300667,必创科技,16.88,2.93,0.48,43652,73714860.75,6.1,17.23,16.23,16.4,16.4,2.75,59.09,2.72
25,002767,先锋电子,12.58,2.86,0.35,26261,32963098.2,6.38,12.95,12.17,12.17,12.23,2.02,209.55,2.35
26,001266,宏英智能,25.45,2.75,0.68,6401,16142565.0,3.35,25.52,24.69,24.69,24.77,2.17,111.5,2.52
27,301129,瑞纳智能,73.72,2.7,1.94,4104,29337161.0,5.11,73.72,70.05,73.22,71.78,2.23,202.61,3.31
28,830879,基康仪器,5.95,2.59,0.15,4881,2897145.12,5.86,6.09,5.75,5.81,5.8,0.98,16.04,1.6
29,688056,莱伯泰科,46.61,2.55,1.16,3813,17670685.0,3.54,47.06,45.45,45.45,45.45,1.44,60.89,3.74
30,688115,思林杰,34.03,2.53,0.84,3582,12122323.0,3.28,34.28,33.19,33.4,33.19,1.21,-55.47,1.71
31,300567,精测电子,105.95,2.35,2.43,84836,893616467.76,5.95,108.16,102.0,102.0,103.52,4.1,620.37,9.23
32,300275,梅安森,22.28,2.2,0.48,67625,150029385.97,6.19,22.8,21.45,22.0,21.8,4.6,114.8,5.31
33,688768,容知日新,132.35,2.07,2.69,7468,96655516.0,4.21,132.56,127.1,130.15,129.66,2.29,-91.9,9.71
34,002980,华盛昌,30.86,2.02,0.61,7523,22986711.0,3.14,30.9,29.95,30.08,30.25,0.56,49.95,4.06
35,300445,康斯特,14.26,1.93,0.27,35167,50150701.41,2.93,14.42,14.01,14.09,13.99,2.54,46.16,3.0
36,603662,柯力传感,17.86,1.82,0.32,44405,78944941.0,2.79,17.99,17.5,17.67,17.54,1.58,22.58,2.15
37,301151,冠龙节能,16.78,1.82,0.3,4719,7892781.49,1.52,16.81,16.56,16.56,16.48,0.86,123.89,1.4
38,688622,禾信仪器,37.53,1.76,0.65,3903,14667621.0,4.12,38.16,36.64,36.65,36.88,1.01,-40.14,5.11
39,430476,XD海能技,14.94,1.63,0.24,3029,4551338.87,8.1,15.49,14.3,14.3,14.7,0.52,-198.64,2.58
40,832491,奥迪威,8.27,1.6,0.13,5030,4110977.77,4.79,8.41,8.02,8.36,8.14,0.56,16.18,1.33
41,002658,雪迪龙,7.94,1.53,0.12,47371,37360294.38,1.92,7.95,7.8,7.8,7.82,1.38,44.28,1.91
42,300370,*ST安控,2.71,1.5,0.04,53773,14516839.0,2.62,2.73,2.66,2.69,2.67,0.48,-15.91,5.82
