序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,301205,联特科技,129.82,20.0,21.64,53593,659566007.65,16.57,129.82,111.89,111.99,108.18,29.74,88.34,6.52
2,002638,勤上股份,2.72,10.12,0.25,559319,148561885.8,8.91,2.72,2.5,2.55,2.47,5.06,7.58,1.44
3,002983,芯瑞达,22.14,9.99,2.01,33742,72892497.2,9.89,22.14,20.15,20.15,20.13,3.2,26.35,3.47
4,688205,德科立,76.78,7.58,5.41,29070,219065664.0,9.5,77.88,71.1,71.13,71.37,12.32,85.49,3.89
5,002745,木林森,8.89,7.24,0.6,306627,265806700.79,8.44,8.97,8.27,8.29,8.29,3.19,23.43,0.97
6,600363,联创光电,35.35,6.73,2.23,168202,597061164.0,8.36,36.37,33.6,33.62,33.12,3.73,42.62,4.27
7,301379,天山电子,26.96,5.56,1.42,17271,46133255.65,4.89,27.2,25.95,25.95,25.54,7.19,25.91,2.14
8,002992,宝明科技,35.55,5.55,1.87,51453,181610467.72,10.36,36.49,33.0,33.54,33.68,6.57,-44.24,7.43
9,300701,森霸传感,9.26,5.47,0.48,32821,29863709.0,5.92,9.29,8.77,8.78,8.78,1.36,80.04,3.27
10,300076,GQY视讯,4.93,5.34,0.25,84739,41176037.96,5.56,4.95,4.69,4.69,4.68,2.0,-140.77,2.08
11,688307,中润光学,32.5,5.11,1.58,19158,61438540.0,6.57,32.63,30.6,31.1,30.92,10.5,-754.67,3.59
12,300940,南极光,17.75,5.03,0.85,19421,33840398.74,5.8,17.79,16.81,16.82,16.9,2.56,-27.96,4.27
13,002449,国星光电,8.6,5.01,0.41,159277,134842806.64,5.74,8.62,8.15,8.16,8.19,2.6,61.4,1.41
14,301045,天禄科技,19.38,4.98,0.92,4540,8675258.15,5.09,19.4,18.46,18.46,18.46,0.88,118.22,2.33
15,002587,奥拓电子,6.18,4.92,0.29,161317,98773622.0,4.92,6.19,5.9,5.9,5.89,3.17,321.91,2.91
16,688502,茂莱光学,207.9,4.75,9.42,16647,350854134.0,11.08,220.0,198.0,199.0,198.48,13.8,196.41,9.22
17,002222,福晶科技,26.82,4.64,1.19,431588,1159952339.98,4.92,27.45,26.19,26.22,25.63,10.14,54.21,7.99
18,301321,翰博高新,19.64,4.64,0.87,11537,22426442.78,5.17,19.77,18.8,18.91,18.77,1.85,201.06,1.88
19,002456,欧菲光,4.77,4.61,0.21,368519,172794135.73,6.14,4.78,4.5,4.52,4.56,1.14,-10.85,5.38
20,002955,鸿合科技,25.82,4.58,1.13,57258,145382884.07,5.39,25.95,24.62,24.73,24.69,3.08,65.87,1.69
21,301183,东田微,38.96,4.51,1.68,73924,286625824.89,10.43,40.34,36.45,36.45,37.28,36.96,-176.89,3.73
22,300632,光莆股份,11.18,4.29,0.46,34490,37956268.3,4.76,11.21,10.7,10.73,10.72,1.68,29.07,1.82
23,002962,五方光电,11.12,4.12,0.44,54789,60122308.06,4.03,11.15,10.72,10.76,10.68,2.68,66.68,1.78
24,300691,联合光电,14.97,4.1,0.59,39542,58642631.46,4.17,14.98,14.38,14.47,14.38,2.0,116.72,2.49
25,688401,路维光电,46.21,4.01,1.78,16381,75518151.0,4.64,46.66,44.6,44.66,44.43,5.51,54.21,4.49
26,300752,隆利科技,15.68,3.84,0.58,17333,26838839.22,4.64,15.71,15.01,15.02,15.1,1.3,-61.96,4.3
27,002808,恒久科技,12.41,3.76,0.45,127431,156101441.8,7.61,12.48,11.57,11.78,11.96,7.43,-295.54,8.62
28,300708,聚灿光电,9.8,3.7,0.35,82391,80438345.8,5.4,9.84,9.33,9.38,9.45,2.22,-175.74,3.34
29,002217,合力泰,3.11,3.67,0.11,398278,123726575.0,5.33,3.15,2.99,3.0,3.0,1.28,-5.48,1.92
30,000509,华塑控股,3.68,3.66,0.13,66708,24269265.94,4.51,3.7,3.54,3.55,3.55,0.62,-247.41,30.05
31,300331,苏大维格,22.0,3.58,0.76,36334,79570281.51,4.94,22.25,21.2,21.21,21.24,1.81,1345.96,3.3
32,300120,经纬辉开,7.36,3.52,0.25,153913,112336492.38,3.66,7.38,7.12,7.15,7.11,3.81,52.51,1.29
33,000045,深纺织Ａ,10.03,3.51,0.34,56605,55999194.0,5.16,10.1,9.6,9.65,9.69,1.24,96.89,1.77
34,300241,瑞丰光电,4.83,3.43,0.16,94955,45334431.0,4.07,4.83,4.64,4.64,4.67,1.67,-52.57,1.56
35,688272,*ST富吉,19.85,3.39,0.65,15332,29994275.0,6.46,20.12,18.88,19.27,19.2,6.34,-19.71,2.67
36,603685,晨丰科技,11.03,3.28,0.35,60163,65174817.0,5.71,11.19,10.58,10.58,10.68,3.56,119.55,1.74
37,300301,*ST长方,1.9,3.26,0.06,211563,39983032.0,7.07,1.96,1.83,1.88,1.84,2.68,-20.14,8.66
38,300582,英飞特,13.21,3.2,0.41,72679,95049178.97,3.52,13.23,12.78,12.8,12.8,3.31,-65.93,2.37
39,300219,鸿利智汇,7.09,3.2,0.22,98683,69338566.19,4.08,7.15,6.87,6.87,6.87,1.4,27.69,2.08
40,300889,爱克股份,13.73,3.16,0.42,23270,31699538.82,3.46,13.76,13.3,13.33,13.31,2.62,-31.37,1.36
41,300808,久量股份,13.37,3.08,0.4,11232,14873280.0,5.24,13.39,12.71,12.97,12.97,1.33,-98.79,2.04
42,688055,龙腾光电,4.38,3.06,0.13,47417,20655481.0,3.06,4.39,4.26,4.28,4.25,0.26,-32.61,3.11
43,300162,雷曼光电,6.49,3.02,0.19,45070,29036920.36,3.65,6.5,6.27,6.27,6.3,1.71,-315.22,3.38
44,300389,艾比森,21.0,2.99,0.61,203162,416458850.62,8.93,21.38,19.56,19.92,20.39,12.1,24.12,6.05
45,000020,深华发Ａ,9.71,2.97,0.28,11470,11062240.0,3.61,9.77,9.43,9.43,9.43,0.63,106.86,7.64
46,300650,太龙股份,12.56,2.95,0.36,100723,125316227.88,7.38,12.81,11.91,12.06,12.2,6.74,133.74,2.47
47,300303,聚飞光电,5.33,2.9,0.15,514110,272742878.8,3.67,5.35,5.16,5.18,5.18,4.1,30.73,2.45
48,300128,锦富技术,3.68,2.79,0.1,175577,63676714.62,4.47,3.7,3.54,3.56,3.58,1.61,-27.63,6.66
49,688011,新光光电,23.65,2.78,0.64,10146,23940460.0,4.26,23.99,23.01,23.01,23.01,1.83,-87.84,2.0
50,600552,凯盛科技,12.52,2.71,0.33,136130,169844759.0,3.53,12.68,12.25,12.25,12.19,1.78,100.32,2.88
51,000536,华映科技,1.95,2.63,0.05,236285,45510222.12,4.21,1.96,1.88,1.9,1.9,0.86,-3.79,1.46
52,300566,激智科技,17.35,2.6,0.44,39035,67463105.78,3.02,17.44,16.93,16.97,16.91,1.71,40.58,2.71
53,688010,福光股份,26.04,2.56,0.65,31027,81390638.0,7.56,27.02,25.1,25.43,25.39,2.03,-129.18,2.24
54,600666,*ST瑞德,2.86,2.51,0.07,87112,24693736.0,3.23,2.87,2.78,2.8,2.79,0.36,-161.28,4.59
55,002273,水晶光电,11.62,2.38,0.27,213215,246327832.02,3.26,11.69,11.32,11.35,11.35,1.57,43.54,1.94
56,688299,长阳科技,15.29,2.21,0.33,27364,41649524.0,2.87,15.36,14.93,14.96,14.96,0.95,43.99,2.09
57,002189,中光学,15.02,2.18,0.32,30297,45349310.75,2.52,15.06,14.69,14.69,14.7,1.16,-15.04,3.07
58,300088,长信科技,6.14,2.16,0.13,285519,174007998.86,2.16,6.14,6.01,6.02,6.01,1.17,36.16,1.81
59,300319,麦捷科技,8.54,2.15,0.18,120400,101996385.6,3.11,8.56,8.3,8.32,8.36,1.46,39.4,1.81
60,300939,秋田微,36.78,2.08,0.75,82261,303527824.29,5.25,37.71,35.82,35.82,36.03,12.48,34.74,3.35
61,605218,伟时电子,14.2,1.94,0.27,19408,27438208.0,3.66,14.35,13.84,13.84,13.93,2.2,68.89,2.49
62,300102,乾照光电,6.32,1.94,0.12,78002,49097723.0,3.06,6.34,6.15,6.17,6.2,0.87,-13.99,1.43
63,300296,利亚德,6.33,1.93,0.12,243348,153277123.5,2.74,6.34,6.17,6.18,6.21,1.18,32.82,1.99
64,002765,蓝黛科技,6.94,1.91,0.13,61639,42613752.12,2.5,6.97,6.8,6.8,6.81,1.45,36.7,1.61
65,002845,同兴达,13.37,1.91,0.25,59358,78732392.16,6.1,13.4,12.6,12.63,13.12,2.65,-16.99,1.69
66,002106,莱宝高科,8.19,1.87,0.15,68766,56034406.46,2.36,8.22,8.03,8.03,8.04,0.98,67.46,1.16
67,300909,汇创达,28.11,1.81,0.5,12138,34011280.42,2.72,28.36,27.61,27.61,27.61,2.0,115.49,2.73
68,003015,日久光电,8.51,1.79,0.15,13173,11185199.0,2.63,8.55,8.33,8.33,8.36,0.68,-96.34,2.29
69,000413,东旭光电,1.71,1.79,0.03,239146,40793024.0,2.38,1.72,1.68,1.69,1.68,0.48,-10.69,0.43
70,688181,八亿时空,36.37,1.68,0.6,14451,52413766.0,2.94,36.6,35.55,35.61,35.77,1.5,47.46,1.75
71,301106,骏成科技,29.98,1.59,0.47,2966,8866856.0,2.34,30.08,29.39,29.39,29.51,1.42,46.97,1.98
72,600707,彩虹股份,4.55,1.56,0.07,120266,54428147.0,2.9,4.58,4.45,4.47,4.48,0.34,-8.87,0.85
73,605118,力鼎光电,12.97,1.17,0.15,9793,12650302.0,1.87,13.0,12.76,12.8,12.82,2.35,44.05,3.83
74,603703,盛洋科技,14.82,1.02,0.15,17272,25409263.0,2.04,14.85,14.55,14.71,14.67,0.58,208.28,5.24
75,000727,冠捷科技,2.07,0.98,0.02,230025,47407562.52,2.93,2.08,2.02,2.05,2.05,0.67,-68.35,3.65
76,002036,联创电子,9.34,0.97,0.09,289209,270800109.94,3.46,9.53,9.21,9.22,9.25,2.75,-14.12,2.8
77,300232,洲明科技,8.35,0.85,0.07,329194,273037378.31,2.66,8.37,8.15,8.22,8.28,3.76,15.8,1.91
78,000050,深天马Ａ,9.86,0.82,0.08,97561,96176782.24,1.74,9.92,9.75,9.75,9.78,0.41,-9.15,0.82
79,688538,和辉光电-U,2.56,0.79,0.02,177926,45441183.0,1.18,2.57,2.54,2.54,2.54,0.31,-20.88,2.31
80,000725,京东方Ａ,4.02,0.75,0.03,1787841,716077234.22,1.25,4.03,3.98,3.99,3.99,0.48,155.22,1.2
81,600651,飞乐音响,5.02,0.6,0.03,1294752,643668249.0,8.22,5.16,4.75,4.84,4.99,10.43,-204.57,5.32
82,600071,凤凰光学,18.88,0.59,0.11,40556,76064891.0,3.73,19.05,18.35,18.44,18.77,1.44,-62.37,10.61
83,688127,蓝特光学,16.66,0.54,0.09,23215,38479817.0,2.9,16.75,16.27,16.44,16.57,1.36,349.34,4.44
84,600703,三安光电,17.78,0.45,0.08,786500,1402310666.0,4.41,18.18,17.4,17.44,17.7,1.93,103.85,2.32
85,603297,永新光学,84.83,0.31,0.26,3195,26960374.0,2.13,85.5,83.7,84.03,84.57,0.29,49.45,5.46
86,873001,纬达光电,7.02,0.29,0.02,1010,708322.5,1.0,7.05,6.98,7.05,7.0,0.33,30.9,1.43
87,002876,三利谱,36.59,0.27,0.1,59292,214344693.69,5.23,36.91,35.0,35.17,36.49,3.99,130.14,2.72
88,688079,美迪凯,9.99,0.1,0.01,35820,35796300.0,3.61,10.14,9.78,9.78,9.98,2.01,-193.63,2.6
89,688150,莱特光电,21.58,0.0,0.0,27588,59480417.0,3.52,22.01,21.25,21.74,21.58,1.87,92.31,5.08
90,002952,亚世光电,16.61,-0.18,-0.03,27692,45663836.25,3.67,16.71,16.1,16.47,16.64,2.12,40.15,2.96
91,000100,TCL科技,4.0,-0.25,-0.01,1734183,691264619.32,1.25,4.01,3.96,3.99,4.01,1.27,-31.1,1.38
92,300323,华灿光电,6.63,-0.45,-0.03,145842,96265298.78,4.8,6.68,6.36,6.36,6.66,1.58,-16.66,1.33
93,603773,沃格光电,22.08,-0.67,-0.15,43824,96978612.0,3.55,22.59,21.8,22.08,22.23,2.8,888.54,2.75
94,603679,华体科技,13.39,-0.81,-0.11,22192,29270532.0,3.26,13.39,12.95,13.38,13.5,1.57,51.83,2.63
95,300545,联得装备,25.25,-1.41,-0.36,191434,470729838.71,5.12,25.26,23.95,24.4,25.61,17.1,27.29,2.99
