序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,002496,辉丰股份,2.29,8.02,0.17,306084,69192961.04,8.49,2.31,2.13,2.16,2.12,2.68,80.58,1.75
2,002513,蓝丰生化,4.74,3.49,0.16,56555,26539809.02,4.15,4.76,4.57,4.59,4.58,1.8,-30.09,5.05
3,002215,诺 普 信,7.83,3.43,0.26,274744,213006972.48,4.23,7.85,7.53,7.53,7.57,3.47,8.92,2.0
4,603810,丰山集团,14.55,3.05,0.43,14389,20762044.0,3.26,14.61,14.15,14.22,14.12,0.9,56.85,1.54
5,600226,ST瀚叶,2.78,2.96,0.08,134217,36941441.0,3.7,2.78,2.68,2.7,2.7,0.43,50.36,2.76
6,600389,江山股份,35.19,2.8,0.96,25800,89550599.0,3.94,35.3,33.95,33.96,34.23,0.87,21.73,3.1
7,003042,中农联合,20.48,2.76,0.55,32255,65456213.7,3.41,20.52,19.84,19.93,19.93,4.74,42.86,1.72
8,600796,钱江生化,5.29,2.12,0.11,30871,16154066.0,3.09,5.3,5.14,5.19,5.18,1.02,37.78,1.5
9,603585,苏利股份,17.92,2.11,0.37,6697,11936136.0,2.28,17.93,17.53,17.66,17.55,0.37,36.42,1.3
10,000525,ST红太阳,8.35,2.08,0.17,56610,46942271.0,2.44,8.37,8.17,8.19,8.18,0.97,107.13,3.77
11,688098,申联生物,7.69,1.99,0.15,13393,10210876.0,3.18,7.7,7.46,7.49,7.54,0.33,49.75,2.09
12,002749,国光股份,9.22,1.88,0.17,16103,14734228.46,2.98,9.25,8.98,9.05,9.05,0.4,18.41,2.69
13,603639,海利尔,19.68,1.71,0.33,40026,78195729.0,2.38,19.78,19.32,19.56,19.35,1.2,11.0,1.99
14,000553,安道麦A,8.55,1.66,0.14,37980,32280480.64,1.9,8.57,8.41,8.5,8.41,0.17,59.8,0.87
15,300796,贝斯美,11.84,1.63,0.19,21710,25541357.4,3.09,11.87,11.51,11.6,11.65,0.6,21.58,2.58
16,870866,XD绿亨科,5.88,1.55,0.09,801,469727.54,1.73,5.9,5.8,5.88,5.79,0.16,43.1,1.48
