序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,002599,盛通股份,6.8,10.03,0.62,674723,443892218.0,13.59,6.8,5.96,5.96,6.18,17.09,-37.49,2.56
2,002969,嘉美包装,3.93,5.08,0.19,211614,82453451.0,3.48,3.96,3.83,3.83,3.74,4.0,39.68,1.64
3,002787,华源控股,8.59,4.25,0.35,118353,100329009.08,5.46,8.65,8.2,8.2,8.24,5.11,331.09,1.9
4,000659,珠海中富,3.08,4.05,0.12,115934,35390438.94,4.73,3.1,2.96,2.96,2.96,0.9,-41.63,10.44
5,000812,陕西金叶,5.5,3.97,0.21,217299,118106909.98,6.62,5.57,5.22,5.22,5.29,2.83,55.15,2.4
6,002799,环球印务,11.73,3.71,0.42,21885,25339514.72,4.51,11.74,11.23,11.23,11.31,0.87,32.67,2.32
7,603687,大胜达,8.8,3.41,0.29,44280,38509518.0,3.41,8.8,8.51,8.53,8.51,1.06,46.67,1.86
8,300501,海顺新材,15.65,3.16,0.48,30394,47218947.0,3.56,15.66,15.12,15.12,15.17,2.43,28.37,1.87
9,002014,永新股份,8.84,2.91,0.25,38743,33912085.42,3.49,8.86,8.56,8.56,8.59,0.64,17.36,2.9
10,003003,天元股份,9.79,2.41,0.23,17497,17048275.0,3.87,9.85,9.48,9.48,9.56,1.91,62.73,1.44
11,002735,王子新材,19.94,2.36,0.46,16726,33189294.15,3.8,20.22,19.48,19.5,19.48,1.22,1039.55,4.66
12,002846,英联股份,8.56,2.15,0.18,24401,20739471.66,2.39,8.58,8.38,8.4,8.38,1.09,-182.28,3.65
13,002303,美盈森,3.4,2.1,0.07,91039,30736390.35,1.8,3.4,3.34,3.34,3.33,0.96,34.07,1.03
14,002951,金时科技,9.34,1.74,0.16,24906,23109206.2,2.72,9.38,9.13,9.28,9.18,0.61,-165.88,1.74
15,002701,奥瑞金,4.78,1.7,0.08,159352,76067973.96,2.34,4.81,4.7,4.71,4.7,0.62,14.61,1.46
16,600836,上海易连,5.18,1.57,0.08,44683,23052421.0,2.16,5.21,5.1,5.1,5.1,0.67,707.26,3.03
17,603022,新通联,9.15,1.44,0.13,10371,9445312.0,2.44,9.18,8.96,9.03,9.02,0.52,42.45,2.48
18,301223,中荣股份,19.04,1.33,0.25,8424,15930170.86,1.76,19.06,18.73,18.8,18.79,1.84,18.1,1.34
19,002228,合兴包装,3.23,1.25,0.04,46044,14784010.2,1.88,3.23,3.17,3.18,3.19,0.37,31.2,1.2
20,002374,中锐股份,4.58,1.1,0.05,196579,89129331.31,3.75,4.64,4.47,4.55,4.53,1.84,-84.49,3.72
21,002191,劲嘉股份,7.31,0.97,0.07,84592,61430675.3,1.38,7.31,7.21,7.22,7.24,0.59,16.82,1.43
22,002752,昇兴股份,4.83,0.84,0.04,95266,45712502.0,2.3,4.84,4.73,4.78,4.79,0.98,22.11,1.66
23,002565,顺灏股份,3.67,0.82,0.03,122229,44694896.9,1.92,3.69,3.62,3.63,3.64,1.16,117.15,2.08
24,838163,方大新材,5.42,0.74,0.04,2632,1410095.7,3.35,5.46,5.28,5.38,5.38,0.43,16.21,1.62
25,301062,上海艾录,9.68,0.73,0.07,26872,25978791.0,2.39,9.74,9.51,9.61,9.61,1.12,138.14,3.5
26,601515,东风股份,4.3,0.7,0.03,56264,24119681.0,1.17,4.3,4.25,4.26,4.27,0.31,8.81,1.38
27,601968,宝钢包装,6.77,0.45,0.03,33707,22820927.0,1.34,6.83,6.74,6.75,6.74,0.37,31.27,2.01
28,301296,新巨丰,16.2,0.12,0.02,8609,13931587.46,1.36,16.31,16.09,16.27,16.18,1.37,40.67,2.81
29,872392,佳合科技,6.34,-0.31,-0.02,811,510484.76,1.42,6.36,6.27,6.36,6.36,0.67,51.03,1.24
30,600210,紫江企业,5.32,-0.75,-0.04,163698,87504992.0,2.24,5.42,5.3,5.35,5.36,1.08,17.0,1.43
