序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,600488,津药药业,5.18,9.98,0.47,541153,275855433.0,8.28,5.18,4.79,4.81,4.71,4.96,21.04,1.87
2,688131,皓元医药,115.83,8.86,9.43,17866,201351554.0,10.62,116.8,105.5,105.5,106.4,2.96,67.0,5.22
3,688670,金迪克,61.2,6.19,3.57,10522,63706465.0,8.4,62.19,57.35,57.75,57.63,3.43,37.04,3.6
4,300434,金石亚药,15.69,5.3,0.79,569934,868282790.9,12.75,16.23,14.33,14.7,14.9,17.17,10.98,2.61
5,300086,康芝药业,6.19,5.27,0.31,207599,126589768.7,6.12,6.25,5.89,6.02,5.88,4.77,45.18,2.09
6,301075,多瑞医药,26.12,5.2,1.29,24895,63761022.0,7.33,26.38,24.56,24.76,24.83,9.08,-216.12,2.76
7,688578,艾力斯,30.38,5.12,1.48,78825,234100481.0,7.51,30.5,28.33,29.0,28.9,3.81,97.99,4.22
8,603222,济民医疗,12.04,4.88,0.56,107506,128326455.0,6.53,12.29,11.54,11.54,11.48,2.25,47.94,3.71
9,873167,新赣江,9.2,4.43,0.39,3727,3403361.33,4.31,9.23,8.85,8.99,8.81,1.9,9.77,1.42
10,002940,昂利康,29.48,4.13,1.17,25227,73482772.11,5.33,29.68,28.17,28.45,28.31,1.97,21.78,2.64
11,002435,长江健康,4.94,4.0,0.19,221984,108367598.16,5.47,4.97,4.71,4.75,4.75,1.85,25.38,1.34
12,000953,河化股份,5.63,3.87,0.21,69801,38792715.01,4.8,5.67,5.41,5.43,5.42,1.91,-328.31,27.0
13,300016,北陆药业,6.85,3.79,0.25,65918,44539251.0,4.24,6.86,6.58,6.58,6.6,1.34,66.99,2.03
14,600781,*ST辅仁,0.84,3.7,0.03,143539,11943758.0,6.17,0.85,0.8,0.83,0.81,3.84,-1.07,-0.25
15,002900,哈三联,13.49,3.69,0.48,108228,143450789.0,5.61,13.58,12.85,13.05,13.01,6.55,27.26,2.05
16,001367,海森药业,57.4,3.16,1.76,33786,190455223.09,5.64,57.74,54.6,54.78,55.64,20.28,39.04,3.34
17,688192,迪哲医药-U,53.55,2.49,1.3,10325,55206158.0,7.67,55.33,51.32,51.76,52.25,2.66,-22.81,13.91
18,688266,泽璟制药-U,55.77,2.31,1.26,33834,187546860.0,5.65,56.63,53.55,53.9,54.51,2.36,-64.44,7.8
19,300254,仟源医药,6.29,2.28,0.14,48226,30065764.0,3.25,6.31,6.11,6.15,6.15,2.15,-176.16,2.65
20,600200,江苏吴中,8.23,2.24,0.18,422618,346777037.0,3.98,8.34,8.02,8.21,8.05,5.97,52.06,3.19
21,600227,圣济堂,2.83,2.17,0.06,44570,12420794.0,3.25,2.84,2.75,2.76,2.77,0.35,-34.51,1.74
22,000623,吉林敖东,16.99,2.16,0.36,186745,313742146.35,3.07,16.99,16.48,16.51,16.63,1.61,10.17,0.76
23,688189,南新制药,14.62,2.09,0.3,41264,59731371.0,3.91,14.74,14.18,14.32,14.32,2.11,57.16,2.16
24,002422,科伦药业,31.8,2.09,0.65,163078,513691865.98,3.31,31.95,30.92,31.11,31.15,1.39,14.43,2.87
25,603811,诚意药业,19.24,1.96,0.37,28923,54979811.0,3.6,19.33,18.65,18.67,18.87,1.24,28.29,3.99
26,002898,赛隆药业,10.94,1.86,0.2,33275,36202600.9,3.17,11.02,10.68,10.83,10.74,3.3,150.55,3.64
27,688553,汇宇制药-W,16.54,1.85,0.3,22429,36605052.0,3.63,16.59,16.0,16.24,16.24,0.78,45.62,1.87
28,000908,景峰医药,2.88,1.77,0.05,102861,29235673.0,2.83,2.88,2.8,2.83,2.83,1.32,495.4,14.16
29,600789,鲁抗医药,6.94,1.76,0.12,143595,98739805.0,3.23,6.97,6.75,6.84,6.82,1.62,33.75,1.8
30,300111,向日葵,3.54,1.72,0.06,103342,36202176.77,2.3,3.54,3.46,3.49,3.48,0.92,-92.16,7.07
31,605177,东亚药业,24.87,1.72,0.42,31854,79049496.0,4.01,25.23,24.25,24.35,24.45,5.67,30.42,1.52
32,603520,司太立,17.31,1.7,0.29,72978,125263144.0,4.05,17.45,16.76,17.0,17.02,2.13,155.1,3.34
33,300558,贝达药业,68.14,1.7,1.14,73739,501312280.37,7.73,69.58,64.4,65.0,67.0,1.77,138.37,5.81
34,688505,复旦张江,10.22,1.69,0.17,39491,40017752.0,2.89,10.26,9.97,10.05,10.05,1.47,299.2,4.64
35,002102,ST冠福,3.8,1.6,0.06,295201,111858426.05,3.21,3.85,3.73,3.82,3.74,1.23,29.29,2.53
36,000739,普洛药业,20.67,1.57,0.32,87023,179285160.81,4.13,20.99,20.15,20.37,20.35,0.74,25.45,4.24
37,300381,溢多利,9.1,1.56,0.14,48544,43877611.0,2.9,9.15,8.89,8.89,8.96,1.02,-81.52,1.66
38,300267,尔康制药,3.4,1.49,0.05,188769,63727838.89,1.79,3.4,3.34,3.36,3.35,1.33,67.23,1.39
39,300006,莱美药业,3.79,1.34,0.05,98715,36985185.6,3.21,3.8,3.68,3.7,3.74,1.22,-275.31,1.89
40,600513,联环药业,10.99,1.2,0.13,74074,80872075.0,2.85,11.06,10.75,10.82,10.86,2.59,25.35,2.43
41,000788,北大医药,7.01,1.15,0.08,91791,63991109.0,2.16,7.03,6.88,6.95,6.93,1.54,62.52,2.99
42,688690,纳微科技,42.4,1.15,0.48,18767,79552637.0,2.48,42.86,41.82,41.92,41.92,0.93,345.81,10.73
43,300942,易瑞生物,13.58,1.04,0.14,25392,34304060.3,2.16,13.62,13.33,13.4,13.44,2.44,-48.5,5.79
44,688221,前沿生物-U,12.85,1.02,0.13,29883,38024002.0,2.59,12.86,12.53,12.71,12.72,1.45,-15.89,3.02
45,300255,常山药业,5.22,0.97,0.05,52024,26919971.51,2.32,5.23,5.11,5.17,5.17,0.56,268.66,1.59
46,900917,海欣Ｂ股,0.315,0.96,0.003,4942,154647.0,1.6,0.315,0.31,0.313,0.312,0.11,24.63,0.67
47,600276,恒瑞医药,48.65,0.93,0.45,282983,1371262044.0,2.32,48.95,47.83,48.2,48.2,0.44,62.61,7.98
48,002370,亚太药业,4.35,0.93,0.04,62978,27141843.46,2.09,4.35,4.26,4.31,4.31,1.17,-222.86,24.72
49,002393,力生制药,24.0,0.93,0.22,28029,66842460.72,2.48,24.1,23.51,23.8,23.78,1.54,23.74,1.0
50,000915,华特达因,36.64,0.88,0.32,30526,110567259.8,2.67,36.67,35.7,36.4,36.32,1.3,13.11,3.12
51,002332,仙琚制药,14.94,0.88,0.13,112856,167418787.87,3.11,15.01,14.55,14.81,14.81,1.16,27.76,2.64
52,002437,誉衡药业,2.31,0.87,0.02,365395,83908746.94,2.62,2.32,2.26,2.29,2.29,1.67,63.29,3.08
53,000931,中 关 村,6.0,0.84,0.05,46547,27793758.6,2.18,6.02,5.89,5.96,5.95,0.62,119.35,3.03
54,002262,恩华药业,28.43,0.82,0.23,68963,194975833.15,3.87,28.79,27.7,28.39,28.2,0.78,31.49,5.07
55,688117,圣诺生物,31.84,0.76,0.24,26295,83851300.0,3.67,32.48,31.32,31.56,31.6,5.65,45.38,3.03
56,605507,国邦医药,23.16,0.74,0.17,29895,69344968.0,2.61,23.41,22.81,22.98,22.99,0.99,16.62,1.76
