序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,002998,优彩资源,6.7,4.52,0.29,61853,40865274.0,5.46,6.72,6.37,6.37,6.41,4.07,17.84,1.38
2,301057,汇隆新材,17.18,3.81,0.63,9442,16039487.19,5.08,17.37,16.53,16.55,16.55,2.13,50.34,3.01
3,000420,吉林化纤,3.92,3.43,0.13,199628,77200462.73,3.43,3.92,3.79,3.8,3.79,0.81,199.52,2.22
4,688722,同益中,18.23,2.82,0.5,27963,50402940.0,3.44,18.26,17.65,17.83,17.73,2.24,19.01,3.33
5,002493,荣盛石化,13.22,2.72,0.35,471212,614721492.05,3.73,13.28,12.8,12.93,12.87,0.5,-22.8,2.92
6,002064,华峰化学,7.2,2.71,0.19,229110,164665583.33,3.0,7.28,7.07,7.1,7.01,0.46,14.15,1.5
7,000936,华西股份,7.03,2.63,0.18,284063,198308282.61,4.67,7.07,6.75,6.75,6.85,3.21,70.23,1.23
8,000677,恒天海龙,2.77,2.59,0.07,55762,15286545.74,2.96,2.78,2.7,2.7,2.7,0.65,65.34,5.64
9,000949,新乡化纤,3.24,2.53,0.08,76618,24770788.0,2.22,3.25,3.18,3.18,3.16,0.55,68.15,0.86
10,600889,南京化纤,4.61,2.22,0.1,28415,12992134.0,2.66,4.61,4.49,4.51,4.51,0.78,-9.55,1.67
11,603332,苏州龙杰,10.42,1.96,0.2,9230,9533993.0,2.84,10.42,10.13,10.23,10.22,0.55,-34.73,1.38
12,601113,华鼎股份,3.68,1.66,0.06,61242,22417757.0,1.1,3.68,3.64,3.65,3.62,0.55,188.18,1.04
13,600527,江南高纤,2.06,1.48,0.03,95183,19446131.0,1.97,2.06,2.02,2.03,2.03,0.55,112.14,1.51
14,601233,桐昆股份,12.9,1.02,0.13,99415,128003594.0,1.88,12.98,12.74,12.8,12.77,0.43,-15.86,0.91
15,600063,皖维高新,5.52,0.73,0.04,186257,102775546.0,1.82,5.56,5.46,5.46,5.48,0.97,22.92,1.5
16,300777,中简科技,52.42,0.42,0.22,37515,195426933.91,1.72,52.5,51.6,52.25,52.2,0.93,38.82,5.71
17,300876,蒙泰高新,25.19,0.4,0.1,3767,9489650.0,0.96,25.29,25.05,25.29,25.09,1.33,65.04,2.95
18,603225,新凤鸣,10.29,0.29,0.03,50030,51236010.0,2.53,10.41,10.15,10.27,10.26,0.33,20.77,1.01
19,000782,美达股份,5.08,0.2,0.01,60402,30636022.0,1.78,5.11,5.02,5.07,5.07,1.14,-41.58,1.91
20,688295,中复神鹰,38.66,0.16,0.06,13688,53105605.0,3.13,39.58,38.37,38.99,38.6,1.09,66.36,7.33
21,000703,恒逸石化,7.67,0.0,0.0,283991,216776237.07,3.65,7.77,7.49,7.6,7.67,0.78,201.75,1.2
22,688203,XD海正生,14.84,-0.13,-0.02,19149,28265348.0,4.31,15.14,14.5,14.87,14.86,3.97,180.74,2.09
23,836077,吉林碳谷,42.05,-0.33,-0.14,1995,8355833.87,3.74,42.62,41.04,42.38,42.19,0.2,19.34,8.07
24,002206,海 利 得,5.44,-0.37,-0.02,83268,45108535.0,2.38,5.48,5.35,5.44,5.46,0.91,23.61,1.86
25,600346,恒力石化,15.8,-0.38,-0.06,214268,337733041.0,4.6,16.29,15.56,16.1,15.86,0.3,27.27,2.06
26,000301,东方盛虹,12.67,-0.47,-0.06,159245,201099470.69,1.49,12.77,12.58,12.68,12.73,0.29,29.2,2.36
27,002427,*ST尤夫,7.62,-1.04,-0.08,69525,52686405.51,2.34,7.68,7.5,7.53,7.7,0.71,-215.87,7.22
28,600810,神马股份,7.59,-1.56,-0.12,42165,32197195.0,1.82,7.73,7.59,7.61,7.71,0.59,-97.02,1.06
29,002254,泰和新材,20.91,-2.79,-0.6,69947,147039445.88,4.46,21.65,20.69,21.51,21.51,1.64,33.27,2.6
