序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,300387,富邦股份,6.76,5.46,0.35,105209,70346288.45,4.52,6.78,6.49,6.52,6.41,3.65,25.68,1.53
2,600078,ST澄星,10.03,3.51,0.34,86016,85938482.0,4.33,10.16,9.74,9.74,9.69,1.3,83.54,3.33
3,600096,云天化,19.13,3.24,0.6,256090,486139269.0,3.02,19.15,18.59,18.6,18.53,1.47,5.58,1.95
4,002170,芭田股份,6.42,3.22,0.2,179123,113710759.64,3.86,6.44,6.2,6.28,6.22,2.53,19.88,2.52
5,002999,天禾股份,7.78,2.64,0.2,43123,33289036.8,2.64,7.78,7.58,7.62,7.58,1.98,58.39,2.3
6,300505,川金诺,17.87,1.82,0.32,30597,54573742.01,1.94,17.95,17.61,17.61,17.55,1.85,252.36,2.2
7,600470,六国化工,5.72,1.6,0.09,47854,27176074.0,2.13,5.73,5.61,5.62,5.63,0.92,50.76,1.64
8,000912,泸天化,4.53,1.57,0.07,54191,24463384.81,2.02,4.55,4.46,4.48,4.46,0.35,10.24,1.1
9,002895,川恒股份,22.43,1.54,0.34,30085,67240487.96,1.86,22.5,22.09,22.1,22.09,0.61,17.77,2.58
10,002274,华昌化工,7.64,1.46,0.11,44141,33624587.97,1.33,7.66,7.56,7.56,7.53,0.47,8.85,1.4
11,002588,史丹利,6.18,1.31,0.08,133585,82234347.43,1.97,6.19,6.07,6.08,6.1,1.86,8.34,1.26
12,002556,辉隆股份,8.29,1.22,0.1,64256,52800943.5,1.71,8.29,8.15,8.22,8.19,0.68,12.57,1.88
13,600141,兴发集团,24.7,1.19,0.29,111718,275082698.0,1.6,24.86,24.47,24.47,24.41,1.01,15.28,1.32
14,002539,云图控股,10.32,1.18,0.12,54399,55887924.83,1.08,10.33,10.22,10.22,10.2,0.79,8.81,1.55
15,000731,四川美丰,8.27,1.1,0.09,83653,69105005.4,1.59,8.3,8.17,8.17,8.18,1.43,7.24,1.16
16,000902,新洋丰,11.33,0.71,0.08,107872,121959133.4,1.24,11.36,11.22,11.28,11.25,0.91,9.04,1.66
17,002538,司尔特,7.39,0.68,0.05,52977,39095189.24,1.23,7.42,7.33,7.33,7.34,0.64,17.23,1.16
18,000408,藏格矿业,22.88,0.62,0.14,70012,160020637.83,2.59,23.17,22.58,22.72,22.74,0.44,9.82,3.6
19,002312,川发龙蟒,9.35,0.43,0.04,73054,68226173.86,1.93,9.44,9.26,9.26,9.31,0.54,29.44,1.91
20,600691,阳煤化工,3.25,0.31,0.01,43299,14076759.0,1.54,3.27,3.22,3.24,3.24,0.18,117.55,1.28
21,002470,ST金正,1.82,0.0,0.0,251662,45904642.92,2.75,1.85,1.8,1.82,1.82,0.8,-37.14,2.03
22,000792,盐湖股份,20.42,-0.44,-0.09,210098,428593966.55,2.44,20.7,20.2,20.5,20.51,0.39,12.46,4.13
23,603938,三孚股份,30.7,-0.87,-0.27,13143,40477582.0,2.55,31.3,30.51,30.73,30.97,0.48,20.74,3.53
24,000893,亚钾国际,24.39,-1.13,-0.28,61678,150659362.26,2.31,24.84,24.27,24.84,24.67,0.76,16.87,2.17
