序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,300143,盈康生命,12.2,10.71,1.18,277743.0,337506773.75,13.25,12.76,11.3,11.33,11.02,5.09,49.52,5.95
2,300759,康龙化成,48.96,7.96,3.61,237992.0,1159683685.45,7.32,50.32,47.0,47.18,45.35,2.52,41.87,5.41
3,688222,成都先导,18.3,5.41,0.94,103677.0,187233574.0,9.33,18.78,17.16,17.26,17.36,2.59,-195.14,5.68
4,605186,健麾信息,46.82,5.12,2.28,44752.0,205174971.0,11.65,48.59,43.4,43.84,44.54,6.72,160.09,6.27
5,688238,和元生物,17.53,5.03,0.84,31556.0,54484999.0,5.27,17.58,16.7,16.7,16.69,1.41,-68.09,4.03
6,301235,华康医疗,33.7,4.04,1.31,18097.0,60060858.0,5.09,33.88,32.23,32.39,32.39,3.61,-51.4,2.16
7,301103,何氏眼科,44.8,3.42,1.48,145906.0,641806957.97,8.13,45.87,42.35,43.84,43.32,17.56,31.15,3.17
8,301111,粤万年青,20.68,3.35,0.67,30978.0,63252932.11,4.25,20.75,19.9,20.3,20.01,4.42,55.83,4.28
9,603108,润达医疗,12.96,3.27,0.41,192202.0,246678544.0,5.74,13.12,12.4,12.7,12.55,3.32,23.17,1.95
10,002173,创新医疗,6.7,2.92,0.19,80079.0,53222411.52,3.07,6.72,6.52,6.52,6.51,2.13,-351.36,1.6
11,301267,华厦眼科,86.81,2.82,2.38,25896.0,218876013.72,6.62,87.18,81.59,83.28,84.43,4.6,80.87,9.24
12,301096,百诚医药,66.93,2.67,1.74,43430.0,295744516.09,10.51,73.17,66.32,71.7,65.19,6.33,51.61,2.96
13,300149,睿智医药,8.67,2.36,0.2,94219.0,80614211.2,4.25,8.72,8.36,8.39,8.47,1.89,-37.92,1.86
14,603882,金域医学,81.8,2.05,1.64,34856.0,285512376.0,3.54,83.0,80.16,80.16,80.16,0.75,63.87,4.35
15,301239,普瑞眼科,127.58,1.93,2.42,21677.0,268647182.71,6.12,127.66,120.0,123.55,125.16,5.8,29.39,8.56
16,002172,澳洋健康,3.54,1.72,0.06,87938.0,30868047.74,2.87,3.55,3.45,3.5,3.48,1.15,18.65,33.64
17,002821,凯莱英,126.45,1.71,2.13,43853.0,552783333.26,2.94,127.99,124.34,125.98,124.32,1.34,18.55,2.87
18,300404,博济医药,10.14,1.71,0.17,71115.0,71633417.1,4.71,10.28,9.81,9.89,9.97,2.64,79.63,4.28
19,301126,达嘉维康,14.32,0.99,0.14,18167.0,25918452.0,2.68,14.4,14.02,14.14,14.18,1.68,48.36,1.7
20,000504,南华生物,12.33,0.9,0.11,42391.0,51820585.4,3.44,12.4,11.98,12.22,12.22,1.36,-486.03,325.7
21,603127,昭衍新药,49.49,0.79,0.39,57869.0,288860552.0,4.26,51.2,49.11,50.45,49.1,1.28,35.3,3.17
22,300244,迪安诊断,27.08,0.74,0.2,74179.0,201221370.32,3.16,27.55,26.7,26.74,26.88,1.47,26.48,2.24
23,603259,药明康德,67.53,0.61,0.41,242069.0,1632967661.0,2.53,68.5,66.8,67.22,67.12,0.95,23.11,4.05
24,600763,通策医疗,119.2,0.58,0.69,41045.0,493466181.0,3.54,122.85,118.65,119.99,118.51,1.28,56.55,10.98
25,600721,百花医药,6.4,0.31,0.02,23481.0,14992209.0,1.72,6.43,6.32,6.38,6.38,0.62,90.4,3.57
26,000150,*ST宜康,,,,,,,,,,0.51,0.0,-1.43,-0.52
27,688246,嘉和美康,42.47,-0.12,-0.05,23364.0,98149827.0,4.44,43.0,41.11,42.01,42.52,2.32,-64.6,3.27
28,688621,阳光诺和,96.78,-0.19,-0.18,2397.0,23164658.0,3.37,98.37,95.1,97.01,96.96,0.42,40.38,8.2
29,301033,迈普医学,42.58,-0.35,-0.15,7744.0,32733339.74,3.63,43.25,41.7,43.2,42.73,2.09,89.97,4.61
30,300347,泰格医药,90.96,-0.69,-0.63,43095.0,395483260.23,3.38,93.65,90.55,91.0,91.59,0.76,34.9,3.94
31,301201,诚达药业,45.67,-0.74,-0.34,14902.0,67619027.56,2.17,45.9,44.9,45.68,46.01,2.84,56.2,1.98
32,688076,诺泰生物,30.83,-1.0,-0.31,25138.0,77549760.0,4.82,31.8,30.3,31.45,31.14,1.72,78.2,3.4
33,002524,光正眼科,7.21,-1.1,-0.08,159252.0,114884456.96,1.37,7.28,7.18,7.2,7.29,3.13,-118.35,13.99
34,200028,一致Ｂ,21.3,-1.25,-0.27,6727.0,14310617.7,2.97,21.67,21.03,21.4,21.57,1.23,5.51,0.48
35,688202,美迪西,150.0,-1.31,-1.99,21432.0,324294942.0,5.46,157.0,148.7,152.77,151.99,3.61,32.13,7.66
36,002044,美年健康,7.01,-1.41,-0.1,560714.0,393475153.27,4.36,7.16,6.85,7.0,7.11,1.45,-41.03,3.76
37,000516,国际医学,10.96,-1.44,-0.16,140972.0,154871446.07,2.7,11.2,10.9,11.07,11.12,0.74,-83.41,5.96
38,300015,爱尔眼科,29.46,-1.73,-0.52,330609.0,975660214.44,2.3,29.98,29.29,29.86,29.98,0.56,67.67,12.08
39,688315,诺禾致源,35.49,-2.95,-1.08,33958.0,120898651.0,6.18,37.17,34.91,36.37,36.57,3.09,157.8,7.16
40,301333,诺思格,104.0,-4.15,-4.5,3848.0,40543508.07,7.82,110.51,102.02,110.51,108.5,2.57,54.18,3.86
41,002219,新里程,4.81,-5.5,-0.28,543789.0,265199174.69,10.02,5.25,4.74,5.2,5.09,1.68,188.49,8.11
