序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,688146,中船特气,53.11,13.27,6.22,237041,1197629742.0,16.21,54.8,47.2,48.0,46.89,40.12,82.4,5.43
2,688525,佰维存储,95.2,12.69,10.72,141238,1252199005.0,20.71,97.48,79.98,83.5,84.48,40.6,-81.27,17.85
3,688173,希荻微,21.27,11.42,2.18,62102,130969890.0,14.14,21.95,19.25,19.25,19.09,3.68,40.33,4.52
4,002077,大港股份,14.69,10.04,1.34,225938,326638054.24,6.37,14.69,13.84,13.84,13.35,3.89,27.84,2.62
5,688256,寒武纪-U,249.5,8.13,18.75,146085,3537412654.0,11.57,252.5,225.8,228.1,230.75,6.03,-101.41,16.64
6,688126,沪硅产业,23.82,7.98,1.76,841340,2047739298.0,13.42,25.66,22.7,22.7,22.06,3.09,155.24,4.55
7,688041,海光信息,94.15,7.85,6.85,271019,2487725121.0,9.74,95.0,86.5,87.01,87.3,12.8,228.53,12.61
8,688002,睿创微纳,51.71,7.68,3.69,143229,740916459.0,8.95,53.6,49.3,49.42,48.02,3.2,70.87,5.6
9,688498,源杰科技,245.0,7.35,16.78,17257,416458403.0,9.54,248.79,227.01,229.3,228.22,12.54,313.35,6.92
10,300053,欧比特,11.33,6.99,0.74,487552,537892079.22,8.12,11.34,10.48,10.56,10.59,7.7,72.43,3.13
11,688416,恒烁股份,58.72,5.99,3.32,24038,139555121.0,6.77,59.38,55.63,55.7,55.4,12.67,-64.96,2.89
12,688981,中芯国际,61.58,5.64,3.29,672403,4044067430.0,6.5,61.6,57.81,57.91,58.29,3.44,40.22,3.66
13,688047,龙芯中科,150.58,5.47,7.81,30164,446745605.0,7.5,152.73,142.02,142.9,142.77,9.2,-209.14,15.79
14,688601,力芯微,75.8,5.38,3.87,14575,107669267.0,8.44,77.07,71.0,71.42,71.93,3.09,61.39,6.01
15,688381,帝奥微,37.6,5.26,1.88,28037,103291804.0,6.91,38.12,35.65,35.65,35.72,4.7,237.41,3.02
16,688233,XD神工股,39.95,5.13,1.95,35249,139075915.0,5.66,40.17,38.02,38.02,38.0,2.2,-132.25,4.13
17,688262,国芯科技,64.11,4.79,2.93,53580,338646855.0,6.16,65.17,61.4,61.4,61.18,2.86,-143.22,5.57
18,603933,睿能科技,11.4,4.59,0.5,20619,23238636.0,4.4,11.43,10.95,10.95,10.9,1.01,35.71,1.91
19,688252,天德钰,22.82,4.54,0.99,25200,56966310.0,5.45,23.04,21.85,21.85,21.83,6.98,219.54,5.1
20,688045,必易微,60.3,4.4,2.54,9113,55424426.0,7.69,62.2,57.76,57.76,57.76,5.88,-450.26,3.04
21,688608,恒玄科技,123.48,4.2,4.98,23286,290138620.0,6.65,127.88,120.0,120.58,118.5,2.93,-4863.58,2.48
22,300831,派瑞股份,12.31,4.15,0.49,49082,59791270.0,4.99,12.34,11.75,11.75,11.82,2.66,703.79,4.62
23,605588,冠石科技,35.09,4.06,1.37,8621,29885577.0,6.35,35.15,33.01,33.18,33.72,3.73,38.35,2.51
24,300139,晓程科技,9.27,4.04,0.36,155034,141802700.6,5.61,9.3,8.8,8.85,8.91,6.64,-35.34,2.52
25,300493,润欣科技,8.39,3.97,0.32,162832,134288473.0,6.69,8.42,7.88,7.99,8.07,3.27,133.06,4.16
26,688120,华海清科,382.99,3.85,14.21,11389,430093019.0,5.4,385.91,366.0,370.72,368.78,4.42,52.68,8.19
27,688072,拓荆科技,412.49,3.64,14.5,26774,1088826584.0,6.45,415.66,389.99,400.5,397.99,3.9,242.8,13.7
28,300042,朗科科技,28.17,3.64,0.99,145206,409571845.95,8.76,29.38,27.0,27.44,27.18,8.09,193.6,4.76
29,300077,国民技术,14.36,3.61,0.5,168990,239362899.57,3.75,14.37,13.85,13.85,13.86,3.04,-25.39,5.37
30,300812,易天股份,18.12,3.54,0.62,38671,69580442.15,3.37,18.24,17.65,17.9,17.5,4.92,-181.63,2.94
31,301308,江波龙,96.2,3.5,3.25,88285,840558291.45,6.35,98.4,92.5,92.68,92.95,25.98,-35.4,6.29
32,688018,乐鑫科技,116.8,3.46,3.91,12110,141677951.0,4.7,118.31,113.0,113.2,112.89,1.5,75.83,5.08
33,688689,银河微电,24.58,3.41,0.81,9370,22820769.0,3.7,24.65,23.77,23.78,23.77,2.53,67.02,2.81
34,688589,XD力合微,44.78,3.32,1.44,21885,97010848.0,4.38,44.91,43.01,43.01,43.34,3.86,52.59,5.51
35,688432,有研硅,17.42,3.32,0.56,143750,248242544.0,6.58,17.59,16.48,16.48,16.86,10.1,70.35,5.36
36,688135,利扬芯片,28.83,3.3,0.92,17095,49025631.0,3.62,28.97,27.96,27.96,27.91,1.92,156.98,3.64
37,688699,明微电子,53.48,3.28,1.7,21065,111469122.0,3.88,53.82,51.81,52.3,51.78,4.02,-303.16,3.87
38,300706,阿石创,23.49,3.25,0.74,33347,77765101.2,3.38,23.55,22.78,22.78,22.75,3.0,-295.21,4.86
39,688536,思瑞浦,232.26,3.23,7.27,10847,252494292.0,4.98,236.18,224.97,225.0,224.99,1.65,4255.97,7.31
40,300046,台基股份,17.34,3.21,0.54,61557,105795838.56,4.52,17.37,16.61,16.72,16.8,2.6,85.86,3.85
41,688484,南芯科技,41.0,2.99,1.19,43314,178159408.0,4.52,41.68,39.88,39.88,39.81,7.91,140.23,2.97
42,688332,中科蓝讯,72.26,2.93,2.06,16304,118090745.0,6.27,73.98,69.58,70.9,70.2,5.6,43.87,2.41
43,688362,甬矽电子,35.61,2.92,1.01,50019,178286606.0,10.12,36.8,33.3,35.07,34.6,10.97,-72.77,5.8
44,605358,立昂微,46.1,2.88,1.29,159851,732097031.0,2.95,46.2,44.88,45.05,44.81,3.18,226.52,3.91
45,301369,联动科技,72.43,2.77,1.95,30334,217163101.99,4.53,72.88,69.69,70.42,70.48,17.43,1036.47,3.5
46,688138,清溢光电,22.73,2.76,0.61,48179,110661229.0,5.11,23.63,22.5,22.61,22.12,1.81,78.03,4.66
47,688261,东微半导,201.28,2.74,5.36,10405,211936005.0,5.54,208.88,198.03,200.0,195.92,2.7,47.67,4.67
48,000670,盈方微,7.3,2.67,0.19,191846,138924536.3,4.78,7.34,7.0,7.0,7.11,3.15,-143.78,81.35
49,002119,康强电子,12.38,2.65,0.32,120582,148304967.71,2.57,12.39,12.08,12.08,12.06,3.21,60.09,3.73
50,688352,颀中科技,13.58,2.65,0.35,196621,266845454.0,4.61,13.79,13.18,13.18,13.23,12.99,131.87,2.94
51,688052,纳芯微,285.05,2.58,7.17,5409,152984813.0,5.35,288.88,274.0,279.16,277.88,1.02,4597.52,4.37
52,300666,江丰电子,73.53,2.57,1.84,94883,692660540.04,3.0,73.91,71.76,73.0,71.69,4.56,87.21,4.79
53,603290,斯达半导,242.03,2.56,6.03,26734,649475519.0,3.29,247.77,240.01,241.3,236.0,1.57,50.12,6.95
54,688130,晶华微,43.4,2.53,1.07,4515,19407499.0,4.23,43.59,41.8,41.9,42.33,2.91,243.69,2.2
55,688766,普冉股份,155.13,2.52,3.81,9698,150185020.0,4.62,156.99,150.0,150.0,151.32,3.29,-69.9,4.01
56,600171,上海贝岭,18.83,2.5,0.46,137285,256523094.0,2.78,18.87,18.36,18.38,18.37,1.95,102.13,3.14
57,688535,华海诚科,62.88,2.48,1.52,19170,120674091.0,5.3,64.7,61.45,62.0,61.36,11.67,305.22,3.06
58,688209,英集芯,18.03,2.44,0.43,30677,55006768.0,2.61,18.06,17.6,17.6,17.6,1.44,-126.26,4.28
59,688380,中微半导,29.46,2.4,0.69,23488,68823237.0,3.65,29.6,28.55,28.56,28.77,4.13,68.65,3.65
60,603160,汇顶科技,51.9,2.39,1.21,37271,192720980.0,3.57,52.28,50.47,50.69,50.69,0.81,-42.81,3.1
61,600360,华微电子,6.87,2.38,0.16,162724,110971328.0,2.83,6.88,6.69,6.7,6.71,1.69,316.3,2.03
