序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,600415,小商品城,9.68,10.0,0.88,3896698,3559216322.0,12.84,9.68,8.55,8.8,8.8,7.14,10.86,3.21
2,002419,天虹股份,6.22,9.12,0.52,552211,337380086.51,7.54,6.25,5.82,5.89,5.7,4.73,8.73,1.73
3,603708,家家悦,14.76,7.58,1.04,365035,531513399.0,9.77,15.08,13.74,14.41,13.72,6.0,17.38,3.83
4,601933,永辉超市,3.42,5.88,0.19,824732,277286258.0,6.81,3.45,3.23,3.24,3.23,0.91,11.02,3.91
5,000759,中百集团,4.62,5.72,0.25,261242,118714028.52,4.35,4.63,4.44,4.46,4.37,3.98,68.16,1.13
6,600814,杭州解百,8.35,5.03,0.4,160117,132121228.0,5.91,8.4,7.93,7.93,7.95,2.24,13.65,1.81
7,600778,友好集团,6.75,4.98,0.32,31496,21046658.0,6.07,6.75,6.36,6.43,6.43,1.01,11.37,5.52
8,002561,徐家汇,9.5,4.74,0.43,130666,122287633.75,5.84,9.6,9.07,9.09,9.07,3.17,49.44,1.8
9,300622,博士眼镜,24.96,4.44,1.06,82279,202506749.39,5.98,25.24,23.81,23.99,23.9,7.63,29.0,5.97
10,600828,茂业商业,4.12,4.3,0.17,124005,50302877.0,4.81,4.12,3.93,3.95,3.95,0.72,16.81,0.98
11,000882,华联股份,1.73,4.22,0.07,263792,45234804.5,4.82,1.74,1.66,1.67,1.66,0.96,140.32,0.68
12,600857,宁波中百,9.91,4.21,0.4,18146,17764078.0,4.42,9.94,9.52,9.55,9.51,0.81,37.03,2.81
13,002344,海宁皮城,4.97,4.19,0.2,258937,127518131.04,4.61,5.0,4.78,4.8,4.77,2.02,12.99,0.76
14,000715,中兴商业,8.47,4.18,0.34,115037,96427888.76,4.8,8.52,8.13,8.15,8.13,2.77,36.05,2.0
15,600858,银座股份,5.4,4.05,0.21,83880,44729323.0,4.24,5.4,5.18,5.2,5.19,1.62,7.52,1.17
16,600729,重庆百货,29.57,4.01,1.14,40050,117003995.0,5.7,29.85,28.23,28.43,28.43,1.0,6.34,2.14
17,301078,孩子王,10.9,4.01,0.42,114983,123120075.88,8.59,11.04,10.14,10.14,10.48,1.85,399.11,4.05
18,601366,利群股份,5.47,3.99,0.21,32162,17442881.0,3.23,5.48,5.31,5.33,5.26,0.39,60.81,1.16
19,002251,步 步 高,5.12,3.85,0.19,264230,133805895.29,5.48,5.15,4.88,4.88,4.93,3.06,-11.09,0.95
20,000701,厦门信达,6.25,3.82,0.23,88119,54542669.17,4.65,6.29,6.01,6.01,6.02,2.14,123.03,7.36
21,603214,爱婴室,18.15,3.71,0.65,19080,34260324.0,3.77,18.18,17.52,17.62,17.5,1.36,237.86,2.36
22,000417,合肥百货,4.88,3.61,0.17,172486,83175588.01,4.03,4.89,4.7,4.71,4.71,2.21,9.85,0.88
23,601828,美凯龙,5.2,3.59,0.18,112617,57902051.0,3.19,5.2,5.04,5.06,5.02,0.31,38.81,0.42
24,000679,大连友谊,4.87,3.4,0.16,36979,17863554.49,4.46,4.9,4.69,4.75,4.71,1.04,-49.28,4.81
25,600694,大商股份,19.83,3.39,0.65,60024,117429037.0,4.54,19.87,19.0,19.12,19.18,2.04,6.8,0.71
26,600712,南宁百货,3.9,3.17,0.12,61379,23747235.0,3.44,3.9,3.77,3.8,3.78,1.14,-120.51,2.6
27,600280,中央商场,4.56,3.17,0.14,303336,138428316.0,8.14,4.69,4.33,4.41,4.42,2.69,-44.2,5.77
28,600838,上海九百,6.53,3.16,0.2,46684,30182189.0,3.16,6.53,6.33,6.33,6.33,1.16,44.5,1.78
29,600861,北京城乡,24.21,3.15,0.74,22406,53695507.0,3.92,24.24,23.32,23.45,23.47,0.71,-93.78,2.59
30,000501,武商集团,11.38,3.08,0.34,86674,97657696.06,3.35,11.43,11.06,11.11,11.04,1.13,16.59,0.8
31,600287,江苏舜天,5.03,3.07,0.15,29943,14892234.0,3.48,5.04,4.87,4.89,4.88,0.69,37.24,1.26
32,002277,友阿股份,3.41,3.02,0.1,110685,37292977.7,3.32,3.41,3.3,3.3,3.31,0.79,30.24,0.71
33,600682,南京新百,8.2,2.89,0.23,75149,61027814.0,3.01,8.21,7.97,7.99,7.97,0.65,15.32,0.65
34,000785,居然之家,4.17,2.71,0.11,199323,81943851.0,4.68,4.18,3.99,3.99,4.06,0.72,15.03,1.34
35,603123,翠微股份,11.25,2.65,0.29,244370,273834194.0,3.01,11.35,11.02,11.03,10.96,3.75,117.08,2.62
36,002187,广百股份,7.0,2.64,0.18,120039,83754676.0,3.08,7.03,6.82,6.83,6.82,2.32,37.44,1.23
