序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,002348,高乐股份,4.76,9.93,0.43,481709,223895882.0,10.85,4.76,4.29,4.34,4.33,5.42,-69.2,8.09
2,002103,广博股份,5.46,6.02,0.31,142330,76538329.76,6.99,5.49,5.13,5.13,5.15,3.38,20.58,3.6
3,002862,实丰文化,17.39,4.63,0.77,25070,43027830.5,5.05,17.44,16.6,16.71,16.62,2.78,173.86,4.39
4,605299,舒华体育,12.49,4.08,0.49,60829,75234153.0,4.42,12.55,12.02,12.02,12.0,5.36,88.83,3.95
5,001222,源飞宠物,21.89,3.94,0.83,13132,28518787.34,5.18,22.12,21.03,21.03,21.06,3.85,35.23,2.56
6,002301,齐心集团,7.29,3.4,0.24,106870,77521587.43,2.84,7.31,7.11,7.11,7.05,1.49,29.51,1.69
7,002489,浙江永强,3.95,3.13,0.12,589384,229716363.12,3.39,3.95,3.82,3.83,3.83,3.13,5.3,2.07
8,300640,德艺文创,5.7,3.07,0.17,68760,38787904.75,3.8,5.72,5.51,5.52,5.53,3.12,63.17,2.13
9,002899,英派斯,13.09,3.07,0.39,19980,25897561.0,3.94,13.12,12.62,12.62,12.7,1.67,117.03,1.35
10,300729,乐歌股份,21.88,2.92,0.62,185013,404249549.97,4.99,22.36,21.3,22.36,21.26,8.9,3.35,1.86
11,300703,创源股份,9.24,2.9,0.26,28886,26607880.15,2.78,9.3,9.05,9.07,8.98,1.73,-43.54,2.23
12,301336,趣睡科技,45.05,2.81,1.23,5300,23715281.0,3.58,45.39,43.82,44.1,43.82,5.3,70.16,2.28
13,300329,海伦钢琴,6.62,2.64,0.17,35148,23126380.0,3.57,6.64,6.41,6.43,6.45,1.39,121.19,1.81
14,603899,晨光股份,46.35,2.54,1.15,97452,461776768.0,7.65,49.71,46.25,47.0,45.2,1.05,32.2,6.01
15,301004,嘉益股份,28.86,2.12,0.6,29887,87608582.12,6.02,30.0,28.3,28.3,28.26,11.95,14.12,3.21
16,002678,珠江钢琴,5.84,2.1,0.12,41499,24153681.2,2.97,5.89,5.72,5.72,5.72,0.31,64.78,2.13
17,605099,共创草坪,21.83,1.87,0.4,6155,13352714.0,2.43,21.9,21.38,21.53,21.43,1.54,23.4,3.69
18,603398,沐邦高科,27.89,1.6,0.44,48735,136557910.0,2.3,28.37,27.74,27.74,27.45,1.42,70.99,12.74
19,300651,金陵体育,21.25,1.53,0.32,25053,52557268.6,5.06,21.48,20.42,20.63,20.93,3.3,275.62,3.74
20,002571,德力股份,5.9,1.2,0.07,17861,10504228.0,2.74,5.92,5.76,5.78,5.83,0.6,-14.05,1.82
21,600439,瑞贝卡,2.56,1.19,0.03,98994,25200943.0,2.77,2.57,2.5,2.51,2.53,0.87,183.09,1.03
22,301335,天元宠物,35.0,0.98,0.34,5215,18113550.51,2.22,35.03,34.26,34.35,34.66,2.44,57.96,1.64
23,002615,哈尔斯,6.55,0.77,0.05,79347,51675581.88,2.62,6.6,6.43,6.51,6.5,2.77,214.11,2.18
24,603848,好太太,13.88,0.22,0.03,15634,21780754.0,1.81,14.09,13.84,13.94,13.85,0.39,28.83,2.66
25,001323,慕思股份,34.8,-0.51,-0.18,15023,52156184.02,3.4,35.44,34.25,34.98,34.98,3.75,34.37,3.12
26,001300,三柏硕,12.57,-2.03,-0.26,20039,24932330.9,2.57,12.57,12.24,12.33,12.83,3.29,200.26,2.8
27,301101,明月镜片,65.99,-2.81,-1.91,20101,133307269.19,3.53,67.95,65.55,66.89,67.9,4.22,63.23,5.89
