序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,000065,北方国际,18.15,10.0,1.65,961811,1681296777.82,14.67,18.15,15.73,16.09,16.5,10.62,23.44,2.35
2,601390,中国中铁,9.29,7.15,0.62,3601951,3243636616.0,10.5,9.42,8.51,8.73,8.67,1.77,7.3,0.88
3,600970,中材国际,14.42,6.66,0.9,455458,641169804.0,7.99,14.57,13.49,13.49,13.52,2.61,15.43,2.16
4,002051,中工国际,14.09,6.58,0.87,1104068,1510315570.42,11.72,14.5,12.95,12.99,13.22,8.92,37.52,1.58
5,601186,中国铁建,11.9,6.54,0.73,2083139,2405698591.0,9.31,11.99,10.95,11.27,11.17,1.81,6.84,0.69
6,000010,美丽生态,2.57,6.2,0.15,198436,50141528.66,7.85,2.6,2.41,2.42,2.42,3.8,-24.76,4.01
7,600939,重庆建工,3.77,5.9,0.21,279258,102845943.0,6.18,3.78,3.56,3.58,3.56,1.47,30.93,0.92
8,600853,龙建股份,6.63,5.74,0.36,1758731,1128365721.0,13.08,6.82,6.0,6.35,6.27,17.5,334.1,2.71
9,002061,浙江交科,6.17,5.47,0.32,737076,443524131.99,6.84,6.2,5.8,5.87,5.85,3.97,18.58,0.86
10,300237,美晨生态,1.99,5.29,0.1,247479,48146831.61,7.41,2.0,1.86,1.87,1.89,1.72,-6.22,3.53
11,601618,中国中冶,4.48,5.16,0.22,2390074,1063215176.0,3.76,4.51,4.35,4.35,4.26,1.34,6.88,0.97
12,601800,中国交建,12.35,5.11,0.6,996398,1209036981.0,7.49,12.51,11.63,11.76,11.75,0.85,8.94,0.8
13,603007,ST花王,5.05,4.99,0.24,59500,29510157.0,5.2,5.05,4.8,4.8,4.81,1.76,-17.45,6.55
14,603778,乾景园林,5.28,4.97,0.25,194738,100513731.0,5.57,5.28,5.0,5.02,5.03,3.03,73.09,3.29
15,601117,中国化学,10.59,4.75,0.48,1147094,1188284099.0,7.72,10.69,9.91,10.1,10.11,1.9,14.56,1.2
16,002062,宏润建设,5.48,4.58,0.24,212752,115618190.14,4.39,5.5,5.27,5.28,5.24,2.19,10.31,1.42
17,002941,新疆交建,18.99,4.51,0.82,294470,550168505.56,6.27,19.1,17.96,18.3,18.17,4.6,442.12,4.17
18,601668,中国建筑,6.57,4.29,0.27,5356341,3475633953.0,3.49,6.58,6.36,6.44,6.3,1.3,4.67,0.71
19,603163,圣晖集成,46.9,4.22,1.9,16857,79424317.0,5.09,48.31,46.02,46.36,45.0,8.43,25.89,3.6
20,600491,龙元建设,4.98,4.18,0.2,213308,104262050.0,4.81,4.98,4.75,4.75,4.78,1.39,23.06,0.62
21,601068,中铝国际,7.1,3.95,0.27,1161499,789264292.0,15.81,7.43,6.35,6.73,6.83,4.54,1528.45,4.13
22,002140,东华科技,9.72,3.51,0.33,46788,44873777.71,3.51,9.73,9.4,9.41,9.39,0.87,24.02,1.82
23,603637,镇海股份,8.3,3.36,0.27,72080,59522189.0,4.23,8.38,8.04,8.04,8.03,2.96,25.67,2.22
24,002431,棕榈股份,2.79,3.33,0.09,173495,48117890.0,4.07,2.81,2.7,2.72,2.7,1.19,-14.3,1.23
25,002663,普邦股份,1.87,3.31,0.06,155912,28820375.41,3.87,1.88,1.81,1.81,1.81,1.2,-56.64,1.12
26,000498,山东路桥,7.75,3.2,0.24,220812,168081133.36,4.66,7.78,7.43,7.52,7.51,1.51,12.77,0.93
27,300649,杭州园林,17.88,3.17,0.55,19356,34189418.0,4.33,18.01,17.26,17.33,17.33,1.84,56.19,4.31
28,601789,宁波建工,4.91,3.15,0.15,298952,145521988.0,3.78,4.94,4.76,4.77,4.76,2.75,13.72,1.27
29,002628,成都路桥,3.61,3.14,0.11,143895,51337382.52,4.0,3.63,3.49,3.51,3.5,1.91,164.36,0.91
30,600512,腾达建设,2.79,2.95,0.08,254389,70128848.0,2.95,2.79,2.71,2.71,2.71,1.59,8.5,0.72
31,603717,天域生态,7.04,2.92,0.2,111774,77989717.0,3.07,7.05,6.84,6.86,6.84,3.85,-10.88,1.88
32,605303,园林股份,10.87,2.84,0.3,5573,6010291.0,3.88,10.92,10.51,10.67,10.57,0.82,-19.11,1.29
33,600820,隧道股份,6.54,2.83,0.18,828979,536590145.0,2.99,6.56,6.37,6.44,6.36,2.64,11.46,0.74
34,301038,深水规院,15.63,2.69,0.41,11781,18210361.41,3.88,15.72,15.13,15.15,15.22,2.75,-50.18,3.13
35,600248,陕西建工,6.26,2.62,0.16,1842983,1127634067.0,7.21,6.35,5.91,6.11,6.1,12.7,7.06,1.2
36,002542,中化岩土,2.79,2.57,0.07,156264,43272586.52,2.94,2.8,2.72,2.73,2.72,0.98,-34.25,1.82
37,002307,北新路桥,5.99,2.57,0.15,426200,253328733.05,3.77,6.02,5.8,5.88,5.84,3.91,260.45,2.21
38,603843,正平股份,4.2,2.44,0.1,175027,72534342.0,4.39,4.21,4.03,4.03,4.1,2.5,-23.06,1.91
39,002775,文科园林,3.78,2.44,0.09,65872,24734712.6,4.07,3.81,3.66,3.66,3.69,1.48,125.18,6.52
40,603176,汇通集团,7.33,2.37,0.17,57380,41924837.0,3.77,7.38,7.11,7.11,7.16,3.83,-39.02,3.45
41,603388,元成股份,9.52,2.37,0.22,106722,101139155.0,3.66,9.57,9.23,9.29,9.3,3.74,201.55,2.29
42,603316,诚邦股份,5.63,2.36,0.13,31417,17568957.0,3.45,5.66,5.47,5.5,5.5,1.19,-118.56,1.74
43,300517,海波重科,12.7,2.34,0.29,25697,32479167.63,3.63,12.78,12.33,12.47,12.41,2.07,95.7,2.4
44,002761,浙江建投,17.14,2.33,0.39,87640,148692270.24,2.87,17.18,16.7,16.79,16.75,0.81,13.76,2.78
45,601669,中国电建,7.69,2.12,0.16,1562674,1190575019.0,3.05,7.73,7.5,7.54,7.53,1.42,10.96,1.11
46,301098,金埔园林,17.52,2.04,0.35,17981,31187374.29,2.68,17.52,17.06,17.19,17.17,2.52,21.15,1.64
47,301058,中粮科工,14.62,1.88,0.27,52023,75322273.03,3.69,14.7,14.17,14.31,14.35,2.56,55.51,3.94
48,001267,汇绿生态,6.03,1.86,0.11,102906,61279784.79,3.55,6.05,5.84,5.85,5.92,2.85,224.79,3.11
49,300536,农尚环境,13.32,1.83,0.24,46093,60619357.82,6.8,13.5,12.61,12.82,13.08,1.57,229.23,6.15
50,600284,浦东建设,7.15,1.71,0.12,108225,76825508.0,2.84,7.17,6.97,6.98,7.03,1.12,14.54,0.95
51,603955,大千生态,16.66,1.52,0.25,12731,21063331.0,3.17,16.72,16.2,16.4,16.41,0.94,535.62,1.4
52,836149,旭杰科技,3.55,1.43,0.05,1610,570419.85,3.43,3.62,3.5,3.5,3.5,0.34,83.14,1.53
53,601133,柏诚股份,15.01,1.42,0.21,92276,138423406.0,1.96,15.11,14.82,14.82,14.8,7.32,48.52,2.91
54,301024,霍普股份,23.76,1.41,0.33,4267,10092015.3,1.88,23.8,23.36,23.43,23.43,2.41,-56.66,2.42
55,603098,森特股份,24.59,1.28,0.31,10619,25995006.0,2.64,24.66,24.02,24.24,24.28,0.2,145.35,4.91
56,601611,中国核建,8.73,1.28,0.11,192754,166651708.0,2.55,8.75,8.53,8.61,8.62,0.73,12.97,1.49
57,600769,祥龙电业,8.35,1.09,0.09,50281,41772953.0,2.54,8.37,8.16,8.24,8.26,1.34,226.67,38.44
58,600846,同济科技,10.33,1.08,0.11,194626,197856481.0,4.4,10.36,9.91,10.23,10.22,3.12,19.64,1.78
59,830964,润农节水,3.21,0.94,0.03,3499,1113159.85,1.89,3.22,3.16,3.2,3.18,0.2,19.35,0.94
60,603815,交建股份,7.53,0.94,0.07,66417,49680790.0,2.28,7.56,7.39,7.44,7.46,1.07,32.37,2.11
61,600039,四川路桥,15.85,0.76,0.12,189347,297884571.0,2.1,15.91,15.58,15.74,15.73,0.4,9.02,2.21
62,000628,高新发展,14.82,0.54,0.08,35960,53075570.0,2.1,14.92,14.61,14.75,14.74,1.87,41.5,2.95
63,002135,东南网架,6.47,0.47,0.03,71045,45892356.38,1.4,6.49,6.4,6.4,6.44,0.65,13.35,1.19
64,601868,中国能建,2.71,0.37,0.01,5273869,1410358651.0,3.7,2.73,2.63,2.69,2.7,3.71,24.97,1.2
65,600502,安徽建工,6.29,0.16,0.01,612691,381324679.0,3.82,6.35,6.11,6.3,6.28,3.57,7.77,1.17
66,002060,粤 水 电,6.66,0.15,0.01,124030,81943930.01,2.41,6.68,6.52,6.61,6.65,1.03,27.52,2.32
67,600170,上海建工,2.85,0.0,0.0,1061015,302518012.0,1.4,2.87,2.83,2.85,2.85,1.19,24.77,0.84
68,605598,上海港湾,33.62,-0.09,-0.03,21355,70868724.0,3.27,33.7,32.6,33.02,33.65,4.06,50.89,3.74
69,600133,东湖高新,6.3,-0.79,-0.05,268176,168978495.0,1.42,6.35,6.26,6.34,6.35,3.37,20.28,0.81
70,300712,永福股份,36.4,-2.2,-0.82,33123,121960824.29,3.22,37.6,36.4,37.45,37.22,1.79,97.34,4.96
71,600667,太极实业,6.6,-2.37,-0.16,1196902,794913793.0,2.81,6.76,6.57,6.6,6.76,5.68,20.81,1.91
72,300982,苏文电能,57.33,-3.34,-1.98,18437,106265035.08,4.22,59.4,56.9,58.88,59.31,5.19,25.58,3.13
73,000090,天健集团,5.36,-4.8,-0.27,643290,338297034.8,6.04,5.44,5.1,5.43,5.63,3.44,11.63,0.93
74,002586,ST围海,3.04,-5.0,-0.16,26089,7931056.0,0.0,3.04,3.04,3.04,3.2,0.29,-72.52,0.92
