序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,835174,五新隧装,8.05,5.92,0.45,17247.0,13665374.28,9.34,8.26,7.55,7.55,7.6,3.33,5.53,1.19
2,000528,柳    工,7.62,5.39,0.39,582017.0,444862465.76,6.92,7.79,7.29,7.29,7.23,4.12,11.8,0.93
3,000157,中联重科,6.48,4.68,0.29,491708.0,313594185.69,5.01,6.49,6.18,6.19,6.19,0.7,17.35,1.03
4,300022,吉峰科技,4.68,3.08,0.14,68649.0,31857927.4,3.08,4.7,4.56,4.56,4.54,2.19,327.39,18.87
5,001288,运机集团,15.82,2.86,0.44,7293.0,11416628.33,3.32,15.87,15.36,15.36,15.38,1.31,23.18,1.37
6,000425,徐工机械,6.86,2.85,0.19,501474.0,338643324.62,3.9,6.88,6.62,6.66,6.67,1.04,13.3,1.5
7,301040,中环海陆,20.27,2.68,0.53,13762.0,27583056.78,4.46,20.34,19.46,19.68,19.74,1.98,122.87,2.05
8,600984,建设机械,5.06,2.43,0.12,111271.0,55812813.0,2.63,5.07,4.94,4.94,4.94,0.89,-11.92,1.08
9,002272,川润股份,5.91,2.07,0.12,66202.0,38897410.0,3.11,5.93,5.75,5.77,5.79,1.99,-89.78,1.78
10,688425,铁建重工,6.18,1.81,0.11,447776.0,273647027.0,5.6,6.31,5.97,6.05,6.07,3.1,19.79,2.07
11,000680,山推股份,4.57,1.78,0.08,145813.0,66185686.37,2.23,4.58,4.48,4.49,4.49,1.37,10.15,1.35
12,600031,三一重工,16.49,1.66,0.27,492214.0,807028419.0,2.16,16.51,16.16,16.25,16.22,0.58,23.14,2.11
13,601226,华电重工,7.35,1.66,0.12,112057.0,81506804.0,3.04,7.38,7.16,7.22,7.23,0.97,-19.53,2.09
14,605389,长龄液压,25.08,1.5,0.37,9812.0,24404342.0,1.9,25.15,24.68,24.99,24.71,2.88,32.31,1.82
15,600817,宇通重工,10.87,1.49,0.16,48792.0,52663563.0,3.08,10.95,10.62,10.63,10.71,2.53,50.66,2.41
16,002204,大连重工,5.05,1.41,0.07,163718.0,82181172.72,1.81,5.06,4.97,4.98,4.98,0.85,21.36,1.44
17,603638,艾迪精密,17.0,1.37,0.23,20408.0,34540466.0,3.22,17.09,16.55,16.73,16.77,0.24,46.02,4.69
18,600815,厦工股份,2.73,1.11,0.03,218127.0,58316866.0,6.3,2.74,2.57,2.69,2.7,1.23,-131.18,3.25
19,200055,方大Ｂ,2.05,0.99,0.02,2124.0,432204.22,1.97,2.05,2.01,2.05,2.03,0.05,6.8,0.33
20,603338,浙江鼎力,51.09,0.85,0.43,67850.0,339380677.0,4.52,51.19,48.9,49.96,50.66,1.34,20.24,3.5
21,300718,长盛轴承,16.96,0.59,0.1,30868.0,52389308.0,3.26,17.35,16.8,16.86,16.86,1.67,24.5,3.57
22,600375,汉马科技,,,,,,,,,,7.55,0.0,-26.88,39.09
23,601100,恒立液压,61.55,-0.11,-0.07,42826.0,264806187.0,2.82,62.88,61.14,61.74,61.62,0.33,32.98,6.21
24,834599,同力股份,7.4,-0.13,-0.01,4295.0,3164490.6,2.16,7.45,7.29,7.44,7.41,0.21,5.29,1.53
25,002097,山河智能,6.05,-0.49,-0.03,57479.0,34693555.68,1.81,6.1,5.99,6.08,6.08,0.59,54.6,1.44
26,873223,荣亿精密,2.99,-0.66,-0.02,5275.0,1555493.34,4.98,3.03,2.88,2.94,3.01,1.09,-13.66,1.49
27,603298,杭叉集团,21.33,-1.16,-0.25,105112.0,221695862.0,4.91,21.56,20.5,21.08,21.58,1.12,17.08,2.65
28,300201,海伦哲,3.91,-1.51,-0.06,241498.0,94632581.96,3.27,4.0,3.87,3.98,3.97,2.33,46.23,2.95
29,605305,中际联合,37.86,-2.02,-0.78,15767.0,60393928.0,4.17,39.29,37.68,38.64,38.64,1.48,94.96,2.64
30,600761,安徽合力,19.73,-2.28,-0.46,82663.0,162476862.0,4.36,20.21,19.33,19.98,20.19,1.12,13.89,2.17
31,873169,七丰精工,5.48,-2.49,-0.14,2809.0,1531939.86,4.27,5.62,5.38,5.62,5.62,1.03,21.07,1.49
32,603611,诺力股份,22.27,-3.47,-0.8,76319.0,169397098.0,7.2,23.3,21.64,23.23,23.07,2.86,14.24,2.43
33,871245,威博液压,8.68,-4.51,-0.41,2055.0,1768227.07,4.18,8.84,8.46,8.51,9.09,0.9,84.26,1.36
