序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,200056,皇庭B,1.2,10.09,0.11,14695.0,1743912.92,5.5,1.2,1.14,1.14,1.09,0.61,-3.12,0.64
2,000540,中天金融,0.66,10.0,0.06,3614746.0,229666527.91,16.67,0.66,0.56,0.56,0.6,5.18,-0.68,-0.77
3,000014,沙河股份,9.71,9.97,0.88,68031.0,66058101.0,0.0,9.71,9.71,9.71,8.83,2.81,3.64,1.77
4,000558,莱茵体育,2.75,6.18,0.16,295230.0,80230244.5,7.72,2.78,2.58,2.59,2.59,2.29,138.42,3.25
5,600234,科新发展,6.24,5.76,0.34,38730.0,23938082.0,6.61,6.29,5.9,5.91,5.9,1.91,-81.55,2.76
6,000042,中洲控股,8.26,5.76,0.45,55262.0,45135003.79,4.61,8.31,7.95,7.95,7.81,0.83,22.55,0.72
7,600393,粤泰股份,1.29,5.74,0.07,402218.0,51679099.0,7.38,1.31,1.22,1.23,1.22,4.0,-8.7,1.17
8,600807,济南高新,3.23,5.56,0.17,115918.0,36617664.0,5.23,3.23,3.07,3.07,3.06,1.47,103.4,8.44
9,600743,华远地产,1.65,5.1,0.08,179001.0,29000476.0,4.46,1.65,1.58,1.58,1.57,0.76,-11.37,1.17
10,600748,上实发展,3.58,3.77,0.13,100433.0,35538508.0,4.06,3.59,3.45,3.45,3.45,0.54,5.77,0.64
11,600082,海泰发展,3.08,3.7,0.11,72308.0,22008726.0,4.38,3.09,2.96,2.97,2.97,1.14,-189.92,1.13
12,000863,三湘印象,3.84,3.5,0.13,195872.0,74295399.74,4.31,3.84,3.68,3.7,3.71,1.65,-24.97,1.05
13,600223,鲁商发展,10.96,3.49,0.37,144338.0,158018954.0,5.57,11.11,10.52,10.54,10.59,1.42,21.54,2.9
14,000809,ST新城,3.87,3.48,0.13,105708.0,40703120.23,5.61,3.91,3.7,3.74,3.74,1.28,-26.22,1.12
15,600246,万通发展,5.36,3.47,0.18,157062.0,83006805.0,4.25,5.39,5.17,5.18,5.18,0.76,-101.2,1.84
16,900939,汇丽B,0.49,3.38,0.016,1328.0,64065.0,3.38,0.491,0.475,0.475,0.474,0.15,99.41,5.13
17,600322,天房发展,1.87,3.31,0.06,175661.0,32573008.0,4.42,1.88,1.8,1.81,1.81,1.59,-3.68,38.55
18,600684,珠江股份,3.49,3.25,0.11,86366.0,29887197.0,3.85,3.51,3.38,3.39,3.38,1.01,-14.57,6.48
19,600159,大龙地产,2.54,3.25,0.08,70605.0,17777738.0,3.66,2.55,2.46,2.46,2.46,0.85,61.69,0.93
20,000573,粤宏远Ａ,3.52,3.23,0.11,106222.0,37113543.32,3.81,3.54,3.41,3.43,3.41,1.68,66.8,1.35
21,000609,中迪投资,4.52,3.2,0.14,50744.0,22777661.0,4.57,4.56,4.36,4.38,4.38,1.74,-13.19,2.47
22,000732,ST泰禾,1.0,3.09,0.03,377478.0,37217801.0,4.12,1.0,0.96,0.97,0.97,1.52,-1.02,0.64
23,000006,深振业Ａ,4.84,2.98,0.14,170414.0,81993351.81,3.62,4.85,4.68,4.72,4.7,1.26,-135.16,0.83
24,000608,阳光股份,2.77,2.97,0.08,95941.0,26428635.86,3.72,2.79,2.69,2.69,2.69,1.28,-43.96,0.78
25,600895,张江高科,15.62,2.97,0.45,187957.0,291217399.0,3.63,15.63,15.08,15.09,15.17,1.21,30.55,2.04
26,600173,卧龙地产,5.25,2.94,0.15,50836.0,26340494.0,3.92,5.27,5.07,5.1,5.1,0.73,13.89,0.98
27,600716,凤凰股份,3.7,2.78,0.1,36828.0,13488313.0,3.06,3.71,3.6,3.6,3.6,0.39,21.29,0.66
28,002016,世荣兆业,6.31,2.77,0.17,36778.0,22935225.51,2.93,6.32,6.14,6.16,6.14,0.45,20.96,1.1
29,600692,亚通股份,5.7,2.7,0.15,33106.0,18641295.0,4.86,5.71,5.44,5.45,5.55,1.3,-25.69,2.21
30,000797,中国武夷,3.04,2.7,0.08,194320.0,58512531.45,2.7,3.05,2.97,2.97,2.96,1.24,-12.52,0.96
31,600533,栖霞建设,3.44,2.69,0.09,97488.0,33232174.0,3.28,3.45,3.34,3.34,3.35,0.93,91.0,0.81
32,000069,华侨城Ａ,5.01,2.66,0.13,430532.0,213948143.91,3.89,5.07,4.88,4.88,4.88,0.61,-33.94,0.63
33,600162,香江控股,1.93,2.66,0.05,223165.0,42893685.0,2.66,1.94,1.89,1.89,1.88,0.68,17.78,0.94
34,002133,广宇集团,3.16,2.6,0.08,78879.0,24719665.88,3.25,3.17,3.07,3.07,3.08,1.02,7.33,0.6
35,000517,荣安地产,2.81,2.55,0.07,155978.0,43390180.54,3.28,2.82,2.73,2.74,2.74,0.63,3.45,0.91
36,000031,大悦城,3.66,2.52,0.09,184399.0,67330169.7,3.64,3.7,3.57,3.58,3.57,0.46,22.88,1.0
37,000926,福星股份,4.09,2.51,0.1,93432.0,37816385.14,3.01,4.1,3.98,4.01,3.99,1.0,23.28,0.34
38,000514,渝 开 发,3.8,2.43,0.09,70279.0,26497023.4,2.96,3.81,3.7,3.72,3.71,0.83,-40.0,0.88
39,600683,京投发展,4.65,2.42,0.11,84082.0,39154063.0,3.08,4.72,4.58,4.58,4.54,1.14,6.97,1.2
40,000620,新华联,1.7,2.41,0.04,1849203.0,301614617.94,18.07,1.79,1.49,1.49,1.66,9.75,-0.83,-2.0
41,600463,空港股份,8.84,2.2,0.19,35079.0,30766543.0,3.12,8.87,8.6,8.64,8.65,1.17,-16.43,2.31
42,600641,万业企业,20.47,2.15,0.43,142683.0,291490748.0,5.09,20.73,19.71,19.72,20.04,1.53,59.29,2.27
43,600622,光大嘉宝,3.0,2.04,0.06,119668.0,35495918.0,2.72,3.01,2.93,2.94,2.94,0.8,205.41,0.64
44,000965,天保基建,4.03,2.03,0.08,138655.0,55463142.73,2.03,4.04,3.96,3.97,3.95,1.25,50.8,0.82
45,600503,华丽家族,2.68,1.9,0.05,66625.0,17757495.0,2.66,2.69,2.62,2.63,2.63,0.42,-86.11,1.16
46,002305,南国置业,2.21,1.84,0.04,221847.0,48778365.0,2.3,2.22,2.17,2.18,2.17,1.28,-5.85,1.98
47,600708,光明地产,2.22,1.83,0.04,120945.0,26564461.0,2.29,2.22,2.17,2.18,2.18,0.54,161.09,0.46
48,600606,绿地控股,2.83,1.8,0.05,327700.0,92217143.0,2.16,2.84,2.78,2.78,2.78,0.23,4.99,0.43
49,000718,苏宁环球,2.94,1.73,0.05,83495.0,24498207.02,2.42,2.96,2.89,2.89,2.89,0.36,17.59,0.93
50,600067,冠城大通,3.02,1.68,0.05,63426.0,19065982.0,2.02,3.03,2.97,2.98,2.97,0.46,-93.98,0.6
51,000036,华联控股,4.24,1.68,0.07,115776.0,48697483.91,2.4,4.24,4.14,4.15,4.17,0.78,52.94,1.18
52,000631,顺发恒业,3.21,1.58,0.05,62317.0,19892784.88,2.22,3.22,3.15,3.16,3.16,0.26,106.28,1.27
53,600649,城投控股,3.94,1.55,0.06,73851.0,28937779.0,2.06,3.95,3.87,3.88,3.88,0.29,42.64,0.48
54,600675,中华企业,2.73,1.49,0.04,118132.0,32054176.0,2.6,2.74,2.67,2.69,2.69,0.19,-15.44,1.11
55,000002,万  科Ａ,15.14,1.47,0.22,602194.0,905353137.9,1.81,15.14,14.87,14.89,14.92,0.62,31.23,0.73
56,000656,金科股份,1.38,1.47,0.02,816902.0,112235962.0,2.21,1.39,1.36,1.36,1.36,1.54,-6.24,0.61
57,000736,中交地产,13.26,1.38,0.18,133262.0,175415334.38,2.75,13.3,12.94,13.0,13.08,1.92,-11.42,2.98
58,600510,黑牡丹,6.67,1.37,0.09,89235.0,59198630.0,2.28,6.69,6.54,6.54,6.58,0.87,16.43,0.69
59,600657,信达地产,4.48,1.36,0.06,190185.0,84700128.0,3.62,4.51,4.35,4.4,4.42,0.67,142.26,0.53
60,900903,大众Ｂ股,0.229,1.33,0.003,2513.0,57224.0,1.33,0.229,0.226,0.226,0.226,0.03,9.38,0.39
61,900902,市北B股,0.249,1.22,0.003,1711.0,42552.0,1.63,0.25,0.246,0.248,0.246,0.04,-20.14,0.49
62,600848,上海临港,12.29,1.15,0.14,34929.0,42826646.0,1.48,12.33,12.15,12.18,12.15,0.15,30.17,1.8
63,900940,大名城B,0.265,1.15,0.003,867.0,22663.0,3.44,0.266,0.257,0.264,0.262,0.04,11.11,0.36
64,600638,新黄浦,5.3,1.15,0.06,34700.0,18259970.0,2.29,5.31,5.19,5.2,5.24,0.52,219.74,0.81
65,600565,迪马股份,1.79,1.13,0.02,219169.0,38762044.0,5.08,1.8,1.71,1.75,1.77,0.88,-11.12,0.9
66,000029,深深房Ａ,10.85,1.12,0.12,19350.0,20898081.0,1.4,10.87,10.72,10.73,10.73,0.22,-76.97,2.76
67,002244,滨江集团,9.22,1.1,0.1,155327.0,142553805.58,2.41,9.29,9.07,9.1,9.12,0.58,12.81,1.19
68,002208,合肥城建,6.61,1.07,0.07,41446.0,27224982.78,2.45,6.61,6.45,6.48,6.54,0.67,45.5,0.82
69,600736,苏州高新,4.81,1.05,0.05,64490.0,31000697.0,1.89,4.83,4.74,4.75,4.76,0.56,13.59,0.75
70,000667,美好置业,0.98,1.03,0.01,701372.0,68384820.22,4.12,0.99,0.95,0.96,0.97,2.88,5.7,1.4
71,000402,金 融 街,5.04,1.0,0.05,112717.0,56583393.51,1.8,5.05,4.96,4.97,4.99,0.38,-17.84,0.4
72,900928,临港B股,0.9,0.9,0.008,1413.0,126875.0,1.57,0.906,0.892,0.895,0.892,0.11,15.18,0.9
73,600185,格力地产,8.07,0.88,0.07,155889.0,125410268.0,1.88,8.11,7.96,7.97,8.0,0.83,379.62,2.4
74,900932,陆家Ｂ股,0.757,0.8,0.006,12238.0,922449.0,1.46,0.759,0.748,0.755,0.751,0.11,11.69,0.95
75,000671,阳 光 城,1.38,0.73,0.01,629357.0,86659658.97,3.65,1.4,1.35,1.36,1.37,1.55,-3.03,1.22
76,002314,南山控股,3.26,0.62,0.02,169257.0,55059790.6,1.85,3.28,3.22,3.23,3.24,1.26,24.08,0.86
77,000961,中南建设,1.79,0.56,0.01,308086.0,54981750.8,1.69,1.8,1.77,1.77,1.78,0.81,-2.57,0.5
78,600823,世茂股份,1.99,0.51,0.01,265007.0,52595649.0,2.02,2.01,1.97,1.98,1.98,0.71,12.52,0.36
79,600383,金地集团,8.16,0.49,0.04,450419.0,366991450.0,1.35,8.19,8.08,8.08,8.12,1.0,18.14,0.56
80,000897,津滨发展,2.16,0.47,0.01,296135.0,63975203.23,2.33,2.19,2.14,2.16,2.15,1.83,-80.58,1.61
81,600007,中国国贸,18.54,0.38,0.07,26722.0,49174878.0,3.19,18.64,18.05,18.45,18.47,0.27,14.61,1.97
