序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,000056,皇庭国际,4.06,10.03,0.37,133972,54392632.0,0.0,4.06,4.06,4.06,3.69,1.48,-12.06,2.46
2,002575,群兴玩具,5.45,5.01,0.26,65859,35749437.0,6.74,5.56,5.21,5.28,5.19,1.12,250.44,4.23
3,600605,汇通能源,15.18,4.47,0.65,63934,96033834.0,6.54,15.32,14.37,14.52,14.53,3.1,109.5,2.77
4,002188,中天服务,6.1,4.27,0.25,47945,29004741.18,4.44,6.12,5.86,5.91,5.85,1.99,55.42,14.89
5,000560,我爱我家,3.14,3.97,0.12,842052,260221619.94,4.64,3.17,3.03,3.03,3.02,3.74,35.72,0.71
6,600658,电子城,5.34,3.89,0.2,130229,68751549.0,4.67,5.35,5.11,5.14,5.14,1.16,8.74,0.77
7,603506,南都物业,11.98,3.45,0.4,16398,19482961.0,3.02,12.0,11.65,11.69,11.58,0.87,13.95,2.11
8,300917,特发服务,22.49,2.69,0.59,27139,60774507.08,4.34,22.78,21.83,21.84,21.9,3.13,28.59,3.9
9,002285,世联行,2.71,2.26,0.06,225259,60705622.41,3.02,2.73,2.65,2.65,2.65,1.12,-105.69,1.66
10,601588,北辰实业,1.96,2.08,0.04,162203,31493512.0,3.13,1.97,1.91,1.92,1.92,0.61,50.5,0.51
11,600604,市北高新,5.05,2.02,0.1,65507,32879139.0,3.03,5.08,4.93,4.95,4.95,0.47,-59.45,1.44
12,603682,锦和商管,5.22,1.56,0.08,33791,17593393.0,1.95,5.24,5.14,5.14,5.14,0.72,26.6,2.15
13,002968,新大正,19.0,1.28,0.24,6404,12170604.75,2.03,19.18,18.8,18.8,18.76,0.31,22.96,3.73
14,002377,国创高新,2.55,1.19,0.03,129454,32901465.0,1.98,2.57,2.52,2.53,2.52,1.41,-15.83,4.12
15,001914,招商积余,15.53,0.91,0.14,46472,71627331.82,2.4,15.6,15.23,15.31,15.39,0.44,22.31,1.76
16,002146,荣盛发展,1.59,-0.63,-0.01,504846,80183747.2,1.88,1.6,1.57,1.59,1.6,1.3,-2.69,0.31
17,000007,全新好,5.45,-10.07,-0.61,10511,5728495.0,0.0,5.45,5.45,5.45,6.06,0.34,-2032.89,20.91
