序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,300805,电声股份,9.84,20.0,1.64,188561.0,179740428.96,18.05,9.84,8.36,8.42,8.2,6.89,216.05,2.79
2,300280,紫天科技,28.08,20.0,4.68,168374.0,444154691.81,20.43,28.08,23.3,23.3,23.4,10.49,17.96,1.83
3,300295,三六五网,12.85,19.98,2.14,341773.0,418859684.74,20.07,12.85,10.7,10.7,10.71,20.4,79.78,1.86
4,300528,幸福蓝海,9.92,19.95,1.65,243108.0,230246801.36,19.23,9.92,8.33,8.33,8.27,6.52,319.74,16.76
5,301052,果麦文化,62.93,19.25,10.16,113901.0,669148454.01,25.17,63.32,50.04,50.04,52.77,20.67,83.82,7.36
6,300058,蓝色光标,13.08,16.79,1.88,6349783.0,7798077057.26,22.05,13.34,10.87,10.95,11.2,27.38,54.77,4.35
7,300027,华谊兄弟,3.09,15.3,0.41,2200361.0,659787170.25,15.3,3.15,2.74,2.75,2.68,9.55,-202.88,6.89
8,300654,世纪天鸿,14.19,15.27,1.88,666238.0,899368378.41,16.82,14.5,12.43,12.7,12.31,20.86,163.18,6.62
9,300063,天龙集团,5.13,12.01,0.55,1132492.0,565112725.25,15.5,5.24,4.53,4.58,4.58,18.27,46.08,2.46
10,300987,川网传媒,24.38,11.83,2.58,242860.0,560412992.45,19.22,24.98,20.79,21.01,21.8,25.47,168.83,5.2
11,300781,因赛集团,26.79,11.44,2.75,45907.0,119145123.3,12.94,27.11,24.0,24.04,24.04,5.66,63.25,4.31
12,000676,智度股份,6.56,10.07,0.6,513106.0,326565687.53,10.74,6.56,5.92,5.93,5.96,4.07,43.16,2.38
13,002905,金逸影视,9.21,10.04,0.84,86282.0,77456674.56,9.44,9.21,8.42,8.43,8.37,2.47,42.4,21.22
14,600757,长江传媒,9.54,10.03,0.87,525524.0,495226855.0,4.04,9.54,9.19,9.35,8.67,4.33,7.5,1.31
15,002739,万达电影,14.27,10.02,1.3,614798.0,867936643.49,7.02,14.27,13.36,13.5,12.97,2.92,24.63,4.23
16,603533,掌阅科技,24.93,10.02,2.27,210982.0,513216698.0,9.89,24.93,22.69,22.69,22.66,4.81,410.19,4.23
17,601900,南方传媒,18.46,10.01,1.68,602347.0,1078050079.0,12.28,18.46,16.4,16.4,16.78,6.72,18.52,2.22
18,601801,皖新传媒,7.92,10.0,0.72,725966.0,549954368.0,12.92,7.92,6.99,6.99,7.2,3.65,11.65,1.37
19,600229,城市传媒,9.79,10.0,0.89,595459.0,550259175.0,14.04,9.79,8.54,8.65,8.9,8.87,16.97,2.12
20,002712,思美传媒,8.91,10.0,0.81,696939.0,602239918.12,14.07,8.91,7.77,7.77,8.1,12.96,667.07,3.11
21,002858,力盛体育,22.68,9.99,2.06,149420.0,329429563.9,9.7,22.68,20.68,20.68,20.62,10.66,88.45,5.0
22,600373,中文传媒,17.86,9.98,1.62,981418.0,1689931637.0,13.85,17.86,15.61,15.61,16.24,7.24,14.14,1.35
