序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,002381,双箭股份,7.22,5.56,0.38,101265,72341012.0,5.41,7.23,6.86,7.0,6.84,3.14,13.67,1.49
2,601163,三角轮胎,14.89,5.08,0.72,381843,560116774.0,6.42,15.09,14.18,14.2,14.17,4.77,12.85,1.0
3,603650,彤程新材,38.35,4.47,1.64,110182,422679960.0,6.43,39.16,36.8,37.0,36.71,1.85,68.99,7.45
4,600182,S*ST佳通,14.52,4.46,0.62,26507,37571875.0,6.62,14.6,13.68,14.0,13.9,1.56,46.26,4.6
5,832225,利通科技,8.24,4.44,0.35,22015,18264889.34,5.45,8.55,8.12,8.4,7.89,3.82,8.36,1.73
6,601500,通用股份,3.85,3.77,0.14,114753,43855435.0,3.77,3.86,3.72,3.72,3.71,0.89,136.5,1.15
7,300320,海达股份,8.35,2.83,0.23,52898,43964726.0,3.33,8.39,8.12,8.15,8.12,1.07,38.34,2.39
8,002753,永东股份,7.27,2.39,0.17,29049,20881887.84,2.82,7.28,7.08,7.1,7.1,1.2,-150.38,1.3
9,600469,风神股份,5.25,2.34,0.12,71498,37258427.0,3.51,5.29,5.11,5.11,5.13,1.28,18.77,1.28
10,001207,联科科技,15.9,2.32,0.36,21897,34531759.0,3.8,15.96,15.37,15.52,15.54,3.4,41.69,2.2
11,300121,阳谷华泰,9.47,2.05,0.19,59764,56070776.73,2.26,9.5,9.29,9.33,9.28,1.53,10.83,1.33
12,002068,黑猫股份,10.48,2.04,0.21,124942,130148646.92,2.53,10.54,10.28,10.28,10.27,1.7,-18.85,2.46
13,300547,川环科技,15.78,2.0,0.31,31821,49966194.48,2.84,15.95,15.51,15.65,15.47,1.79,38.0,3.36
14,002442,龙星化工,4.85,1.89,0.09,42531,20527558.0,2.31,4.86,4.75,4.77,4.76,0.88,46.73,1.48
15,601966,玲珑轮胎,22.02,1.85,0.4,74342,162727006.0,3.05,22.16,21.5,21.62,21.62,0.5,38.03,1.67
16,601118,海南橡胶,4.66,1.75,0.08,342111,158648739.0,2.84,4.69,4.56,4.56,4.58,0.8,-91.72,2.1
17,605183,确成股份,17.55,1.74,0.3,18328,32246057.0,3.65,17.82,17.19,17.25,17.25,1.35,21.8,2.67
18,871642,通易航天,7.78,1.7,0.13,1164,885388.97,3.92,7.8,7.5,7.68,7.65,0.21,74.67,3.05
19,301233,盛帮股份,37.68,1.24,0.46,4300,16107511.23,1.42,37.76,37.23,37.51,37.22,3.34,35.61,2.22
20,002224,三 力 士,4.53,1.12,0.05,38623,17466679.61,2.23,4.55,4.45,4.45,4.48,0.8,135.46,1.35
21,000599,青岛双星,4.05,1.0,0.04,58336,23545059.03,2.0,4.07,3.99,4.0,4.01,0.71,-8.19,1.48
22,836247,华密新材,6.19,0.98,0.06,305,188086.69,1.31,6.2,6.12,6.12,6.13,0.16,13.7,1.42
23,300587,天铁股份,9.21,0.88,0.08,95673,88560613.9,5.15,9.58,9.11,9.55,9.13,1.03,-280.86,3.33
24,000589,贵州轮胎,5.41,0.74,0.04,205664,110081125.86,2.42,5.42,5.29,5.41,5.37,1.85,16.73,1.0
25,601058,赛轮轮胎,10.27,0.2,0.02,228093,231783829.0,4.0,10.39,9.98,10.3,10.25,0.74,22.15,2.54
26,002984,森麒麟,29.06,-0.45,-0.13,31912,92550902.85,1.75,29.3,28.79,29.3,29.19,1.09,18.87,2.53
27,603033,三维股份,17.52,-0.45,-0.08,10429,18321376.0,1.7,17.75,17.45,17.6,17.6,0.13,78.56,4.04
28,871694,中裕科技,11.78,-1.09,-0.13,9052,10724126.28,5.54,12.21,11.55,11.71,11.91,4.46,10.43,1.84
29,300767,震安科技,34.73,-2.09,-0.74,20155,70331670.56,5.27,36.1,34.23,35.02,35.47,0.96,527.69,5.58
30,300731,科创新源,19.48,-3.99,-0.81,95203,180640941.91,10.2,19.97,17.9,19.58,20.29,7.92,-109.94,4.05
