序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,603616,韩建河山,5.19,6.79,0.33,115414,58547488.0,9.47,5.24,4.78,4.8,4.86,3.03,-23.08,2.78
2,600425,青松建化,4.75,5.32,0.24,739104,344632920.0,5.76,4.77,4.51,4.51,4.51,5.36,269.04,1.28
3,002742,ST三圣,3.54,5.04,0.17,68668,23990188.5,6.23,3.54,3.33,3.36,3.37,1.67,-11.11,2.0
4,600477,杭萧钢构,4.44,4.96,0.21,521951,227878199.0,5.2,4.45,4.23,4.25,4.23,2.2,41.26,2.05
5,600449,宁夏建材,15.57,4.57,0.68,104562,160319206.0,4.97,15.63,14.89,14.9,14.89,2.19,288.01,1.06
6,003037,三和管桩,12.32,4.23,0.5,38161,46450313.43,3.98,12.32,11.85,11.92,11.82,4.19,76.35,3.55
7,002205,国统股份,10.03,3.83,0.37,69280,68830792.8,4.55,10.08,9.64,9.66,9.66,3.73,-8.83,2.6
8,000401,冀东水泥,8.16,3.82,0.3,120087,96821709.38,4.07,8.22,7.9,7.91,7.86,0.78,-6.85,0.73
9,002671,龙泉股份,4.16,3.23,0.13,39880,16441883.0,3.47,4.17,4.03,4.04,4.03,0.87,-65.73,1.51
10,002596,海南瑞泽,3.52,3.23,0.11,301232,104565519.02,4.4,3.52,3.37,3.4,3.41,2.85,-38.7,2.74
11,600883,博闻科技,7.17,3.02,0.21,16272,11562482.0,3.59,7.19,6.94,6.96,6.96,0.69,15.64,1.99
12,600678,四川金顶,5.52,2.79,0.15,30474,16698128.0,2.98,5.53,5.37,5.39,5.37,0.87,289.9,7.32
13,600720,祁连山,11.27,2.73,0.3,98140,109800886.0,3.37,11.3,10.93,10.96,10.97,1.26,205.34,1.01
14,000672,上峰水泥,11.25,2.65,0.29,54567,60699073.32,2.92,11.28,10.96,10.96,10.96,0.56,15.8,1.27
15,600724,宁波富达,3.88,2.37,0.09,43204,16608447.0,4.22,3.92,3.76,3.76,3.79,0.3,22.57,1.91
16,002302,西部建设,9.04,2.26,0.2,237971,212492550.92,4.19,9.08,8.71,8.83,8.84,1.89,-46.67,1.3
17,002233,塔牌集团,8.11,2.14,0.17,146229,118200305.18,2.27,8.15,7.97,7.98,7.94,1.23,10.38,0.85
18,600326,西藏天路,6.81,2.1,0.14,518441,350696821.0,6.75,6.92,6.47,6.47,6.67,5.64,-18.54,1.69
19,002743,富煌钢构,5.62,2.0,0.11,59803,33380638.0,2.36,5.63,5.5,5.5,5.51,1.38,32.12,0.78
20,600881,亚泰集团,2.19,1.86,0.04,112587,24477934.0,2.79,2.2,2.14,2.14,2.15,0.35,-5.19,0.77
21,600802,福建水泥,5.26,1.74,0.09,25210,13158640.0,1.93,5.27,5.17,5.19,5.17,0.55,-5.98,1.7
22,000023,深天地Ａ,8.68,1.64,0.14,30061,25938143.0,9.25,8.79,8.0,8.0,8.54,2.17,-16.14,9.92
23,605122,四方新材,15.0,1.56,0.23,4404,6567449.0,1.83,15.06,14.79,14.79,14.77,0.75,49.55,1.17
24,000789,万年青,8.82,1.5,0.13,46140,40472006.42,2.42,8.83,8.62,8.62,8.69,0.58,19.1,1.02
25,000935,四川双马,19.22,1.21,0.23,29809,57135881.93,1.26,19.23,18.99,19.0,18.99,0.39,17.31,2.19
26,000877,天山股份,8.38,1.21,0.1,80433,66838964.66,2.05,8.39,8.22,8.27,8.28,0.49,-14.74,0.9
27,600585,海螺水泥,26.88,0.83,0.22,152428,409172616.0,1.28,27.0,26.66,26.67,26.66,0.38,13.96,0.77
28,600496,精工钢构,3.98,0.76,0.03,286207,112942172.0,2.28,3.99,3.9,3.92,3.95,1.42,11.11,0.99
29,600668,尖峰集团,12.25,0.74,0.09,26425,32221088.0,0.99,12.25,12.13,12.16,12.16,0.77,45.51,0.81
30,601992,金隅集团,2.41,0.0,0.0,295205,70994139.0,1.66,2.42,2.38,2.39,2.41,0.35,-19.4,0.55
31,600801,华新水泥,14.75,-1.01,-0.15,89070,131258645.0,2.55,14.94,14.56,14.8,14.9,0.65,31.18,1.12
32,002541,鸿路钢构,32.21,-2.54,-0.84,48239,155707626.38,7.75,34.06,31.5,34.06,33.05,0.97,27.65,2.72
