序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,603377,东方时尚,8.05,4.82,0.37,148380,118839138.0,12.24,8.3,7.36,7.45,7.68,2.06,-60.25,2.79
2,300825,阿尔特,12.04,3.7,0.43,49309,58527501.27,9.22,12.09,11.02,11.02,11.61,1.03,57.06,2.52
3,600653,申华控股,1.8,3.45,0.06,120409,21374528.0,3.45,1.8,1.74,1.74,1.74,0.62,-35.94,3.6
4,838030,德众汽车,2.68,2.68,0.07,1623,430517.54,2.68,2.69,2.62,2.65,2.61,0.17,41.37,0.98
5,605151,西上海,17.79,2.65,0.46,20416,36067651.0,3.75,17.98,17.33,17.33,17.33,3.22,20.49,1.82
6,601258,庞大集团,0.79,2.6,0.02,3678357,285664297.0,12.99,0.83,0.73,0.73,0.77,3.66,-16.39,0.79
7,000996,中国中期,6.38,2.41,0.15,39709,25183225.06,2.73,6.39,6.22,6.22,6.23,1.15,-363.93,4.59
8,000753,漳州发展,4.12,2.23,0.09,93818,38341469.6,3.23,4.14,4.01,4.03,4.03,0.95,58.8,1.55
9,600386,北巴传媒,4.54,1.57,0.07,247951,110269121.0,6.49,4.6,4.31,4.37,4.47,3.07,-128.32,2.0
10,600297,广汇汽车,2.12,1.44,0.03,252039,53351774.0,1.91,2.13,2.09,2.09,2.09,0.31,8.11,0.45
11,301215,中汽股份,5.66,1.25,0.07,114751,64400906.26,1.79,5.67,5.57,5.59,5.59,1.5,59.52,2.71
12,000757,浩物股份,3.89,0.78,0.03,33605,13015427.2,1.55,3.9,3.84,3.89,3.86,0.66,-34.19,1.46
13,000025,特  力Ａ,17.16,0.59,0.1,35061,60014434.29,1.88,17.2,16.88,16.98,17.06,0.89,73.17,4.83
14,600335,国机汽车,10.22,0.0,0.0,300867,308680945.0,3.42,10.45,10.1,10.1,10.22,2.07,38.82,1.35
15,601965,中国汽研,22.27,-9.98,-2.47,166418,379987568.0,10.51,24.87,22.27,24.6,24.74,1.7,39.33,3.67
