序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,603040,新坐标,20.64,10.02,1.88,10314.0,21287456.0,0.0,20.64,20.64,20.64,18.76,0.77,14.54,2.4
2,002454,松芝股份,7.6,9.2,0.64,340705.0,256488815.39,5.89,7.66,7.25,7.35,6.96,5.44,25.3,1.26
3,002448,中原内配,5.7,7.34,0.39,350332.0,202055700.86,3.2,5.84,5.67,5.84,5.31,7.38,10.21,1.06
4,200625,长  安Ｂ,3.56,6.59,0.22,142495.0,50586197.29,5.99,3.64,3.44,3.5,3.34,0.87,1.11,0.45
5,300969,恒帅股份,59.85,6.12,3.45,12025.0,72206589.36,6.49,61.66,58.0,58.6,56.4,6.01,29.3,5.01
6,603390,通达电气,7.05,6.02,0.4,63212.0,44104401.0,4.96,7.06,6.73,6.75,6.65,1.8,70.91,1.58
7,603949,雪龙集团,15.0,5.41,0.77,17727.0,26267078.0,6.11,15.1,14.23,14.23,14.23,0.84,42.71,3.08
8,833533,骏创科技,21.23,5.26,1.06,4038.0,8456732.98,8.23,21.58,19.92,20.2,20.17,2.16,14.87,4.09
9,002328,新朋股份,6.05,5.22,0.3,151655.0,89894109.77,5.39,6.06,5.75,5.75,5.75,2.68,21.57,1.46
10,002703,浙江世宝,7.78,4.85,0.36,142931.0,110032236.02,4.04,7.81,7.51,7.51,7.42,2.58,169.33,4.38
11,837663,明阳科技,11.32,4.81,0.52,8481.0,9484474.4,4.81,11.37,10.85,11.03,10.8,6.54,11.65,1.77
12,002590,万安科技,8.65,4.72,0.39,77993.0,66631565.0,5.45,8.72,8.27,8.33,8.26,1.71,975.62,2.11
13,603109,神驰机电,15.99,4.65,0.71,32931.0,51837277.0,5.5,16.02,15.18,15.18,15.28,1.59,13.64,1.94
14,603701,德宏股份,12.29,4.24,0.5,63947.0,77813950.0,4.24,12.34,11.84,11.84,11.79,2.45,119.25,4.29
15,605018,长华集团,10.15,4.1,0.4,18017.0,17912525.0,3.79,10.15,9.78,9.78,9.75,1.93,2949.83,1.82
16,603758,秦安股份,9.33,3.78,0.34,56117.0,51850320.0,5.01,9.39,8.94,9.0,8.99,1.28,16.86,1.78
17,603286,日盈电子,15.38,3.78,0.56,14194.0,21752577.0,4.18,15.52,14.9,15.0,14.82,1.61,115.28,2.93
18,831195,三祥科技,7.05,3.68,0.25,1127.0,794135.82,3.09,7.09,6.88,6.88,6.8,0.31,7.5,1.09
19,605088,冠盛股份,15.98,3.63,0.56,28409.0,44713029.0,3.83,16.04,15.45,15.5,15.42,3.61,23.64,1.53
20,002664,信质集团,13.22,3.61,0.46,39966.0,52532671.53,4.39,13.26,12.7,12.7,12.76,1.01,33.65,1.69
21,603166,福达股份,6.13,3.37,0.2,67280.0,40859863.0,4.05,6.15,5.91,5.93,5.93,1.04,32.47,1.64
22,000981,山子股份,1.87,3.31,0.06,964346.0,178217621.98,4.42,1.89,1.81,1.81,1.81,1.73,-23.71,4.25
23,002870,香山股份,28.24,3.29,0.9,19127.0,53963725.0,3.55,28.45,27.48,27.48,27.34,1.73,26.31,2.35
