序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,600508,上海能源,14.59,5.34,0.74,156059,226033828.0,4.77,14.81,14.15,14.2,13.85,2.16,3.16,0.81
2,601898,中煤能源,9.01,5.01,0.43,504272,446604791.0,5.36,9.03,8.57,8.59,8.58,0.55,4.17,0.86
3,002128,电投能源,13.47,4.58,0.59,223353,300406650.22,4.74,13.68,13.07,13.13,12.88,1.16,4.67,1.03
4,600792,云煤能源,3.26,3.16,0.1,53605,17290998.0,3.16,3.26,3.16,3.16,3.16,0.54,-51.74,1.02
5,601011,宝泰隆,3.58,2.29,0.08,159653,56617693.0,2.86,3.58,3.48,3.48,3.5,0.83,56.57,0.88
6,000937,冀中能源,7.4,2.21,0.16,558785,409022391.61,3.04,7.4,7.18,7.26,7.24,1.92,2.42,1.09
7,600403,大有能源,4.76,2.15,0.1,122130,57811501.0,2.58,4.78,4.66,4.67,4.66,0.51,9.04,1.57
8,600758,辽宁能源,4.35,2.11,0.09,284920,123751407.0,3.52,4.43,4.28,4.32,4.26,2.16,5.01,1.01
9,600725,云维股份,2.94,2.08,0.06,41350,12048426.0,2.43,2.95,2.88,2.91,2.88,0.34,639.35,10.16
10,600408,安泰集团,2.47,2.07,0.05,44415,10912015.0,2.89,2.48,2.41,2.41,2.42,0.44,-5.05,1.04
11,600188,兖矿能源,34.39,1.96,0.66,215487,736488578.0,3.38,34.59,33.45,33.6,33.73,0.72,7.53,1.95
12,601699,潞安环能,20.15,1.87,0.37,433223,874514799.0,4.4,20.62,19.75,19.85,19.78,1.45,4.46,1.14
13,000571,ST大洲,2.19,1.86,0.04,91780,19882756.04,2.79,2.19,2.13,2.16,2.15,1.13,-22.71,4.9
14,601225,陕西煤业,19.57,1.66,0.32,505842,986629107.0,3.01,19.71,19.13,19.24,19.25,0.52,6.86,1.72
15,601101,昊华能源,6.35,1.6,0.1,102596,64762039.0,1.92,6.35,6.23,6.25,6.25,0.71,5.32,0.83
16,000723,美锦能源,7.91,1.41,0.11,207526,163413795.92,1.28,7.91,7.81,7.83,7.8,0.52,21.26,2.37
17,600397,安源煤业,3.0,1.35,0.04,109527,32679560.0,2.03,3.0,2.94,2.95,2.96,1.11,13.05,4.59
18,601088,中国神华,29.08,1.25,0.36,214440,620299256.0,2.02,29.16,28.58,28.65,28.72,0.13,7.76,1.39
19,601001,晋控煤业,11.17,1.09,0.12,144537,160355648.0,2.26,11.17,10.92,10.95,11.05,0.86,6.57,1.21
20,600348,华阳股份,14.0,1.01,0.14,300050,418920288.0,2.16,14.11,13.81,13.95,13.86,1.25,4.87,1.23
21,000552,甘肃能化,3.37,0.9,0.03,408524,137132994.46,2.69,3.39,3.3,3.34,3.34,1.63,4.05,1.13
22,600121,郑州煤电,4.51,0.89,0.04,82913,37189834.0,2.24,4.52,4.42,4.46,4.47,0.68,21.24,3.18
23,600925,苏能股份,6.19,0.81,0.05,190493,117356649.0,1.14,6.19,6.12,6.14,6.14,2.77,12.39,2.69
24,600971,恒源煤电,9.31,0.76,0.07,177529,164544637.0,1.52,9.32,9.18,9.18,9.24,1.48,4.59,0.9
25,600740,山西焦化,5.38,0.75,0.04,149542,80149429.0,1.12,5.38,5.32,5.34,5.34,0.58,4.52,0.91
26,600395,盘江股份,6.78,0.74,0.05,116914,78826188.0,1.19,6.78,6.7,6.7,6.73,0.54,10.38,1.2
27,600546,山煤国际,17.3,0.58,0.1,267833,461306527.0,2.62,17.37,16.92,17.01,17.2,1.35,5.08,2.59
28,600985,淮北矿业,13.59,0.52,0.07,208087,281998153.0,2.37,13.66,13.34,13.5,13.52,0.84,3.99,0.94
29,601918,新集能源,4.15,0.48,0.02,158263,65504253.0,1.69,4.16,4.09,4.11,4.13,0.61,4.53,0.88
30,900948,伊泰Ｂ股,1.48,0.48,0.007,21935,3245709.0,1.49,1.49,1.468,1.468,1.473,0.17,2.57,0.62
31,601015,陕西黑猫,4.53,0.44,0.02,61268,27633231.0,1.33,4.53,4.47,4.49,4.51,0.3,41.32,1.05
32,600123,兰花科创,12.71,0.24,0.03,101569,128816526.0,1.03,12.74,12.61,12.62,12.68,0.89,4.69,0.89
33,000983,山西焦煤,10.27,0.2,0.02,353330,360781800.89,1.56,10.28,10.12,10.15,10.25,0.86,5.41,1.49
34,600997,开滦股份,6.89,-0.58,-0.04,119015,81804141.0,2.74,6.92,6.73,6.8,6.93,0.75,6.71,0.75
35,601666,平煤股份,9.62,-4.37,-0.44,610418,583700234.0,2.98,9.72,9.42,9.6,10.06,2.66,4.86,0.99
36,600532,*ST未来,3.34,-5.11,-0.18,5141,1717094.0,0.0,3.34,3.34,3.34,3.52,0.1,-19.3,1.17
