序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,000669,ST金鸿,1.86,3.91,0.07,42796,7832686.6,5.59,1.88,1.78,1.79,1.79,0.63,-32.41,2.76
2,000593,德龙汇能,6.7,3.08,0.2,38711,25689905.0,3.23,6.72,6.51,6.57,6.5,1.08,159.47,2.2
3,603318,水发燃气,7.74,2.65,0.2,59750,45998086.0,2.65,7.75,7.55,7.55,7.54,1.58,52.82,2.23
4,300332,天壕环境,12.25,2.42,0.29,81376,98833508.85,3.26,12.3,11.91,12.0,11.96,0.96,13.26,2.6
5,600617,国新能源,4.05,2.02,0.08,62291,25021778.0,2.02,4.05,3.97,3.98,3.97,0.64,11.94,1.48
6,603080,新疆火炬,13.72,1.93,0.26,12485,16991228.0,1.93,13.72,13.46,13.58,13.46,0.88,19.03,1.44
7,002700,ST浩源,4.83,1.9,0.09,19962,9611481.0,2.32,4.85,4.74,4.74,4.74,0.63,28.57,2.83
8,000968,蓝焰控股,8.05,1.9,0.15,52924,42348708.9,2.03,8.06,7.9,7.9,7.9,0.55,8.24,1.44
9,300435,中泰股份,14.77,1.86,0.27,29195,43019199.69,2.83,14.83,14.42,14.42,14.5,0.86,20.13,1.94
10,603689,皖天然气,7.8,1.43,0.11,18958,14718029.0,1.56,7.8,7.68,7.72,7.69,0.4,8.88,1.33
11,001299,美能能源,15.52,1.31,0.2,13276,20511343.12,1.44,15.54,15.32,15.34,15.32,2.83,34.19,2.33
12,000407,胜利股份,3.72,1.09,0.04,68011,25182893.0,2.17,3.73,3.65,3.69,3.68,0.78,36.03,1.19
13,603053,成都燃气,9.55,1.06,0.1,26658,25357318.0,1.59,9.57,9.42,9.51,9.45,0.3,11.11,1.95
14,831010,凯添燃气,3.62,0.84,0.03,4187,1495865.07,2.79,3.65,3.55,3.64,3.59,0.26,22.22,1.33
15,600956,新天绿能,9.1,0.78,0.07,29897,27129609.0,1.22,9.11,9.0,9.03,9.03,1.03,11.35,1.88
16,600635,大众公用,3.01,0.67,0.02,91651,27492237.0,1.67,3.02,2.97,2.99,2.99,0.38,8.55,1.05
17,600333,长春燃气,4.87,0.62,0.03,19283,9343157.0,1.03,4.87,4.82,4.83,4.84,0.32,-13.58,1.51
18,600681,百川能源,4.28,0.47,0.02,21489,9162734.0,0.94,4.28,4.24,4.26,4.26,0.16,8.45,1.6
19,600903,贵州燃气,7.92,0.38,0.03,30181,23855188.0,1.01,7.94,7.86,7.89,7.89,0.27,25.79,3.14
20,603706,东方环宇,14.55,0.34,0.05,8093,11747293.0,1.38,14.6,14.4,14.6,14.5,0.43,10.43,1.67
21,600917,重庆燃气,7.36,0.27,0.02,20606,15121179.0,1.63,7.39,7.27,7.34,7.34,0.13,-57.19,2.35
22,002911,佛燃能源,12.02,0.25,0.03,26487,31868016.4,1.83,12.18,11.96,12.01,11.99,0.28,36.83,3.12
23,000421,南京公用,4.89,0.2,0.01,63021,30519714.79,2.66,4.9,4.77,4.88,4.88,1.1,-325.05,0.99
24,605169,洪通燃气,10.32,0.19,0.02,10903,11164851.0,2.23,10.33,10.1,10.2,10.3,1.54,53.01,1.67
25,002267,陕天然气,7.65,0.0,0.0,64978,49386756.8,1.31,7.65,7.55,7.65,7.65,0.58,5.07,1.26
26,002259,ST升达,3.53,0.0,0.0,32406,11496044.0,1.7,3.58,3.52,3.52,3.53,0.43,143.49,10.71
27,605090,九丰能源,22.27,-0.18,-0.04,42657,94790635.0,1.84,22.43,22.02,22.35,22.31,1.64,7.71,1.96
28,601139,深圳燃气,6.91,-0.43,-0.03,76207,52503784.0,1.44,6.95,6.85,6.91,6.94,0.26,19.24,1.48
29,605368,蓝天燃气,13.83,-0.79,-0.11,41405,57165880.0,1.65,13.96,13.73,13.96,13.94,2.34,8.61,2.03
30,603393,新天然气,23.69,-2.71,-0.66,71786,170037714.0,3.7,24.1,23.2,24.01,24.35,1.91,17.16,1.87
31,300483,首华燃气,12.11,-2.89,-0.36,34730,41504365.39,3.21,12.14,11.74,12.04,12.47,1.33,79.89,1.16
32,600803,新奥股份,20.3,-4.43,-0.94,224535,450771292.0,8.29,21.16,19.4,21.16,21.24,1.54,10.8,3.28
